"Ano:2020 Modelo: Todos Data: 12/03/2020
Categoria: Todas Motor: Todos Última Atualização: 11/03/2020
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
Energética
Veículos Automotores Leves
Categoria Todas
Modelos com classificação PBE para ENCE
Comparação entre modelos participantes
Ano 2020
36 Marcas
Valor de CO2 da
1034 Modelos/Versões emissão no
Valores em km/l medidos em condições padrão de laboratório (NBR7024) e ajustados para
escapamento referente
139 Modelo(s) com Selo CONPET simular condições mais comuns de utilização. Para veículos elétricos, km/l refere­se ao
ao combustível de
consumo equivalente a gasolina (km/l e). O consumo percebido pelo motorista poderá variar
origem fóssil não
para mais ou para menos, dependendo das condições de uso. Para saber por que, consulte:
,FIAT,Novo Uno,1.0­8V,Attractive,M­5,S,H,F,"0,018","0,474","0,021",B,0,108,"8,0","9,4","11,6","13,4","1,75",E,B,­,2,2020,"SUB
COMPACTO"
,FIAT,Novo Uno,1.0­6V,Way,M­5,S,E,F,"0,017","0,279","0,018",B,0,94,"9,1","10,6","13,2","15,2","1,52",C,B,­,2,2020,"SUB
COMPACTO"
,RENAULT,Twizy,Elétrico,Intense,A,N,M,E,"0,000","0,000","0,000",A,\,0,\,\,"58,4","47,1","0,39",A,A,SIM,2,2020,"SUB
COMPACTO"
,VW,up!,1.0­12V,MPI,M­5,S,E,F,"0,023","0,219","0,032",B,0,89,"9,6","10,6","14,2","15,3","1,46",B,A,SIM,2,2020,"SUB
COMPACTO"
,VW,up! TSI,1.0­12V,Connect 170TSI,M­5,S,E,F,"0,031","0,373","0,024",B,0,88,"9,6","11,1","14,1","16,0","1,44",A,A,SIM,2,2020,"SUB
COMPACTO"
,VW,up! TSI,1.0­12V,Xtreme 170TSI,M­5,S,E,F,"0,020","0,191","0,029",B,0,93,"9,5","10,4","13,7","14,7","1,50",B,B,­,2,2020,"SUB
COMPACTO"
,MINI,Cooper,1.5­12v,5P,DCT­7,S,E­H,G,"0,007","0,119","0,025",A,\,105,\,\,"12,1","13,5","1,70",C,B,­,2,2020,COMPACTO
,MINI,Cooper,2.0­16v,S 5P,DCT­7,S,E­H,G,"0,007","0,182","0,023",A,\,105,\,\,"11,6","14,3","1,71",C,B,­,2,2020,COMPACTO
,MINI,Cooper,1.5­12v,,DCT­7,S,E­H,G,"0,008","0,130","0,024",A,\,106,\,\,"12,1","13,3","1,71",C,B,­,2,2020,COMPACTO
,NISSAN,New March,1.0­12V,Conforto,M­5,S,E,F,"0,023","0,559","0,003",B,0,96,"8,8","10,4","12,9","15,0","1,57",A,B,SIM,2,2020,COMPACTO
,NISSAN,New March,1.0­12V,S,M­5,S,E,F,"0,023","0,559","0,003",B,0,96,"8,8","10,4","12,9","15,0","1,57",A,B,SIM,2,2020,COMPACTO
,NISSAN,New March,1.0­12V,SV,M­5,S,E,F,"0,023","0,559","0,003",B,0,96,"8,8","10,4","12,9","15,0","1,57",A,B,SIM,2,2020,COMPACTO
,NISSAN,New March,1.6­16V,S,M­5,S,E,F,"0,031","0,664","0,005",B,0,99,"8,5","9,9","12,6","14,4","1,63",B,B,­,2,2020,COMPACTO
,NISSAN,New March,1.6­16V,SV,M­5,S,E,F,"0,031","0,664","0,005",B,0,99,"8,5","9,9","12,6","14,4","1,63",B,B,­,2,2020,COMPACTO
,NISSAN,New March,1.6­16V,SL,M­5,S,E,F,"0,031","0,664","0,005",B,0,99,"8,5","9,9","12,6","14,4","1,63",B,B,­,2,2020,COMPACTO
,NISSAN,New March,1.6­16V,SV,CVT,S,E,F,"0,024","0,163","0,014",B,0,104,"7,8","9,8","11,7","14,5","1,72",C,B,­,2,2020,COMPACTO
,NISSAN,New March,1.6­16V,SL,CVT,S,E,F,"0,024","0,163","0,014",B,0,104,"7,8","9,8","11,7","14,5","1,72",C,B,­,2,2020,COMPACTO
,NISSAN,New March,1.6­16V,Sedit,CVT,S,E,F,"0,024","0,163","0,014",B,0,104,"7,8","9,8","11,7","14,5","1,72",C,B,­,2,2020,COMPACTO
,FORD,Ka Hatch,1.0­12V,S,M­5,S,E,F,"0,021","0,446","0,017",B,0,92,"9,3","10,8","13,3","15,6","1,49",A,B,SIM,2,2020,COMPACTO
,FORD,Ka Hatch,1.0­12V,SE,M­5,S,E,F,"0,021","0,446","0,017",B,0,92,"9,3","10,8","13,3","15,6","1,49",A,B,SIM,2,2020,COMPACTO
,FORD,Ka Hatch,1.0­12V,SE Plus,M­5,S,E,F,"0,021","0,446","0,017",B,0,92,"9,3","10,8","13,3","15,6","1,49",A,B,SIM,2,2020,COMPACTO
,FORD,Ka Hatch,1.0­12V,FreeStyle,M­5,S,E,F,"0,022","0,492","0,019",B,0,90,"9,1","10,4","13,0","15,1","1,54",A,B,SIM,2,2020,COMPACTO
,FORD,Ka Hatch,1.5­12V,SE,M­5,S,E,F,"0,017","0,358","0,027",B,0,99,"8,8","10,5","12,4","14,8","1,59",B,B,­,2,2020,COMPACTO
,FORD,Ka Hatch,1.5­12V,SE Plus,M­5,S,E,F,"0,017","0,358","0,027",B,0,99,"8,8","10,5","12,4","14,8","1,59",B,B,­,2,2020,COMPACTO
,FORD,Ka Hatch,1.5­12V,SE,A­6,S,E,F,"0,014","0,307","0,013",B,0,109,"8,4","9,9","11,7","14,5","1,67",B,B,­,2,2020,COMPACTO
,FORD,Ka Hatch,1.5­12V,SE Plus,A­6,S,E,F,"0,014","0,307","0,013",B,0,109,"8,4","9,9","11,7","14,5","1,67",B,B,­,2,2020,COMPACTO
,FORD,Ka Hatch,1.5­12V,Titanium,A­6,S,E,F,"0,014","0,307","0,013",B,0,109,"8,4","9,9","11,7","14,5","1,67",B,B,­,2,2020,COMPACTO
,,,,,,,,,,,,,,,,,,,,,,,2,2020,Página 2 / 47
,,,,,,,,,,,,,,,,,,,,,,,2,2020,
,,,,,,,,,,,,,,,,,,,,,,,3,2020,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",3,2020,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Elétrico
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,"Gasolina /
Diesel",,,,,,3,2020,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina /
Diesel","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,3,2020,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2 fóssil
(g/km)",,,,,,,,,3,2020,
,,,,,(CVT),,,,,,,,,,,,,,,,,,3,2020,
,FORD,Ka Hatch,1.5­12V,FreeStyle,A­6,S,E,F,"0,019","0,428","0,020",B,0,114,"7,5","9,4","10,7","13,5","1,84",D,C,­,3,2020,COMPACTO
,HONDA,Fit,1.5­16V,DX,M­5,S,E,F,"0,011","0,098","0,020",A,0,107,"8,3","9,5","11,6","13,6","1,72",C,B,­,3,2020,COMPACTO
,HONDA,Fit,1.5­16V,LX,M­5,S,E,F,"0,011","0,098","0,020",A,0,107,"8,3","9,5","11,6","13,6","1,72",C,B,­,3,2020,COMPACTO
,HONDA,Fit,1.5­16V,DX,CVT,S,E,F,"0,022","0,120","0,016",B,0,102,"8,3","9,9","12,3","14,1","1,66",B,B,­,3,2020,COMPACTO
,HONDA,Fit,1.5­16V,LX,CVT,S,E,F,"0,022","0,120","0,016",B,0,102,"8,3","9,9","12,3","14,1","1,66",B,B,­,3,2020,COMPACTO
,HONDA,Fit,1.5­16V,EX,CVT,S,E,F,"0,022","0,120","0,016",B,0,102,"8,3","9,9","12,3","14,1","1,66",B,B,­,3,2020,COMPACTO
,HONDA,Fit,1.5­16V,EXL,CVT,S,E,F,"0,022","0,120","0,016",B,0,102,"8,3","9,9","12,3","14,1","1,66",B,B,­,3,2020,COMPACTO
,HONDA,Fit,1.5­16V,Personal,CVT,S,E,F,"0,022","0,120","0,016",B,0,102,"8,3","9,9","12,3","14,1","1,66",B,B,­,3,2020,COMPACTO
,PEUGEOT,208,1.2­12V,Active Pack,M­5,S,E,F,"0,017","0,404","0,026",B,0,89,"9,6","10,7","13,9","15,5","1,46",A,A,SIM,3,2020,COMPACTO
,PEUGEOT,208,1.2­12V,Active,M­5,S,E,F,"0,017","0,404","0,026",B,0,89,"9,6","10,7","13,9","15,5","1,46",A,A,SIM,3,2020,COMPACTO
,PEUGEOT,208,1.2­12V,Allure,M­5,S,E,F,"0,017","0,404","0,026",B,0,89,"9,6","10,7","13,9","15,5","1,46",A,A,SIM,3,2020,COMPACTO
,PEUGEOT,208,1.6­16V,Griffe,A­6,S,E,F,"0,014","0,459","0,026",B,0,112,"7,7","9,3","11,0","13,2","1,82",D,B,­,3,2020,COMPACTO
,PEUGEOT,208,1.6­16V,Allure,A­6,S,E,F,"0,014","0,459","0,026",B,0,112,"7,7","9,3","11,0","13,2","1,82",D,B,­,3,2020,COMPACTO
,TOYOTA,Etios Hatchback,1.3­16V,X STD,M­6,S,E,F,"0,021","0,619","0,024",B,0,100,"8,6","9,8","12,6","14,2","1,63",B,B,­,3,2020,COMPACTO
,TOYOTA,Etios Hatchback,1.3­16V,X VSC,M­6,S,E,F,"0,021","0,619","0,024",B,0,100,"8,6","9,8","12,6","14,2","1,63",B,B,­,3,2020,COMPACTO
,TOYOTA,Etios Hatchback,1.3­16V,X VSC,A­4,S,E,F,"0,023","0,507","0,008",B,0,107,"8,2","9,2","11,8","13,3","1,74",C,B,­,3,2020,COMPACTO
,TOYOTA,Etios Hatchback,1.5­16V,X Plus,M­6,S,E,F,"0,024","0,654","0,032",B,0,101,"8,3","9,8","12,4","14,1","1,66",B,B,­,3,2020,COMPACTO
,TOYOTA,Etios Hatchback,1.5­16V,X Plus,A­4,S,E,F,"0,028","0,504","0,016",B,0,107,"8,1","9,2","11,9","13,2","1,74",C,B,­,3,2020,COMPACTO
,CITROEN,C3,1.2­12V,,M­5,S,E,F,"0,015","0,377","0,029",B,0,94,"9,3","10,1","13,2","14,8","1,53",A,B,SIM,3,2020,COMPACTO
,CITROEN,C3,1.6­16V,,A­6,S,E,F,"0,023","0,795","0,025",B,0,113,"7,6","9,3","10,9","13,2","1,83",D,C,­,3,2020,COMPACTO
,FIAT,Argo,1.0­6V,,M­5,S,E,F,"0,022","0,393","0,021",B,0,97,"9,3","10,0","13,2","14,2","1,56",A,B,SIM,3,2020,COMPACTO
,FIAT,Argo,1.0­6V,Drive,M­5,S,E,F,"0,022","0,393","0,021",B,0,97,"9,3","10,0","13,2","14,2","1,56",A,B,SIM,3,2020,COMPACTO
,FIAT,Argo,1.0­6V,"Drive (Stop &
Start)",M­5,S,E,F,"0,015","0,397","0,013",B,0,91,"9,8","10,3","14,2","14,5","1,48",A,A,SIM,3,2020,COMPACTO
,FIAT,Argo,1.3­8V,Drive,M­5,S,E,F,"0,018","0,294","0,017",B,0,99,"8,9","10,4","12,5","14,7","1,58",A,B,SIM,3,2020,COMPACTO
,FIAT,Argo,1.3­8V,"Drive (Stop &
Start)",M­5,S,E,F,"0,014","0,454","0,013",B,0,93,"9,4","10,5","13,4","15,0","1,51",A,B,SIM,3,2020,COMPACTO
,FIAT,Argo,1.3­8V,Drive,MTA­5,S,E,F,"0,013","0,214","0,026",B,0,102,"8,5","10,0","12,2","14,1","1,64",B,B,­,3,2020,COMPACTO
,FIAT,Argo,1.3­8V,"Drive (Stop &
Start)",MTA­5,S,E,F,"0,019","0,259","0,015",B,0,97,"9,1","10,1","13,0","14,3","1,57",A,B,SIM,3,2020,COMPACTO
,FIAT,Argo,1.8­16V,Precision,A­6,S,E,F,"0,014","0,386","0,015",B,0,124,"6,9","9,2","9,7","12,8","1,99",E,C,­,3,2020,COMPACTO
,FIAT,Argo,1.8­16V,"Precision (Stop
& Start)",A­6,S,E,F,"0,012","0,513","0,032",B,0,118,"7,2","9,3","10,4","12,9","1,90",E,C,­,3,2020,COMPACTO
