categoria,marca,modelo,versao,motor,transmissao,ar_condicionado,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Médio,BYD,DOLPHIN,PLUS 310EV,Elétrico,N.A.,S,E,E,\,\,\,\,2023
Médio,CHEVROLET,BOLT,LT,ELÉTRICO,Automática (A),S,E,E,\,\,\,\,2023
Médio,CHEVROLET,BOLT,PREMIER,ELÉTRICO,Automática (A),S,E,E,\,\,\,\,2023
Médio,CHEVROLET,BOLT EUV,BOLT EUV,Elétrico,Automática (A),S,E,E,\,\,\,\,2023
Médio,CHEVROLET,BOLT EUV,BOLT EUV PREMIER,Elétrico,Automática (A),S,E,E,\,\,\,\,2023
Médio,CHEVROLET,ONIX,10MT LT1,1.0 - 12 V,M-6,S,E,F,"9,4","11,6","13,3","16,6",2023
Médio,CHEVROLET,ONIX,10MT LT2,1.0 - 12 V,M-6,S,E,F,"9,4","11,6","13,3","16,6",2023
Médio,CHEVROLET,ONIX,10TMT LT1,1.0T - 12 V,M-6,S,E,F,"9,1","11,1","13,1","16,1",2023
Médio,CHEVROLET,ONIX,10MT HB,1.0 - 12 V,M-6,S,E,F,"9,4","11,6","13,3","16,6",2023
Médio,CHEVROLET,ONIX,10TMT LTZ,1.0T - 12 V,M-6,S,E,F,"9,1","11,1","13,1","16,1",2023
Médio,CHEVROLET,ONIX,10TAT HB (produzidos até 22Jan23),1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,9","15,1",2023
Médio,CHEVROLET,ONIX,10TAT LT1 (produzidos até 22Jan23),1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,9","15,1",2023
Médio,CHEVROLET,ONIX,10TAT LTZ (produzidos até 22Jan23),1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,9","15,1",2023
Médio,CHEVROLET,ONIX,10TAT PR2 (produzidos até 22Jan23),1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,9","15,1",2023
Médio,CHEVROLET,ONIX,10TAT RS (produzidos até 22Jan23),1.0T - 12 V,A-6,S,E,F,"8,2","9,8","11,8","14,0",2023
Médio,CHEVROLET,ONIX,"10TAT HB (produzidos a partir de
23Jan23)",1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,8","14,9",2023
Médio,CHEVROLET,ONIX,"10TAT LT1
(produzidos a partir de 23Jan23)",1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,8","14,9",2023
Médio,CHEVROLET,ONIX,"10TAT LTZ (produzidos a partir de
23Jan23)",1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,8","14,9",2023
Médio,CHEVROLET,ONIX,"10TAT PR2
(produzidos a partir de 23Jan23)",1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,8","14,9",2023
Médio,CHEVROLET,ONIX,"10TAT RS (produzidos a partir de
23Jan23)",1.0T - 12 V,A-6,S,E,F,"8,2","10,0","11,7","14,5",2023
Médio,CHEVROLET,ONIX,10MT HB MY24,1.0 - 12 V,M-6,S,E,F,"9,3","11,4","13,3","16,5",2023
Médio,CHEVROLET,ONIX,10MT LT1 MY24,1.0 - 12 V,M-6,S,E,F,"9,3","11,4","13,3","16,5",2023
Médio,CHEVROLET,ONIX,10MT LT2 MY24,1.0 - 12 V,M-6,S,E,F,"9,3","11,4","13,3","16,5",2023
Médio,CHEVROLET,ONIX (MY24.5),10TAT HB,1.0T - 12 V,A-6,S,E,F,"8,3","10,4","11,6","14,9",2023
Médio,CHEVROLET,ONIX (MY24.5),10TAT LT1,1.0T - 12 V,A-6,S,E,F,"8,3","10,4","11,6","14,9",2023
Médio,CHEVROLET,ONIX (MY24.5),10TAT LTZ,1.0T - 12 V,A-6,S,E,F,"8,3","10,4","11,6","14,9",2023
Médio,CHEVROLET,ONIX (MY24.5),10TAT PR2,1.0T - 12 V,A-6,S,E,F,"8,3","10,4","11,6","14,9",2023
Médio,CHEVROLET,ONIX (MY24.5),10TAT RS,1.0T - 12 V,A-6,S,E,F,"8,2","9,9","11,7","13,7",2023
Médio,CHEVROLET,ONIX PLUS,10MT LT1,1.0 - 12 V,M-6,S,E,F,"9,5","12,4","13,6","17,5",2023
Médio,CHEVROLET,ONIX PLUS,10MT LT2,1.0 - 12 V,M-6,S,E,F,"9,5","12,4","13,6","17,5",2023
Médio,CHEVROLET,ONIX PLUS,10TMT LT1,1.0T - 12 V,M-6,S,E,F,"9,3","11,8","13,4","16,9",2023
Médio,CHEVROLET,ONIX PLUS,10TMT LTZ,1.0T - 12 V,M-6,S,E,F,"9,3","11,8","13,4","16,9",2023
Médio,CHEVROLET,ONIX PLUS,10TAT NB,1.0T - 12 V,A-6,S,E,F,"8,4","12,2","12,3","16,8",2023
Médio,CHEVROLET,ONIX PLUS,10TAT LT1,1.0T - 12 V,A-6,S,E,F,"8,4","12,2","12,3","16,8",2023
Médio,CHEVROLET,ONIX PLUS,10TAT LTZ,1.0T - 12 V,A-6,S,E,F,"8,4","12,2","12,3","16,8",2023
Médio,CHEVROLET,ONIX PLUS,10TAT PR2,1.0T - 12 V,A-6,S,E,F,"8,4","12,2","12,3","16,8",2023
Médio,CHEVROLET,ONIX PLUS,10MT LT1 MY24,1.0 - 12 V,M-6,S,E,F,"9,3","12,0","13,5","17,4",2023
Médio,CHEVROLET,ONIX PLUS,10MT LT2 MY24,1.0 - 12 V,M-6,S,E,F,"9,3","12,0","13,5","17,4",2023
Médio,CHEVROLET,ONIX PLUS (MY24.5),10TAT PR2,1.0T - 12 V,A-6,S,E,F,"8,6","11,1","12,1","15,8",2023
Médio,CHEVROLET,ONIX PLUS (MY24.5),10TAT NB,1.0T - 12 V,A-6,S,E,F,"8,6","11,1","12,1","15,8",2023
Médio,CHEVROLET,ONIX PLUS (MY24.5),10TAT LT1,1.0T - 12 V,A-6,S,E,F,"8,6","11,1","12,1","15,8",2023
Médio,CHEVROLET,ONIX PLUS (MY24.5),10TAT LTZ,1.0T - 12 V,A-6,S,E,F,"8,6","11,1","12,1","15,8",2023
Médio,CHEVROLET,SPIN,1.8L AT ACT,1.8L -8V,A-6,S,E,F,"6,9","8,6","9,8","12,3",2023
Médio,CHEVROLET,SPIN,1.8L AT LTZ5,1.8L -8V,A-6,S,E,F,"6,9","8,6","9,8","12,3",2023
Médio,CHEVROLET,SPIN,1.8L AT LT,1.8L -8V,A-6,S,E,F,"7,2","8,8","10,2","12,6",2023
Médio,CHEVROLET,SPIN,1.8L AT LS,1.8L -8V,A-6,S,E,F,"7,2","8,8","10,2","12,6",2023
Médio,CHEVROLET,SPIN,1.8L MT LS E,1.8L-8V,M-6,S,E,F,"7,5","8,9","10,8","12,8",2023
Médio,CHEVROLET,SPIN,1.8L MT LT,1.8L-8V,M-6,S,E,F,"7,5","8,9","10,8","12,8",2023
Médio,FIAT,CRONOS,1.0 (MY23),1.0-6V,M-5,S,E,F,"9,9","11,3","13,8","16,0",2023
Médio,FIAT,CRONOS,DRIVE 1.0 (MY23),1.0-6V,M-5,S,E,F,"9,9","11,4","14,0","16,1",2023
Médio,FIAT,CRONOS,DRIVE 1.3 (CY23),1.3-8V,M-5,S,E,F,"9,0","10,9","12,8","15,5",2023
Médio,FIAT,CRONOS,PREC 1.3AT (CY23),1.3-8V,CVT-7,S,E,F,"9,3","11,0","13,3","15,0",2023
Médio,FIAT,CRONOS,DRIVE 1.3AT (CY23),1.3-8V,CVT-7,S,E,F,"9,3","11,0","13,3","15,0",2023
Médio,FIAT,CRONOS,1.0,1.0-6V,M-5,S,E,F,"9,8","11,0","13,4","15,6",2023
Médio,FIAT,CRONOS,DRIVE 1.0,1.0-6V,M-5,S,E,F,"9,8","11,0","13,4","15,6",2023
Médio,GWM,ORA 03,GT BEV63,Elétrico,A-1,S,E,E,\,\,\,\,2023
Médio,GWM,ORA 03,SKIN BEV48,Elétrico,A-1,S,E,E,\,\,\,\,2023
Médio,HONDA,CITY,EX,1.5-16V,CVT,S,E,F,"9,2","10,5","13,1","15,2",2023
Médio,HONDA,CITY,EXL,1.5-16V,CVT,S,E,F,"9,2","10,5","13,1","15,2",2023
Médio,HONDA,CITY,TOURING,1.5-16V,CVT,S,E,F,"9,2","10,5","13,1","15,2",2023
Médio,HONDA,CITY HATCH,EXL,1.5-16V,CVT,S,E,F,"9,1","10,5","13,3","14,8",2023
Médio,HONDA,CITY HATCH,TOURING,1.5-16V,CVT,S,E,F,"9,1","10,5","13,3","14,8",2023
Médio,HONDA,HR-V,EX HONDA SENSING,1.5-16V,CVT,S,E,F,"8,8","9,8","12,7","13,9",2023
Médio,HONDA,HR-V,EXL HONDA SENSING,1.5-16V,CVT,S,E,F,"8,8","9,8","12,7","13,9",2023
Médio,HONDA,HR-V,ADVANCE,1.5T-16V,CVT,S,E,F,"7,9","8,8","11,3","12,6",2023
Médio,HONDA,HR-V,TOURING,1.5T-16V,CVT,S,E,F,"7,9","8,8","11,3","12,6",2023
Médio,HYUNDAI,IONIQ,HEV,1.6 -16V,A,S,E,G,\,\,"18,9","18,8",2023
Médio,Hyundai,HB20S,Comfort,1.0-12V,M-5,S,E,F,"9,4","10,4","13,2","14,8",2023
Médio,Hyundai,HB20S,Limited,1.0-12V,M-5,S,E,F,"9,4","10,4","13,2","14,8",2023
Médio,Hyundai,HB20S,Platinum,1.0-12V,M-5,S,E,F,"9,4","10,4","13,2","14,8",2023
Médio,Hyundai,HB20S,Comfort,1.0-12V T,M-6,S,E,F,"9,3","10,7","12,9","14,7",2023
Médio,Hyundai,HB20S,Comfort,1.0-12V T,A-6,S,E,F,"8,3","9,9","11,6","14,3",2023
Médio,Hyundai,HB20S,Platinum,1.0-12V T,A-6,S,E,F,"8,3","9,9","11,6","14,3",2023
Médio,Hyundai,HB20S,Sense,1.0-12V T,A-6,S,E,F,"8,9","10,3","12,2","14,3",2023
Médio,Hyundai,HB20S,Platinum Smart Sense,1.0-12V T,A-6,S,E,F,"8,9","10,3","12,2","14,3",2023
Médio,HYUNDAI,KONA HEV,HEV GLS,1.6 -16V,A,S,E,G,\,\,"19,6","17,4",2023
Médio,HYUNDAI,KONA HEV,HEV LTD,1.6 -16V,A,S,E,G,\,\,"19,6","17,4",2023
Médio,HYUNDAI,KONA EV,EV39,ELÉTRICO,A,S,E,E,\,\,\,\,2023
Médio,KIA,STONIC,MHEV EX,1.0 - 12V,DCT-7,S,E,G,\,\,"13,7","13,8",2023
Médio,KIA,STONIC,MHEV LX,1.0 - 12V,DCT-7,S,E,G,\,\,"13,7","13,8",2023
Médio,KIA,STONIC,MHEV SX,1.0 - 12V,DCT-7,S,E,G,\,\,"13,7","13,8",2023
Médio,KIA,STONIC,MHEV GT,1.0 - 12V,DCT-7,S,E,G,\,\,"13,7","13,8",2023
Médio,MINI,Countryman,JCW,2.0 - 16V,A-8,S,E,G,\,\,"8,8","10,8",2023
Médio,MINI,Countryman,PHEV,1.5 - 12V,A-6,S,E,G,\,\,"10,1","10,2",2023
Médio,Nissan,Versa,SENSE,1.6-16V,M-5,S,E,F,"8,1","9,9","11,5","14,1",2023
Médio,Nissan,Versa,SENSE,1.6-16V,CVT,S,E,F,"7,9","10,2","11,5","14,7",2023
Médio,Nissan,Versa,EXCLUSIVE,1.6-16V,CVT,S,E,F,"7,9","10,2","11,5","14,7",2023
Médio,Nissan,Versa,ADVANCE,1.6-16V,CVT,S,E,F,"7,9","10,2","11,5","14,7",2023
Médio,PEUGEOT,E2008,GT,ELÉTRICO,A-1,S,E,E,\,\,\,\,2023
Médio,Renault,Logan,ZEN16CVT,1.6 - 16V,CVT,S,E-H,F,"7,4","8,5","10,7","12,2",2023
Médio,Renault,Logan,LIFE,1.0-12V,M-5,S,E-H,F,"9,6","9,8","13,6","14,4",2023
Médio,Renault,Logan,ZEN,1.0-12V,M-5,S,E-H,F,"9,6","9,8","13,6","14,4",2023
Médio,Renault,Zoe,Life,Elétrico,A,S,E,E,\,\,\,\,2023
Médio,Renault,Zoe,NEO INT,Elétrico,A,S,E,E,\,\,\,\,2023
Médio,Renault,Zoe,Intense,Elétrico,A,S,E,E,\,\,\,\,2023
Médio,Renault,Mégane,E-Tech,Elétrico,A,S,E,E,\,\,\,\,2023
Médio,TOYOTA,YARIS HATCHBACK,XS,1.5 - 16V,CVT,S,E,F,"8,7","9,8","12,2","13,9",2023
Médio,TOYOTA,YARIS HATCHBACK,XL,1.5 - 16V,CVT,S,E,F,"8,7","9,8","12,2","13,9",2023
Médio,TOYOTA,YARIS HATCHBACK,XLS,1.5 - 16V,CVT,S,E,F,"8,7","9,8","12,2","13,9",2023
Médio,TOYOTA,YARIS SEDÃ,XS,1.5 - 16V,CVT,S,E,F,"8,9","10,5","12,9","14,7",2023
Médio,TOYOTA,YARIS SEDÃ,XL,1.5 - 16V,CVT,S,E,F,"8,9","10,5","12,9","14,7",2023
Médio,TOYOTA,YARIS SEDÃ,XLS,1.5 - 16V,CVT,S,E,F,"8,9","10,5","12,9","14,7",2023
Médio,VW,T CROSS,SENSE 200 TSI AUTOMATICO,1.0-12V,A - 6,S,E,F,"8,3","10,0","12,0","14,4",2023
Médio,VW,T CROSS,200TSI AUTOMÁTICO,1.0-12V,A - 6,S,E,F,"8,3","10,0","12,0","14,4",2023
Médio,VW,T CROSS,COMFORTLINE 200TSI AUTOMÁTICO,1.0-12V,A - 6,S,E,F,"8,3","10,0","12,0","14,4",2023
Médio,VW,T CROSS,HIGHLINE 250TSI AUTOMÁTICO,1.4-16V,A - 6,S,E,F,"8,2","10,0","11,8","14,2",2023
Médio,VW,T CROSS,SENSE 200 TSI AUTOMATICO (MY24),1.0-12V,A - 6,S,E,F,"8,2","10,1","11,9","14,3",2023
Médio,VW,T CROSS,"COMFORTLINE 200TSI AUTOMATICO
(MY24)",1.0-12V,A - 6,S,E,F,"8,2","10,1","11,9","14,3",2023
Médio,VW,T CROSS,"HIGHLINE 250TSI AUTOMÁTICO
(MY24)",1.4-16V,A - 6,S,E,F,"8,1","10,1","11,6","14,3",2023
Médio,VW,POLO,COMFORTLINE TSI AUTOMÁTICO,1.0-12V,A - 6,S,E,F,"8,7","10,8","12,5","15,3",2023
