Categoria,Marca,Modelo,Versão,Motor,"Tipo
Compacto,MINI,Cooper,S 5P,2.0 - 16V,Combustão,DCT-7,S,E,G,5,101,1,A,\,118,\,\,\,"10,3","13,2",\,\,"1,91",\,E,C,-,1,2023
Compacto,MINI,JCW,Hatch 3P,2.0 - 16V,Combustão,A-8,S,E,G,6,134,0,A,\,116,\,\,\,"10,3","13,9",\,\,"1,88",\,E,C,-,1,2023
Compacto,MINI,Cooper,S 3P,2.0 - 16V,Combustão,DCT-7,S,E,G,6,94,0,A,\,117,\,\,\,"10,3","13,4",\,\,"1,90",\,E,C,-,1,2023
Compacto,MINI,Cooper (06/23),S 3P,2.0 - 16V,Combustão,DCT-7,S,E,G,9,65,0,A,\,119,\,\,\,"10,2","13,0",\,\,"1,93",\,E,C,-,1,2023
Compacto,MINI,JCW (06/23),Hatch 3P,2.0 - 16V,Combustão,A-8,S,E,G,4,76,1,A,\,123,\,\,\,"9,9","12,8",\,\,"1,99",\,E,C,-,1,2023
Compacto,MINI,Cooper (06/23),S 5P,2.0 - 16V,Combustão,DCT-7,S,E,G,5,101,1,A,\,118,\,\,\,"10,3","13,2",\,\,"1,91",\,E,C,-,1,2023
Compacto,PEUGEOT,E-208,GT,ELÉTRICO,Elétrico,A-1,S,E,E,0,0,0,A,\,\,\,\,\,\,\,"37,8","30,8","0,59",220,A,A,-,1,2023
Compacto,PEUGEOT,208,ACTIVE AT1,1.6-16V,Combustão,A-6,S,E,F,31,497,2,B,0,112,\,"7,7","9,1","11,1","12,9",\,\,"1,82",\,E,C,-,1,2023
Compacto,PEUGEOT,208,ALLURE AT,1.6-16V,Combustão,A-6,S,E,F,31,497,2,B,0,112,\,"7,7","9,1","11,1","12,9",\,\,"1,82",\,E,C,-,1,2023
Compacto,PEUGEOT,208,GRIFFE AT,1.6-16V,Combustão,A-6,S,E,F,31,497,2,B,0,112,\,"7,7","9,1","11,1","12,9",\,\,"1,82",\,E,C,-,1,2023
Compacto,PEUGEOT,208,ROADTRIP A,1.6-16V,Combustão,A-6,S,E,F,31,497,2,B,0,112,\,"7,7","9,1","11,1","12,9",\,\,"1,82",\,E,C,-,1,2023
Compacto,PEUGEOT,208,LIKE MT,1.0-6V,Combustão,M-5,S,E,F,35,287,2,B,0,85,\,"10,4","11,3","14,7","16,3",\,\,"1,37",\,A,B,SIM,1,2023
Compacto,PEUGEOT,208,STYLE MT,1.0-6V,Combustão,M-5,S,E,F,39,385,4,B,0,91,\,"9,6","11,0","13,6","15,5",\,\,"1,47",\,A,B,SIM,1,2023
Compacto,PEUGEOT,208,STYLE MT (MY24),1.0-6V,Combustão,M-5,S,E,F,32,468,1,A,0,92,\,"9,6","11,1","13,3","15,8",\,\,"1,47",\,A,B,SIM,1,2023
Compacto,PEUGEOT,208,LIKE MT (MY24),1.0-6V,Combustão,M-5,S,E,F,32,468,1,A,0,92,\,"9,6","11,1","13,3","15,8",\,\,"1,47",\,A,B,SIM,1,2023
Compacto,PEUGEOT,208,GRIFF T200,1.0-12V T,Combustão,CVT-7,S,E,F,48,296,4,B,0,100,\,"8,8","10,0","12,5","14,1",\,\,"1,61",\,B,B,-,1,2023
Compacto,PEUGEOT,208,ALLUR T200,1.0-12V T,Combustão,CVT-7,S,E,F,48,296,4,B,0,100,\,"8,8","10,0","12,5","14,1",\,\,"1,61",\,B,B,-,1,2023
Compacto,PEUGEOT,208,STYLE T200,1.0-12V T,Combustão,CVT-7,S,E,F,56,307,3,B,0,104,\,"8,3","9,8","12,0","13,6",\,\,"1,69",\,C,B,-,1,2023
Compacto,Renault,Sandero,SEDTION BS,1.0-12V,Combustão,M-5,S,E-H,F,57,133,3,B,0,93,\,"10,0","10,2","13,9","14,7",\,\,"1,48",\,A,B,SIM,1,2023
Compacto,Renault,Sandero,SEDITION,1.0-12V,Combustão,M-5,S,E-H,F,57,133,3,B,0,93,\,"10,0","10,2","13,9","14,7",\,\,"1,48",\,A,B,SIM,1,2023
Compacto,Renault,Sandero,LIFE10MT,1.0-12V,Combustão,M-5,S,E-H,F,57,133,3,B,0,93,\,"10,0","10,2","13,9","14,7",\,\,"1,48",\,A,B,SIM,1,2023
Compacto,Renault,Sandero,RLIN,1.0-12V,Combustão,M-5,S,E-H,F,57,133,3,B,0,93,\,"10,0","10,2","13,9","14,7",\,\,"1,48",\,A,B,SIM,1,2023
Compacto,Renault,Sandero,ZEN10MT,1.0-12V,Combustão,M-5,S,E-H,F,57,133,3,B,0,93,\,"10,0","10,2","13,9","14,7",\,\,"1,48",\,A,B,SIM,1,2023
Compacto,Renault,Sandero,SZE10MT,1.0-12V,Combustão,M-5,S,E-H,F,24,127,2,A,0,99,\,"9,3","9,3","13,0","13,7",\,\,"1,60",\,B,B,-,1,2023
Compacto,VW,GOL,MPI,1.0-12V,Combustão,M - 5,S,H,F,38,164,4,B,0,92,\,"9,4","10,7","13,7","15,2",\,\,"1,49",\,A,B,SIM,1,2023
Médio,AUDI,A3 Sportback,S line,2.0 - 16V,Híbrido,A-7,S,E,G,13,137,0,A,\,125,\,\,\,"10,0","11,9",\,\,"2,03",\,E,C,-,1,2023
Médio,AUDI,A3 Sportback,Performance Black,2.0 - 16V,Híbrido,A-7,S,E,G,13,137,0,A,\,125,\,\,\,"10,0","11,9",\,\,"2,03",\,E,C,-,1,2023
Médio,BMW,118i,-,1.5 - 12V,Combustão,DCT-7,S,E,G,11,160,1,A,\,110,\,\,\,"11,5","13,0",\,\,"1,78",\,C,C,-,1,2023
Médio,BYD,DOLPHIN,GS 180EV,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,"51,9","43,5","0,42",291,A,A,-,1,2023
Médio,BYD,DOLPHIN,PLUS 310EV,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,"42,1","36,8","0,51",330,A,A,-,1,2023
Médio,CHEVROLET,BOLT,LT,ELÉTRICO,Elétrico,Automática (A),S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,"45,8","39,0","0,48",390,A,A,-,1,2023
Médio,CHEVROLET,BOLT,PREMIER,ELÉTRICO,Elétrico,Automática (A),S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,"45,8","39,0","0,48",390,A,A,-,1,2023
Médio,CHEVROLET,BOLT EUV,BOLT EUV,Elétrico,Elétrico,Automática (A),S,E,E,ND,ND,ND,A,\,0,\,\,\,\,\,"47,2","38,2","0,48",377,A,A,-,1,2023
Médio,CHEVROLET,BOLT EUV,BOLT EUV PREMIER,Elétrico,Elétrico,Automática (A),S,E,E,ND,ND,ND,A,\,0,\,\,\,\,\,"47,2","38,2","0,48",377,A,A,-,1,2023
,,,,,,"Manual (M)
Automática (A)
Automática Dupla
Embreagem (DCT)
Automatizada (MTA)
Contínua (CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica (E)
Eletro-
hidráulica
(E-H)","Elétrico Puro
(E)
Gasolina (G)
Flex (F)
Diesel (D)",Poluentes Gás Efeito Estufa,,,,,,,,,,,,,,,,,,2,2023
,,,,,,,,,,"NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)","Redução
Relativa
ao
Limite",Etanol oG ua Dso ieli sn ea l,,VEHP,Etanol,,"Gasolina
ou
Diesel",,"Elétrico
VE ou VEHP
(km/l equivalente)",,,,,,,2,2023
,,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","CO2e
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l e)","Estrada
(km/l e)",,,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,2,2023
Médio,CHEVROLET,ONIX,10MT LT1,1.0 - 12 V,Combustão,M-6,S,E,F,35,282,4,B,0,90,\,"9,4","11,6","13,3","16,6",\,\,"1,45",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX,10MT LT2,1.0 - 12 V,Combustão,M-6,S,E,F,35,282,4,B,0,90,\,"9,4","11,6","13,3","16,6",\,\,"1,45",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX,10TMT LT1,1.0T - 12 V,Combustão,M-6,S,E,F,52,311,3,B,0,92,\,"9,1","11,1","13,1","16,1",\,\,"1,50",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX,10MT HB,1.0 - 12 V,Combustão,M-6,S,E,F,35,282,4,B,0,90,\,"9,4","11,6","13,3","16,6",\,\,"1,45",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX,10TMT LTZ,1.0T - 12 V,Combustão,M-6,S,E,F,52,311,3,B,0,92,\,"9,1","11,1","13,1","16,1",\,\,"1,50",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX,10TAT HB (produzidos até 22Jan23),1.0T - 12 V,Combustão,A-6,S,E,F,45,431,4,B,0,101,\,"8,4","10,4","11,9","15,1",\,\,"1,64",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX,10TAT LT1 (produzidos até 22Jan23),1.0T - 12 V,Combustão,A-6,S,E,F,45,431,4,B,0,101,\,"8,4","10,4","11,9","15,1",\,\,"1,64",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX,10TAT LTZ (produzidos até 22Jan23),1.0T - 12 V,Combustão,A-6,S,E,F,45,431,4,B,0,101,\,"8,4","10,4","11,9","15,1",\,\,"1,64",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX,10TAT PR2 (produzidos até 22Jan23),1.0T - 12 V,Combustão,A-6,S,E,F,45,431,4,B,0,101,\,"8,4","10,4","11,9","15,1",\,\,"1,64",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX,10TAT RS (produzidos até 22Jan23),1.0T - 12 V,Combustão,A-6,S,E,F,37,412,2,B,0,105,\,"8,2","9,8","11,8","14,0",\,\,"1,70",\,C,B,-,2,2023
Médio,CHEVROLET,ONIX,"10TAT HB (produzidos a partir de
23Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,31,413,2,B,0,102,\,"8,4","10,4","11,8","14,9",\,\,"1,64",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX,"10TAT LT1
(produzidos a partir de 23Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,31,413,2,B,0,102,\,"8,4","10,4","11,8","14,9",\,\,"1,64",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX,"10TAT LTZ (produzidos a partir de
23Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,31,413,2,B,0,102,\,"8,4","10,4","11,8","14,9",\,\,"1,64",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX,"10TAT PR2
(produzidos a partir de 23Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,31,413,2,B,0,102,\,"8,4","10,4","11,8","14,9",\,\,"1,64",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX,"10TAT RS (produzidos a partir de
23Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,35,447,2,B,0,104,\,"8,2","10,0","11,7","14,5",\,\,"1,68",\,C,B,-,2,2023
Médio,CHEVROLET,ONIX,10MT HB MY24,1.0 - 12 V,Combustão,M-6,S,E,F,43,338,4,B,0,90,\,"9,3","11,4","13,3","16,5",\,\,"1,46",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX,10MT LT1 MY24,1.0 - 12 V,Combustão,M-6,S,E,F,43,338,4,B,0,90,\,"9,3","11,4","13,3","16,5",\,\,"1,46",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX,10MT LT2 MY24,1.0 - 12 V,Combustão,M-6,S,E,F,43,338,4,B,0,90,\,"9,3","11,4","13,3","16,5",\,\,"1,46",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX (MY24.5),10TAT HB,1.0T - 12 V,Combustão,A-6,S,E,F,42,464,4,C,0,103,\,"8,3","10,4","11,6","14,9",\,\,"1,66",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX (MY24.5),10TAT LT1,1.0T - 12 V,Combustão,A-6,S,E,F,42,464,4,C,0,103,\,"8,3","10,4","11,6","14,9",\,\,"1,66",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX (MY24.5),10TAT LTZ,1.0T - 12 V,Combustão,A-6,S,E,F,42,464,4,C,0,103,\,"8,3","10,4","11,6","14,9",\,\,"1,66",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX (MY24.5),10TAT PR2,1.0T - 12 V,Combustão,A-6,S,E,F,42,464,4,C,0,103,\,"8,3","10,4","11,6","14,9",\,\,"1,66",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX (MY24.5),10TAT RS,1.0T - 12 V,Combustão,A-6,S,E,F,41,429,3,B,0,106,\,"8,2","9,9","11,7","13,7",\,\,"1,71",\,C,B,-,2,2023
Médio,CHEVROLET,ONIX PLUS,10MT LT1,1.0 - 12 V,Combustão,M-6,S,E,F,37,294,4,B,0,87,\,"9,5","12,4","13,6","17,5",\,\,"1,40",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX PLUS,10MT LT2,1.0 - 12 V,Combustão,M-6,S,E,F,37,294,4,B,0,87,\,"9,5","12,4","13,6","17,5",\,\,"1,40",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX PLUS,10TMT LT1,1.0T - 12 V,Combustão,M-6,S,E,F,46,309,3,B,0,89,\,"9,3","11,8","13,4","16,9",\,\,"1,44",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX PLUS,10TMT LTZ,1.0T - 12 V,Combustão,M-6,S,E,F,46,309,3,B,0,89,\,"9,3","11,8","13,4","16,9",\,\,"1,44",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX PLUS,10TAT NB,1.0T - 12 V,Combustão,A-6,S,E,F,44,448,3,B,0,95,\,"8,4","12,2","12,3","16,8",\,\,"1,53",\,A,B,SIM,2,2023
