Categoria,Marca,Modelo,Versão,Motor,"Tipo
Médio,Hyundai,HB20S,Comfort,1.0-12V T,Combustão,M-6,S,E,F,21,103,2,A,0,97,\,"9,3","10,7","12,9","14,7",\,\,"1,54",\,B,B,-,2,2023
Médio,Hyundai,HB20S,Comfort,1.0-12V T,Combustão,A-6,S,E,F,28,142,4,A,0,105,\,"8,3","9,9","11,6","14,3",\,\,"1,69",\,C,B,-,2,2023
Médio,Hyundai,HB20S,Platinum,1.0-12V T,Combustão,A-6,S,E,F,28,142,4,A,0,105,\,"8,3","9,9","11,6","14,3",\,\,"1,69",\,C,B,-,2,2023
Médio,Hyundai,HB20S,Sense,1.0-12V T,Combustão,A-6,S,E,F,29,125,3,A,0,102,\,"8,9","10,3","12,2","14,3",\,\,"1,62",\,B,B,-,2,2023
Médio,Hyundai,HB20S,Platinum Smart Sense,1.0-12V T,Combustão,A-6,S,E,F,29,125,3,A,0,102,\,"8,9","10,3","12,2","14,3",\,\,"1,62",\,B,B,-,2,2023
Médio,HYUNDAI,KONA HEV,HEV GLS,1.6 -16V,Híbrido,A,S,E,G,24,134,1,A,\,69,\,\,\,"19,6","17,4",\,\,"1,11",\,A,A,SIM,2,2023
Médio,HYUNDAI,KONA HEV,HEV LTD,1.6 -16V,Híbrido,A,S,E,G,24,134,1,A,\,69,\,\,\,"19,6","17,4",\,\,"1,11",\,A,A,SIM,2,2023
Médio,HYUNDAI,KONA EV,EV39,ELÉTRICO,Elétrico,A,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,"52,5","40,6","0,44",252,A,A,-,2,2023
,,,,,,"Manual (M)
Automática (A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua (CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica (E)
Eletro-
hidráulica
(E-H)","Elétrico Puro
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes Gás Efeito Estufa,,,,,,,,,,,,,,,,,,3,2023
,,,,,,,,,,"NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)","Redução
Relativa
ao
Limite",Etanol oG ua Dso ieli sn ea l,,VEHP,Etanol,,"Gasolina
ou Diesel",,"Elétrico
VE ou VEHP
(km/l equivalente)",,,,,,,3,2023
,,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","CO2e
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l e)","Estrada
(km/l e)",,,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,3,2023
Médio,KIA,STONIC,MHEV EX,1.0 - 12V,Híbrido,DCT-7,S,E,G,39,145,0,A,\,95,\,\,\,"13,7","13,8",\,\,"1,55",\,B,B,-,3,2023
Médio,KIA,STONIC,MHEV LX,1.0 - 12V,Híbrido,DCT-7,S,E,G,39,145,0,A,\,95,\,\,\,"13,7","13,8",\,\,"1,55",\,B,B,-,3,2023
Médio,KIA,STONIC,MHEV SX,1.0 - 12V,Híbrido,DCT-7,S,E,G,39,145,0,A,\,95,\,\,\,"13,7","13,8",\,\,"1,55",\,B,B,-,3,2023
Médio,KIA,STONIC,MHEV GT,1.0 - 12V,Híbrido,DCT-7,S,E,G,39,145,0,A,\,95,\,\,\,"13,7","13,8",\,\,"1,55",\,B,B,-,3,2023
Médio,Mercedes-Benz,A200 AMG LINE,,1.3-16V,Híbrido,A-7,S,E,G,18,100,3,A,\,100,\,\,\,"12,3","14,4",\,\,"1,63",\,B,B,-,3,2023
Médio,Mercedes-Benz,A250,,2.0-16V,Combustão,DCT-7,S,E,G,13,141,0,A,\,122,\,\,\,"9,7","13,5",\,\,"1,97",\,E,C,-,3,2023
Médio,Mercedes-Benz,AMG A35 4MATIC,,2.0-16V,Combustão,DCT-7,S,E,G,35,81,2,A,\,139,\,\,\,"8,7","11,7",\,\,"2,25",\,E,C,-,3,2023
Médio,MINI,Countryman,JCW,2.0 - 16V,Combustão,A-8,S,E,G,25,58,1,A,\,141,\,\,\,"8,8","10,8",\,\,"2,29",\,E,C,-,3,2023
Médio,MINI,Countryman,PHEV,1.5 - 12V,Plug-in,A-6,S,E,G,10,128,0,A,\,132,56,\,\,"10,1","10,2","23,4","27,9","0,80",8,A,A,SIM,3,2023
Médio,Nissan,Versa,SENSE,1.6-16V,Combustão,M-5,S,E,F,43,454,1,B,0,106,\,"8,1","9,9","11,5","14,1",\,\,"1,71",\,C,B,-,3,2023
Médio,Nissan,Versa,SENSE,1.6-16V,Combustão,CVT,S,E,F,35,258,1,B,0,104,\,"7,9","10,2","11,5","14,7",\,\,"1,70",\,C,B,-,3,2023
Médio,Nissan,Versa,EXCLUSIVE,1.6-16V,Combustão,CVT,S,E,F,35,258,1,B,0,104,\,"7,9","10,2","11,5","14,7",\,\,"1,70",\,C,B,-,3,2023
Médio,Nissan,Versa,ADVANCE,1.6-16V,Combustão,CVT,S,E,F,35,258,1,B,0,104,\,"7,9","10,2","11,5","14,7",\,\,"1,70",\,C,B,-,3,2023
Médio,PEUGEOT,E2008,GT,ELÉTRICO,Elétrico,A-1,S,E,E,0,0,0,A,\,\,\,\,\,\,\,"38,0","35,1","0,55",234,A,A,-,3,2023
Médio,Renault,Logan,ZEN16CVT,1.6 - 16V,Combustão,CVT,S,E-H,F,41,223,4,B,0,119,\,"7,4","8,5","10,7","12,2",\,\,"1,92",\,D,C,-,3,2023
Médio,Renault,Logan,LIFE,1.0-12V,Combustão,M-5,S,E-H,F,50,255,2,B,0,95,\,"9,6","9,8","13,6","14,4",\,\,"1,53",\,A,B,SIM,3,2023
Médio,Renault,Logan,ZEN,1.0-12V,Combustão,M-5,S,E-H,F,50,255,2,B,0,95,\,"9,6","9,8","13,6","14,4",\,\,"1,53",\,A,B,SIM,3,2023
Médio,Renault,Zoe,Life,Elétrico,Elétrico,A,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,"34,4","27,4","0,66",254,A,A,-,3,2023
Médio,Renault,Zoe,NEO INT,Elétrico,Elétrico,A,S,E,E,ND,ND,ND,A,\,0,\,\,\,\,\,"34,4","27,4","0,66",254,A,A,-,3,2023
Médio,Renault,Zoe,Intense,Elétrico,Elétrico,A,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,"34,4","27,4","0,66",254,A,A,-,3,2023
Médio,Renault,Mégane,E-Tech,Elétrico,Elétrico,A,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,"41,4","38,8","0,51",337,A,A,-,3,2023
Médio,TOYOTA,YARIS HATCHBACK,XS,1.5 - 16V,Combustão,CVT,S,E,F,35,337,2,B,0,103,\,"8,7","9,8","12,2","13,9",\,\,"1,65",\,B,B,-,3,2023
Médio,TOYOTA,YARIS HATCHBACK,XL,1.5 - 16V,Combustão,CVT,S,E,F,35,337,2,B,0,103,\,"8,7","9,8","12,2","13,9",\,\,"1,65",\,B,B,-,3,2023
Médio,TOYOTA,YARIS HATCHBACK,XLS,1.5 - 16V,Combustão,CVT,S,E,F,35,337,2,B,0,103,\,"8,7","9,8","12,2","13,9",\,\,"1,65",\,B,B,-,3,2023
Médio,TOYOTA,YARIS SEDÃ,XS,1.5 - 16V,Combustão,CVT,S,E,F,33,304,2,B,0,97,\,"8,9","10,5","12,9","14,7",\,\,"1,56",\,B,B,-,3,2023
Médio,TOYOTA,YARIS SEDÃ,XL,1.5 - 16V,Combustão,CVT,S,E,F,33,304,2,B,1,97,\,"8,9","10,5","12,9","14,7",\,\,"1,56",\,B,B,-,3,2023
Médio,TOYOTA,YARIS SEDÃ,XLS,1.5 - 16V,Combustão,CVT,S,E,F,33,304,2,B,2,97,\,"8,9","10,5","12,9","14,7",\,\,"1,56",\,B,B,-,3,2023
Médio,VW,T CROSS,SENSE 200 TSI AUTOMATICO,1.0-12V,Combustão,A - 6,S,E,F,49,211,3,B,0,102,\,"8,3","10,0","12,0","14,4",\,\,"1,66",\,B,B,-,3,2023
Médio,VW,T CROSS,200TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,F,49,211,3,B,0,102,\,"8,3","10,0","12,0","14,4",\,\,"1,66",\,B,B,-,3,2023
Médio,VW,T CROSS,COMFORTLINE 200TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,F,49,211,3,B,0,102,\,"8,3","10,0","12,0","14,4",\,\,"1,66",\,B,B,-,3,2023
Médio,VW,T CROSS,HIGHLINE 250TSI AUTOMÁTICO,1.4-16V,Combustão,A - 6,S,E,F,45,215,4,B,0,104,\,"8,2","10,0","11,8","14,2",\,\,"1,69",\,C,B,-,3,2023
Médio,VW,T CROSS,SENSE 200 TSI AUTOMATICO (MY24),1.0-12V,Combustão,A - 6,S,E,F,38,134,4,B,0,103,\,"8,2","10,1","11,9","14,3",\,\,"1,67",\,C,B,-,3,2023
Médio,VW,T CROSS,"COMFORTLINE 200TSI AUTOMATICO
(MY24)",1.0-12V,Combustão,A - 6,S,E,F,38,134,4,B,0,103,\,"8,2","10,1","11,9","14,3",\,\,"1,67",\,C,B,-,3,2023
Médio,VW,T CROSS,"HIGHLINE 250TSI AUTOMÁTICO
(MY24)",1.4-16V,Combustão,A - 6,S,E,F,33,110,3,B,0,106,\,"8,1","10,1","11,6","14,3",\,\,"1,70",\,C,B,-,3,2023
Médio,VW,POLO,COMFORTLINE TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,F,48,157,4,B,0,97,\,"8,7","10,8","12,5","15,3",\,\,"1,57",\,B,B,-,3,2023
Médio,VW,POLO,HIGHLINE TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,F,44,172,4,B,0,101,\,"8,4","10,5","12,1","14,9",\,\,"1,63",\,B,B,-,3,2023
Médio,VW,POLO,MPI,1.0-12V,Combustão,M - 5,S,E,F,41,187,4,B,0,90,\,"9,6","10,9","14,0","15,4",\,\,"1,46",\,A,B,SIM,3,2023
Médio,VW,POLO,TSI MANUAL,1.0-12V,Combustão,M - 5,S,E,F,41,317,4,B,0,88,\,"9,6","11,5","14,0","16,4",\,\,"1,42",\,A,B,SIM,3,2023
Médio,VW,POLO,GTS 250TSI AUTOMÁTICO,1.4-16V,Combustão,A - 6,S,E,F,36,133,3,B,0,107,\,"8,0","9,8","11,4","14,1",\,\,"1,72",\,C,B,-,3,2023
Médio,VW,POLO,GTS 250TSI AUTOMÁTICO (AD),1.4-16V,Combustão,A - 6,S,E,F,36,133,3,B,0,107,\,"8,0","9,8","11,4","14,1",\,\,"1,72",\,C,B,-,3,2023
Médio,VW,POLO,TRACK MPI,1.0-12V,Combustão,M - 5,S,E,F,47,227,4,B,0,93,\,"9,3","10,5","13,5","15,0",\,\,"1,51",\,A,B,SIM,3,2023
Médio,VW,POLO,TRACK FIRST EDITION,1.0-12V,Combustão,M - 5,S,E,F,47,227,4,B,0,93,\,"9,3","10,5","13,5","15,0",\,\,"1,51",\,A,B,SIM,3,2023
Médio,VW,POLO,TSI MANUAL (MY24),1.0-12V,Combustão,M - 5,S,E,F,43,310,3,B,0,98,\,"9,5","11,3","13,7","16,1",\,\,"1,45",\,A,B,SIM,3,2023
Médio,VW,POLO,COMFORTLINE TSI AUT.(MY24),1.0-12V,Combustão,A - 6,S,E,F,52,127,2,B,0,98,\,"8,5","10,6","12,5","15,1",\,\,"1,59",\,B,B,-,3,2023
Médio,VW,POLO,HIGHLINE TSI AUTOMÁTICO (MY24),1.0-12V,Combustão,A - 6,S,E,F,49,157,4,B,0,100,\,"8,5","10,4","12,3","14,6",\,\,"1,62",\,B,B,-,3,2023
Médio,VW,POLO,SENSE TSI AUT.(MY24),1.0-12V,Combustão,A - 6,S,E,F,52,127,2,B,0,98,\,"8,5","10,6","12,5","15,1",\,\,"1,59",\,B,B,-,3,2023
Médio,VW,POLO,TRACK MPI (MY24),1.0-12V,Combustão,M - 5,S,E,F,38,150,3,B,0,91,\,"9,4","10,8","13,7","15,2",\,\,"1,48",\,A,B,SIM,3,2023
Médio,VW,POLO,MPI (MY24),1.0-12V,Combustão,M - 5,S,E,F,38,150,3,B,0,91,\,"9,4","10,8","13,7","15,2",\,\,"1,48",\,A,B,SIM,3,2023
Médio,VW,POLO,GTS 250TSI AUT.(MY24),1.4-16V,Combustão,A - 6,S,E,F,39,161,3,B,0,106,\,"8,1","9,8","11,6","13,8",\,\,"1,72",\,C,B,-,3,2023
Médio,VW,VIRTUS,GTS 250TSI AUTOMÁTICO,1.4-16V,Combustão,A - 6,S,E,F,40,191,3,B,0,102,\,"8,0","10,0","11,9","14,7",\,\,"1,68",\,C,B,-,3,2023
Médio,VW,VIRTUS,TSI MANUAL,1.0-12V,Combustão,M - 5,S,E,F,45,312,5,B,0,91,\,"9,2","11,3","13,5","15,9",\,\,"1,47",\,A,B,SIM,3,2023
Médio,VW,VIRTUS,TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,F,44,204,5,B,0,99,\,"8,5","10,7","12,2","15,2",\,\,"1,60",\,B,B,-,3,2023
Médio,VW,VIRTUS,COMFORTLINE 200TSI AUT. (MY24),1.0-12V,Combustão,A - 6,S,E,F,53,246,6,B,0,102,\,"8,2","10,4","11,8","15,0",\,\,"1,65",\,B,B,-,3,2023
Médio,VW,VIRTUS,HIGHLINE 200TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,F,53,246,6,B,0,102,\,"8,2","10,4","11,8","15,0",\,\,"1,65",\,B,B,-,3,2023
Médio,VW,VIRTUS,COMFORTLINE 200TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,F,53,246,6,B,0,102,\,"8,2","10,4","11,8","15,0",\,\,"1,65",\,B,B,-,3,2023
Médio,VW,VIRTUS,HIGHLINE 200TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,F,53,246,6,B,0,102,\,"8,2","10,4","11,8","15,0",\,\,"1,65",\,B,B,-,3,2023
Médio,VW,VIRTUS,TSI AUTOMÁTICO (MY24),1.0-12V,Combustão,M - 5,S,E,F,42,351,4,B,0,97,\,"8,9","10,8","12,5","15,4",\,\,"1,56",\,B,B,-,3,2023
Médio,VW,VIRTUS,TSI MANUAL (MY24),1.0-12V,Combustão,A - 6,S,E,F,49,162,4,B,0,100,\,"8,4","10,5","12,1","14,8",\,\,"1,63",\,B,B,-,3,2023
Médio,VW,VIRTUS,COMFORTLINE 200TSI AUT. (MY24),1.0-12V,Combustão,A - 6,S,E,F,47,152,4,B,0,106,\,"8,3","10,2","12,1","14,4",\,\,"1,66",\,B,B,-,3,2023
Médio,VW,VIRTUS,HIGHLINE 200TSI AUT. (MY24),1.0-12V,Combustão,A - 6,S,E,F,47,152,4,B,0,106,\,"8,3","10,2","12,1","14,4",\,\,"1,66",\,B,B,-,3,2023
Médio,VW,VIRTUS,EXCLUSIVE 250TSI AUT.(MY24),1.4-16V,Combustão,A - 6,S,E,F,40,161,4,B,0,105,\,"8,1","9,9","11,7","14,0",\,\,"1,71",\,C,B,-,3,2023
Médio,VW,VOYAGE,MPI,1.0-12V,Combustão,M - 5,S,H,F,40,155,4,B,0,91,\,"9,5","10,9","13,8","15,6",\,\,"1,47",\,A,B,SIM,3,2023
Grande,AUDI,A3 Sedan,S line,2.0 - 16V,Híbrido,A-7,S,E,G,13,138,0,A,\,121,\,\,\,"10,2","12,6",\,\,"1,96",\,C,C,-,3,2023
Grande,AUDI,A3 Sedan,Performance Black,2.0 - 16V,Híbrido,A-7,S,E,G,13,138,0,A,\,121,\,\,\,"10,2","12,6",\,\,"1,96",\,C,C,-,3,2023
Grande,BYD,D1,GL 180EV,ELÉTRICO,Elétrico,N.A.,S,E,E,0,0,0,A,\,\,\,\,\,\,\,"39,2","34,2","0,55",258,A,A,-,3,2023
Grande,BYD,D1,GS 180EV,ELÉTRICO,Elétrico,N.A.,S,E,E,0,0,0,A,\,\,\,\,\,\,\,"39,2","34,2","0,55",258,A,A,-,3,2023
Grande,BMW,218i,-,1.5 - 12V,Combustão,DCT-7,S,E,G,18,122,1,A,\,110,\,\,\,"11,2","13,6",\,\,"1,78",\,A,C,-,3,2023
Grande,BMW,iX1,xDrive30,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,"35,3","29,0","0,63",303,A,A,-,3,2023
Grande,CAOA CHERY,ARRIZO 6,PRO,1.5T -16V,Combustão,CVT,S,E,F,52,179,2,B,0,115,\,"7,4","9,2","10,6","13,4",\,\,"1,86",\,B,C,-,3,2023
Grande,CAOA CHERY,ARRIZO 6,PRO H,1.5T -16V,Híbrido,CVT,S,E,F,43,166,1,B,0,103,\,"8,9","9,9","12,5","13,5",\,\,"1,63",\,A,B,SIM,3,2023
Grande,CHEVROLET,CRUZE HB,LT HB AT,1.4T-16V,Combustão,A-6,S,E,F,17,337,2,B,0,120,\,"6,8","9,2","10,1","13,1",\,\,"1,96",\,C,C,-,3,2023
Grande,CHEVROLET,CRUZE HB,LTZ HB AT,1.4T-16V,Combustão,A-7,S,E,F,17,337,2,B,0,120,\,"6,8","9,2","10,1","13,1",\,\,"1,96",\,C,C,-,3,2023
Grande,CHEVROLET,CRUZE HB,PRE HB AT,1.4T-16V,Combustão,A-8,S,E,F,17,337,2,B,0,120,\,"6,8","9,2","10,1","13,1",\,\,"1,96",\,C,C,-,3,2023
Grande,CHEVROLET,CRUZE HB,PRE2 HB AT,1.4T-16V,Combustão,A-9,S,E,F,17,337,2,B,0,120,\,"6,8","9,2","10,1","13,1",\,\,"1,96",\,C,C,-,3,2023
Grande,CHEVROLET,CRUZE HB,RS HB AT,1.4T-16V,Combustão,A-10,S,E,F,17,337,2,B,0,120,\,"6,8","9,2","10,1","13,1",\,\,"1,96",\,C,C,-,3,2023
Grande,CHEVROLET,CRUZE NB,LT NB AT,1.4T-16V,Combustão,A-6,S,E,F,17,275,2,B,0,114,\,"7,1","9,7","10,5","13,9",\,\,"1,86",\,B,C,-,3,2023
Grande,CHEVROLET,CRUZE NB,LTZ NB AT,1.4T-16V,Combustão,A-7,S,E,F,17,275,2,B,0,114,\,"7,1","9,7","10,5","13,9",\,\,"1,86",\,B,C,-,3,2023
Grande,CHEVROLET,CRUZE NB,PRE NB AT,1.4T-16V,Combustão,A-8,S,E,F,17,275,2,B,0,114,\,"7,1","9,7","10,5","13,9",\,\,"1,86",\,B,C,-,3,2023
Grande,CHEVROLET,CRUZE NB,PRE2 NB AT,1.4T-16V,Combustão,A-9,S,E,F,17,275,2,B,0,114,\,"7,1","9,7","10,5","13,9",\,\,"1,86",\,B,C,-,3,2023
Grande,CHEVROLET,CRUZE NB,MID NB AT,1.4T-16V,Combustão,A-10,S,E,F,17,275,2,B,0,114,\,"7,1","9,7","10,5","13,9",\,\,"1,86",\,B,C,-,3,2023
,,,,,,"Manual (M)
Automática (A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Elétrico Puro
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes Gás Efeito Estufa,,,,,,,,,,,,,,,,,,4,2023
,,,,,,,,,,"NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)","Redução
Relativa
ao
Limite",Etanol oG ua Dso ieli sn ea l,,VEHP,Etanol,,"Gasolina
ou Diesel",,"Elétrico
VE ou VEHP
(km/l equivalente)",,,,,,,4,2023
,,,,,,,,,,,,,,CO2,CO2,CO2e,Cidade,Estrada,Cidade,Estrada,Cidade,Estrada,,,Comparação,Comparação,,4,2023
Grande,HONDA,CIVIC HYBRID,TOURING,2.0 - 16V,Híbrido,CVT,S,E,G,17,103,0,A,\,74,\,\,\,"18,3","15,9",\,\,"1,21",\,A,A,SIM,4,2023
Grande,HONDA,ZR-V,TOURING,2.0 - 16V,Combustão,CVT,S,E,G,11,167,0,A,\,122,\,\,\,"10,2","12,1",\,\,"1,98",\,C,C,-,4,2023
Grande,JEEP,COMPASS,S 4XE,1.3 16V T,Plug-in,A-6,S,E,G,40,216,1,A,\,47,34,\,\,"11,5","11,2","26,1","24,7","0,80",30,A,A,SIM,4,2023
Grande,KIA,NIRO,HEV EX,1.6 - 16V,Híbrido,DCT-6,S,E,G,11,91,1,A,\,68,\,\,\,"19,8","17,7",\,\,"1,10",\,A,A,SIM,4,2023
Grande,KIA,NIRO,HEV LX,1.6 - 16V,Híbrido,DCT-6,S,E,G,11,91,1,A,\,68,\,\,\,"19,8","17,7",\,\,"1,10",\,A,A,SIM,4,2023
Grande,KIA,NIRO,HEV SX,1.6 - 16V,Híbrido,DCT-6,S,E,G,11,91,1,A,\,68,\,\,\,"19,8","17,7",\,\,"1,10",\,A,A,SIM,4,2023
Grande,LEXUS,UX250H,LUXURY,2.0 - 16V,Híbrido,CVT,S,E,G,12,73,1,A,\,82,\,\,\,"16,6","14,7",\,\,"1,33",\,A,B,SIM,4,2023
Grande,LEXUS,UX250H,DYNAMIC,2.0 - 16V,Híbrido,CVT,S,E,G,12,73,1,A,\,82,\,\,\,"16,6","14,7",\,\,"1,33",\,A,B,SIM,4,2023
Grande,MASERATI,GHIBLI,GT HYB,"2,0L-16V",Híbrido,A-8,S,E,G,27,170,3,A,\,153,\,\,\,"8,0","10,4",\,\,"2,47",\,E,D,-,4,2023
Grande,Mercedes-Benz,A200 SD,,1.3-16V,Combustão,DCT-7,S,E,G,28,85,1,A,\,111,\,\,\,"10,8","14,0",\,\,"1,80",\,B,C,-,4,2023
Grande,Mercedes-Benz,AMG A35SD 4MATIC,,2.0-16V,Combustão,DCT-7,S,E,G,16,114,2,A,\,136,\,\,\,"9,1","11,5",\,\,"2,20",\,E,C,-,4,2023
Grande,Mercedes-Benz,AMG GLA35 4M,,2.0-16V,Combustão,DCT-8,S,E,G,24,93,2,A,\,145,\,\,\,"8,7","10,4",\,\,"2,35",\,E,C,-,4,2023
Grande,Mercedes-Benz,GLA200,AMG LINE(L7),1.3-16V,Combustão,DCT-7,S,E,G,33,18,2,A,\,110,\,\,\,"11,1","13,6",\,\,"1,79",\,A,C,-,4,2023
Grande,Mercedes-Benz,AMG A45S 4MATIC,,2.0-16V,Combustão,DCT-8,S,E,G,24,105,7,B,\,154,\,\,\,"7,9","10,5",\,\,"2,49",\,E,D,-,4,2023
Grande,NISSAN,LEAF,TEKNA,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,\,\,\,\,\,\,"38,7","31,9","0,58",192,A,A,-,4,2023
Grande,TOYOTA,COROLLA CROSS,XRV HYBRID,1.8 - 16V,Híbrido,CVT,S,E,F,18,104,4,A,0,79,\,"11,8","9,7","17,8","14,7",\,\,"1,31",\,A,B,SIM,4,2023
Grande,TOYOTA,COROLLA CROSS,XRX HYBRID,1.8 - 16V,Híbrido,CVT,S,E,F,18,104,4,A,0,79,\,"11,8","9,7","17,8","14,7",\,\,"1,31",\,A,B,SIM,4,2023
Grande,TOYOTA,COROLLA CROSS,XR 20,2.0 - 16V,Combustão,CVT,S,E,F,20,185,3,A,0,109,\,"8,2","9,0","11,7","13,0",\,\,"1,76",\,A,C,-,4,2023
Grande,TOYOTA,COROLLA CROSS,XRE 20,2.0 - 16V,Combustão,CVT,S,E,F,20,185,3,A,0,109,\,"8,2","9,0","11,7","13,0",\,\,"1,76",\,A,C,-,4,2023
Grande,TOYOTA,COROLLA CROSS,GRS,2.0 - 16V,Combustão,CVT,S,E,F,20,185,3,A,0,109,\,"8,2","9,0","11,7","13,0",\,\,"1,76",\,A,C,-,4,2023
Grande,TOYOTA,COROLLA CROSS,XRX 20,2.0 - 16V,Combustão,CVT,S,E,F,20,185,3,A,0,109,\,"8,2","9,0","11,7","13,0",\,\,"1,76",\,A,C,-,4,2023
Grande,TOYOTA,COROLLA,APREMIUMH,1.8 - 16V,Híbrido,CVT,S,E,F,18,97,5,B,0,77,\,"11,8","10,5","17,9","15,4",\,\,"1,27",\,A,B,SIM,4,2023
Grande,TOYOTA,COROLLA,ALTIS HV,1.8 - 16V,Híbrido,CVT,S,E,F,18,97,5,B,0,77,\,"11,8","10,5","17,9","15,4",\,\,"1,27",\,A,B,SIM,4,2023
Grande,TOYOTA,COROLLA,XEI 20,2.0 - 16V,Combustão,CVT,S,E,F,19,184,3,A,0,103,\,"8,3","9,8","11,9","14,2",\,\,"1,68",\,A,B,SIM,4,2023
Grande,TOYOTA,COROLLA,GLI 20,2.0 - 16V,Combustão,CVT,S,E,F,19,184,3,A,0,103,\,"8,3","9,8","11,9","14,2",\,\,"1,68",\,A,B,SIM,4,2023
Grande,TOYOTA,COROLLA,ALTIS 20,2.0 - 16V,Combustão,CVT,S,E,F,19,184,3,A,0,103,\,"8,3","9,8","11,9","14,2",\,\,"1,68",\,A,B,SIM,4,2023
Grande,TOYOTA,COROLLA HB,GR,1.6 - 12V,Combustão,M-6,S,E,G,20,255,1,A,\,141,\,\,\,"8,7","11,1",\,\,"2,29",\,E,C,-,4,2023
Grande,TOYOTA,COROLLA HB,GR R,1.6 - 12V,Combustão,M-6,S,E,G,20,255,1,A,\,141,\,\,\,"8,7","11,1",\,\,"2,29",\,E,C,-,4,2023
Grande,TOYOTA,COROLLA,GRS,2.0 - 16V,Combustão,CVT,S,E,F,19,184,3,A,0,103,\,"8,3","9,8","11,9","14,2",\,\,"1,68",\,A,B,SIM,4,2023
Grande,TOYOTA,COROLLA,APREMIUMH HV (MY 2024),1.8 - 16V,Híbrido,CVT,S,E,F,17,93,2,A,0,75,\,"12,8","11,1","18,5","15,7",\,\,"1,21",\,A,A,SIM,4,2023
Grande,TOYOTA,COROLLA,ALTIS HV (MY 2024),1.8 - 16V,Híbrido,CVT,S,E,F,17,93,2,A,0,75,\,"12,8","11,1","18,5","15,7",\,\,"1,21",\,A,A,SIM,4,2023
Grande,TOYOTA,COROLLA,XEI 20 (MY 2024),2.0 - 16V,Combustão,CVT,S,E,F,22,169,2,A,0,100,\,"8,6","10,7","12,3","14,9",\,\,"1,60",\,A,B,SIM,4,2023
Grande,TOYOTA,COROLLA,GLI 20 (MY 2024),2.0 - 16V,Combustão,CVT,S,E,F,22,169,2,A,0,100,\,"8,6","10,7","12,3","14,9",\,\,"1,60",\,A,B,SIM,4,2023
Grande,TOYOTA,COROLLA,ALTIS 20 (MY 2024),2.0 - 16V,Combustão,CVT,S,E,F,22,169,2,A,0,100,\,"8,6","10,7","12,3","14,9",\,\,"1,60",\,A,B,SIM,4,2023
Grande,TOYOTA,COROLLA,GRS (MY 2024),2.0 - 16V,Combustão,CVT,S,E,F,22,169,2,A,0,100,\,"8,6","10,7","12,3","14,9",\,\,"1,60",\,A,B,SIM,4,2023
Grande,VW,ID.4,PRO PERFORMANCE,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,\,\,\,\,\,"34,5","29,8","0,63",370,A,A,-,4,2023
Extra Grande,AUDI,A4 Sedan,Prestige,2.0 - 16V,Combustão,DCT-7,S,E,G,20,86,1,A,\,119,\,\,\,"10,5","12,5",\,\,"1,93",\,A,C,-,4,2023
Extra Grande,AUDI,A4 Sedan,S line,2.0 - 16V,Combustão,DCT-7,S,E,G,20,86,1,A,\,119,\,\,\,"10,5","12,5",\,\,"1,93",\,A,C,-,4,2023
Extra Grande,AUDI,A5 Sportback,S line,2.0 - 16V,Combustão,DCT-7,S,E,G,22,95,1,A,\,121,\,\,\,"10,3","12,4",\,\,"1,96",\,A,C,-,4,2023
Extra Grande,AUDI,RS 6 Avant,-,4.0 - 32V,Híbrido,A-8,S,E,G,46,176,1,B,\,230,\,\,\,"5,4","7,2",\,\,"3,72",\,E,E,-,4,2023
