categoria,marca,modelo,motor,versao,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
compacto,citroen,c3,1.58v,attraction,m5,sim,elétrica,flex,7.5,9.3,11.9,14.7,2015
compacto,citroen,ds3,1.616v,chic thp,m6,sim,elétrica,gasolina,0.0,0.0,11.3,14.4,2015
compacto,citroen,ds3,1.616v,so chic thp,m6,sim,elétrica,gasolina,0.0,0.0,11.3,14.4,2015
compacto,fiat,idea,1.616v,essence,m5,sim,hidráulica,flex,6.8,8.0,9.9,11.5,2015
compacto,fiat,idea,1.616v,essence,mta5,sim,hidráulica,flex,6.7,7.9,10.0,11.8,2015
compacto,fiat,novo palio,1.48v,attractive,m5,sim,hidráulica,flex,7.4,9.3,10.8,13.5,2015
compacto,fiat,novo palio,1.08v,attractive,m5,sim,hidráulica,flex,7.3,9.4,10.8,13.6,2015
compacto,fiat,punto,1.48v,attractiveevo,m5,sim,hidráulica,flex,7.4,8.5,10.4,12.3,2015
compacto,fiat,punto,1.616v,essence,m5,sim,hidráulica,flex,6.8,8.4,10.0,12.0,2015
compacto,fiat,punto,1.616v,essencedualogic,mta5,sim,hidráulica,flex,6.9,8.1,10.1,11.9,2015
compacto,fiat,siena,1.08v,el,m5,não,mecânica,flex,8.0,9.7,11.9,14.4,2015
compacto,fiat,siena,1.48v,el,m5,sim,hidráulica,flex,7.1,8.8,10.6,13.2,2015
compacto,ford,new fiesta hatch,1.516v,s,m5,sim,elétrica,flex,7.6,9.4,10.7,13.4,2015
compacto,ford,new fiesta hatch,1.516v,se,m5,sim,elétrica,flex,7.6,9.4,10.7,13.4,2015
compacto,ford,new fiesta hatch,1.616v,se,dct6,sim,elétrica,flex,7.7,10.0,11.0,14.3,2015
compacto,ford,new fiesta hatch,1.616v,titanium,dct6,sim,elétrica,flex,7.7,10.0,11.0,14.3,2015
compacto,ford,new fiesta hatch,1.616v,se,m5,sim,elétrica,flex,8.0,9.9,11.7,14.1,2015
compacto,ford,new fiesta hatch,1.616v,titanium,m5,sim,elétrica,flex,8.0,9.9,11.7,14.1,2015
compacto,ford,ka (5 portas),1.012v,se,m5,sim,elétrica,flex,8.9,10.4,13.0,15.1,2015
compacto,ford,ka (5 portas),1.012v,sel,m5,sim,elétrica,flex,8.9,10.4,13.0,15.1,2015
compacto,ford,ka (5 portas),1.516v,se,m5,sim,elétrica,flex,7.9,9.5,11.5,13.6,2015
compacto,ford,ka (5 portas),1.516v,sel,m5,sim,elétrica,flex,7.9,9.5,11.5,13.6,2015
compacto,honda,fit,1.516v,dx,m5,sim,elétrica,flex,8.3,9.5,11.6,13.6,2015
compacto,honda,fit,1.516v,lx,m5,sim,elétrica,flex,8.3,9.5,11.6,13.6,2015
compacto,honda,fit,1.516v,dx,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2015
compacto,honda,fit,1.516v,lx,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2015
compacto,honda,fit,1.516v,ex,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2015
compacto,honda,fit,1.516v,exl,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2015
compacto,hyundai,hb20,1.012v,comfort,m5,sim,hidráulica,flex,8.3,9.8,11.8,14.0,2015
compacto,hyundai,hb20,1.012v,plus,m5,sim,hidráulica,flex,8.3,9.8,11.8,14.0,2015
compacto,hyundai,hb20,1.012v,style,m5,sim,hidráulica,flex,8.3,9.8,11.8,14.0,2015
compacto,hyundai,hb20,1.616v,comfort,m5,sim,hidráulica,flex,7.7,9.3,11.5,13.0,2015
compacto,hyundai,hb20,1.616v,plus,m5,sim,hidráulica,flex,7.7,9.3,11.5,13.0,2015
compacto,hyundai,hb20,1.616v,style,m5,sim,hidráulica,flex,7.7,9.3,11.5,13.0,2015
compacto,hyundai,hb20,1.616v,premium,m5,sim,hidráulica,flex,7.7,9.3,11.5,13.0,2015
compacto,hyundai,hb20x,1.616v,style,m5,sim,hidráulica,flex,8.0,9.3,11.4,12.9,2015
compacto,hyundai,hb20x,1.616v,premium,m5,sim,hidráulica,flex,8.0,9.3,11.4,12.9,2015
compacto,hyundai,hb20x,1.616v,style,a4,sim,hidráulica,flex,7.0,8.3,9.9,11.7,2015
compacto,hyundai,hb20x,1.616v,premium,a4,sim,hidráulica,flex,7.0,8.3,9.9,11.7,2015
compacto,hyundai,hb20 (2016),1.012v,comfort,m5,sim,hidráulica,flex,8.5,9.9,12.5,14.1,2015
compacto,hyundai,hb20 (2016),1.012v,plus,m5,sim,hidráulica,flex,8.5,9.9,12.5,14.1,2015
compacto,hyundai,hb20 (2016),1.012v,style,m5,sim,hidráulica,flex,8.5,9.9,12.5,14.1,2015
compacto,hyundai,hb20 (2016),1.616v,comfort,m6,sim,hidráulica,flex,8.1,9.9,11.6,13.8,2015
compacto,hyundai,hb20 (2016),1.616v,plus,m6,sim,hidráulica,flex,8.1,9.9,11.6,13.8,2015
compacto,hyundai,hb20 (2016),1.616v,style,m6,sim,hidráulica,flex,8.1,9.9,11.6,13.8,2015
compacto,hyundai,hb20 (2016),1.616v,premium,m6,sim,hidráulica,flex,8.1,9.9,11.6,13.8,2015
compacto,jac,j3,1.416v,*****,m5,sim,hidráulica,gasolina,0.0,0.0,11.2,12.7,2015
compacto,jac,j3,1.416v,"1,4",m5,sim,hidráulica,gasolina,0.0,0.0,11.2,12.7,2015
compacto,jac,j3,1.416v,turin,m5,sim,hidráulica,gasolina,0.0,0.0,11.3,12.8,2015
compacto,mini,one,1.212v,,m6,sim,eletro-hidráulica,gasolina,0.0,0.0,11.0,15.9,2015
compacto,mini,cooper,1.512v,,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,10.6,12.2,2015
compacto,mini,cooper,1.516v,5p,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,11.1,13.7,2015
compacto,mini,cooper,2.016v,s 5p,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,9.9,13.1,2015
compacto,nissan,new march,1.012v,mt,m5,sim,elétrica,flex,8.8,10.3,12.9,15.1,2015
compacto,nissan,new march,1.012v,s,m5,sim,elétrica,flex,8.8,10.3,12.9,15.1,2015
compacto,nissan,new march,1.012v,sv,m5,sim,elétrica,flex,8.8,10.3,12.9,15.1,2015
compacto,nissan,new march,1.616v,s,m5,sim,elétrica,flex,8.1,10.0,12.1,14.5,2015
compacto,nissan,new march,1.616v,sv,m5,sim,elétrica,flex,8.1,10.0,12.1,14.5,2015
compacto,nissan,new march,1.616v,sl,m5,sim,elétrica,flex,8.1,10.0,12.1,14.5,2015
compacto,nissan,new march,1.016v,s,m5,sim,elétrica,flex,8.7,10.4,12.5,14.8,2015
compacto,nissan,new march,1.016v,sv,m5,sim,elétrica,flex,8.7,10.4,12.5,14.8,2015
compacto,nissan,new march,1.016v,mt,m5,sim,elétrica,flex,8.7,10.4,12.5,14.8,2015
compacto,peugeot,208,1.58v,active,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.58v,active pack,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.58v,allure,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.58v,like,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.58v,style,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.58v,quiksilver,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.616v,griffe,m5,sim,elétrica,flex,7.1,8.9,10.6,12.9,2015
compacto,renault,novo sandero,1.016v,authentique,m5,sim,hidráulica,flex,8.1,9.2,11.9,13.4,2015
compacto,renault,novo sandero,1.016v,expression,m5,sim,hidráulica,flex,8.1,9.2,11.9,13.4,2015
compacto,renault,novo sandero,1.68v,expression,m5,sim,hidráulica,flex,7.3,8.7,10.6,12.5,2015
compacto,renault,novo sandero,1.68v,dynamique,m5,sim,hidráulica,flex,7.3,8.7,10.6,12.5,2015
compacto,suzuki,swift,1.616v,2wd,m6,sim,elétrica,gasolina,0.0,0.0,10.0,12.0,2015
compacto,toyota,etios hatchback,1.316v,x,m5,sim,elétrica,flex,8.3,9.1,12.2,13.3,2015
compacto,toyota,etios hatchback,1.516v,xs,m5,sim,elétrica,flex,8.5,9.5,12.2,13.8,2015
compacto,toyota,etios hatchback,1.516v,xls,m5,sim,elétrica,flex,8.5,9.5,12.2,13.8,2015
compacto,toyota,etios hatchback,1.516v,cross,m5,sim,elétrica,flex,8.5,9.5,12.2,13.8,2015
compacto,toyota,etios hatchback,1.516v,platinum,m5,sim,elétrica,flex,8.5,9.5,12.2,13.8,2015
compacto,volkswagen,gol,1.08v,bluemotiontechnology,m5,não,hidráulica,flex,8.0,10.1,11.8,14.9,2015
compacto,volkswagen,gol,1.08v,special,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
compacto,volkswagen,gol,1.08v,city,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
compacto,volkswagen,gol,1.08v,trendline,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
compacto,volkswagen,gol,1.08v,comfortline,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
compacto,volkswagen,gol,1.68v,patrulheiro,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
compacto,volkswagen,gol,1.68v,city,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
compacto,volkswagen,gol,1.68v,trendline,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
compacto,volkswagen,gol,1.68v,comfortline,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
compacto,volkswagen,gol,1.68v,highline,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
compacto,volkswagen,gol,1.68v,comfortline imotion,mta5,sim,hidráulica,flex,7.3,9.5,10.7,13.6,2015
compacto,volkswagen,gol,1.68v,highline imotion,mta5,sim,hidráulica,flex,7.3,9.5,10.7,13.6,2015
compacto,volkswagen,gol,1.616v,rallye,m5,sim,hidráulica,flex,7.7,8.0,11.1,11.3,2015
compacto,volkswagen,gol,1.616v,rallye imotion,mta5,sim,hidráulica,flex,7.3,8.0,10.5,11.2,2015
compacto,volkswagen,gol,1.08v,rock in rio,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
compacto,volkswagen,novo fox,1.012v,bluemotion,m5,sim,elétrica,flex,8.8,9.9,12.7,14.4,2015
compacto,volkswagen,novo fox,1.012v,comfortline,m5,sim,elétrica,flex,8.6,9.3,12.2,13.4,2015
compacto,volkswagen,novo fox,1.68v,trendline,m5,sim,elétrica,flex,7.4,8.2,10.4,11.8,2015
compacto,volkswagen,novo fox,1.68v,comfortline,m5,sim,elétrica,flex,7.4,8.2,10.4,11.8,2015
compacto,volkswagen,novo fox,1.68v,trendline imotion,mta5,sim,elétrica,flex,7.3,8.2,10.3,11.7,2015
compacto,volkswagen,novo fox,1.68v,comfortline imotion,mta5,sim,elétrica,flex,7.3,8.2,10.3,11.7,2015
compacto,volkswagen,novo fox,1.616v,highline,m6,sim,elétrica,flex,7.6,8.4,10.8,12.0,2015
compacto,volkswagen,novo fox,1.616v,pepper,m6,sim,elétrica,flex,7.6,8.4,10.8,12.0,2015
compacto,volkswagen,novo fox,1.012v,trendline,m5,sim,elétrica,flex,8.6,9.3,12.2,13.4,2015
compacto,volkswagen,novo fox,1.012v,track,m5,sim,elétrica,flex,8.6,9.3,12.2,13.4,2015
médio,audi,a1,1.416v,sportbackattraction,dct7,sim,eletro-hidráulica,gasolina,0.0,0.0,10.8,14.0,2015
médio,audi,a1,1.416v,ambition,dct7,sim,eletro-hidráulica,gasolina,0.0,0.0,10.8,14.0,2015
médio,audi,a1,1.416v,sportbackattraction(modelo 2016),dct7,sim,elétrica,gasolina,0.0,0.0,12.6,15.2,2015
médio,audi,a1,1.816v,sportbackambition(modelo 2016),dct7,sim,elétrica,gasolina,0.0,0.0,10.7,13.2,2015
médio,audi,a3,1.416v,sportbackattraction,dct7,sim,eletro-hidráulica,gasolina,0.0,0.0,10.0,11.5,2015
médio,audi,a3,1.816v,sportbackambition,dct7,sim,eletro-hidráulica,gasolina,0.0,0.0,10.7,14.0,2015
médio,bmw,225i,2.016v,cat,a8,sim,eletro-hidráulica,gasolina,0.0,0.0,8.8,12.2,2015
médio,bmw,118i,2.016v,,a8,sim,eletro-hidráulica,gasolina,0.0,0.0,10.1,13.1,2015
médio,bmw,m135i,3.024v,,a8,sim,eletro-hidráulica,gasolina,0.0,0.0,7.5,10.3,2015
médio,bmw,125i,2.016v,active flex,a8,sim,eletro-hidráulica,flex,6.0,8.3,8.6,11.8,2015
médio,bmw,120i,2.016v,active flex,a8,sim,eletro-hidráulica,flex,6.5,9.3,9.2,13.3,2015
médio,chery,celer hb,1.516v,"1,5flex hb",m5,sim,hidráulica,flex,6.3,8.3,9.2,12.1,2015
médio,chery,celer sd,1.516v,"1,5 flex",m5,sim,hidráulica,flex,6.3,8.3,9.2,12.1,2015
médio,chery,tiggo fl 2.0 mt,2.016v,"fl 2,0 mt",m5,sim,hidráulica,gasolina,0.0,0.0,7.9,9.8,2015
médio,citroen,ds4,1.616v,so chic thp,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,8.7,11.5,2015
médio,fiat,bravo,1.816v,essence,m5,sim,elétrica,flex,6.4,7.5,8.9,10.9,2015
médio,fiat,bravo,1.816v,absolute,m5,sim,elétrica,flex,6.4,7.5,8.9,10.9,2015
médio,fiat,bravo,1.816v,sporting,m5,sim,elétrica,flex,6.4,7.5,8.9,10.9,2015
médio,fiat,bravo,1.816v,essence,mta5,sim,elétrica,flex,6.5,7.6,9.1,10.8,2015
médio,fiat,bravo,1.816v,absolute,mta5,sim,elétrica,flex,6.5,7.6,9.1,10.8,2015
médio,fiat,bravo,1.816v,sporting,mta5,sim,elétrica,flex,6.5,7.6,9.1,10.8,2015
médio,fiat,bravo,1.416v,tjet,m5,sim,elétrica,gasolina,0.0,0.0,9.0,10.4,2015
médio,fiat,grand siena,1.48v,attractive,m5,sim,hidráulica,flex,7.7,9.0,11.0,13.0,2015
médio,fiat,weekend,1.48v,attractive,m5,sim,hidráulica,flex,7.1,8.3,10.3,12.1,2015
médio,ford,new fiesta sedan,1.616v,se,dct6,sim,elétrica,flex,7.5,9.5,10.6,13.8,2015
médio,ford,new fiesta sedan,1.616v,titanium,dct6,sim,elétrica,flex,7.5,9.5,10.6,13.8,2015
médio,ford,new fiesta sedan,1.616v,se,m5,sim,elétrica,flex,7.6,9.7,11.6,14.0,2015
médio,ford,new fiesta sedan,1.616v,titanium,m5,sim,elétrica,flex,7.6,9.7,11.6,14.0,2015
médio,ford,ka+ (4 portas),1.012v,se,m5,sim,elétrica,flex,8.9,10.4,13.0,15.1,2015
médio,ford,ka+ (4 portas),1.012v,sel,m5,sim,elétrica,flex,8.9,10.4,13.0,15.1,2015
médio,ford,ka+ (4 portas),1.516v,se,m5,sim,elétrica,flex,7.9,9.5,11.5,13.6,2015
