categoria,marca,modelo,motor,versao,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
médio,hyundai,hb20s,1.6-16v,plus / style / premium,a-6,sim,hidráulica,flex,7.0,9.3,10.2,12.9,2017
médio,hyundai,hb20s,1.0-12vturbo,plus / style,m-6,sim,hidráulica,flex,8.4,10.5,11.9,15.2,2017
médio,volkswagen,voyage,1.0-12v,city /trendline,m-5,sim,hidráulica,flex,8.9,10.7,13.1,15.3,2017
médio,volkswagen,voyage,1.0-12v,comfortline,m-5,sim,hidráulica,flex,8.6,10.2,12.7,14.8,2017
médio,volkswagen,voyage,1.6-8v,"trendline(rodas aro 14"")",m-5,sim,hidráulica,flex,7.9,10.0,11.5,14.5,2017
médio,volkswagen,voyage,1.6-8v,"comfortline (rodas aro 15"")/ highline (rodas aro 15"")",m-5,sim,hidráulica,flex,8.0,9.9,11.6,14.1,2017
médio,volkswagen,voyage,1.6-8v,"comfortline (rodas aro 16"")/ highline (rodas aro 16"")",m-5,sim,hidráulica,flex,7.6,9.1,10.7,12.6,2017
médio,volkswagen,voyage,1.6-8v,"comfortline (rodas aro 15"") (i-motion)/ highline (rodas aro 15"") (i-motion)",mta-5,sim,hidráulica,flex,7.8,9.5,11.2,13.5,2017
médio,volkswagen,voyage,1.6-8v,"comfortline (rodas aro 16"") (i-motion)/ highline (rodas aro 16"") (i-motion)",mta-5,sim,hidráulica,flex,7.3,8.6,10.6,12.3,2017
médio,honda,city,1.5-16v,dx,m-5,sim,elétrica,flex,8.6,10.3,12.4,14.6,2017
médio,honda,city,1.5-16v,lx / ex / exl,contínua,sim,elétrica,flex,8.5,10.3,12.3,14.5,2017
médio,renault,logan,1.0-12v,authentique / expression,m5,sim,eletro-hidráulica,flex,9.4,10.0,13.8,14.5,2017
médio,renault,logan,1.6-16v,dynamique / expression,m5,sim,eletro-hidráulica,flex,8.8,9.5,13.0,13.8,2017
médio,renault,logan,1.6-16v,dynamique / expression,mta-5,sim,eletro-hidráulica,flex,7.9,9.1,11.8,13.4,2017
médio,hyundai,hb20s,1.0-12v,plus / style,m-5,sim,hidráulica,flex,8.5,9.8,12.0,14.0,2017
médio,hyundai,hb20s,1.6-16v,plus / style,m-6,sim,hidráulica,flex,8.1,9.8,11.5,14.0,2017
médio,hyundai,hb20s,1.6-16v,plus / style / premium,a-6,sim,hidráulica,flex,7.0,9.3,10.2,12.9,2017
médio,hyundai,hb20s,1.0-12vturbo,plus / style,m-6,sim,hidráulica,flex,8.4,10.5,11.9,15.2,2017
