Categoria,Marca,Modelo,Versão,Motor,"Transmissão
Sub Compacto,VW,up! TSI,Cross,1.0-12V,M-5,S,E,F,"0,022","0,189","0,032",B,0,93,"9,5","10,4","13,7","14,7","1,50",B,B,-,2,2017
Sub Compacto,VW,up!,Track,1.0-12V,M-5,S,E,F,"0,030","0,223","0,026",B,0,93,"9,5","10,3","13,7","14,8","1,50",B,B,-,2,2017
Sub Compacto,FIAT,Palio,Fire Evo,1.0-8V,M-5,N,M,F,"0,020","0,388","0,019",B,0,99,"8,7","10,4","12,2","15,3","1,60",D,B,-,2,2017
Sub Compacto,FIAT,Palio,Fire Way,1.0-8V,M-5,N,M,F,"0,020","0,388","0,019",B,0,103,"8,3","9,8","12,0","14,2","1,67",E,B,-,2,2017
Sub Compacto,FIAT,Novo Uno,Attractive,1.0-6V,M-5,S,H,F,"0,022","0,367","0,023",B,0,94,"9,2","10,4","13,1","15,1","1,53",B,B,-,2,2017
Sub Compacto,FIAT,Novo Uno,WAY,1.0-6V,M-5,S,H,F,"0,022","0,367","0,023",B,0,94,"9,2","10,4","13,1","15,1","1,53",B,B,-,2,2017
Sub Compacto,FIAT,Novo Uno,Sporting,1.3 8V,M-5,S,H,F,"0,022","0,319","0,031",B,0,99,"9,2","10,1","12,9","14,0","1,58",D,B,-,2,2017
Sub Compacto,FIAT,Novo Uno,Sporting Dualogic,1.3 8V,MTA-5,S,H,F,"0,019","0,508","0,032",B,0,98,"9,3","10,1","13,2","13,7","1,57",D,B,-,2,2017
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,3,2017
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,3,2017
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,3,2017
Compacto,NISSAN,NEW MARCH,10 Conforto / 10 S / 10 SV,1.0 - 12V,M-5,S,E,F,"0,023","0,559","0,003",B,0,96,"8,8","10,5","12,9","15,0","1,57",A,B,SIM,3,2017
Compacto,NISSAN,NEW MARCH,16 S / 16 SV / 16 SL,1.6 - 16V,M-5,S,E,F,"0,031","0,664","0,005",B,0,99,"8,5","9,9","12,6","14,4","1,63",B,B,-,3,2017
Compacto,NISSAN,NEW MARCH,16 SV / 16 SL,1.6 - 16V,CVT,S,E,F,"0,024","0,163","0,014",B,0,104,"7,8","9,8","11,7","14,5","1,72",C,B,-,3,2017
Compacto,Citroën,C3,"Origine / Attraction / Tendance / M
Style",1.2,M-5,S,E,F,"0,014","0,470","0,023",B,0,84,"10,6","11,3","14,8","16,6","1,35",A,A,SIM,3,2017
