node_id,latitude,longitude,nome_rua,bairro
2152555487,-15.2403458,-41.0116853,Desconhecido,Desconhecido
2078095094,-14.8435637,-40.8560729,Avenida Serrinha,Ibirapuera
2322403938,-14.8607215,-40.8469735,Rua Eunápolis,Jurema
