categoria,marca,modelo,motor,versao,transmissao,ar_condicionado,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
COMPACTO,PEUGEOT,208,1.6­16V,Allure,A­6,S,E,F,"7,7","9,3","11,0","13,2",2020
COMPACTO,TOYOTA,Etios Hatchback,1.3­16V,X STD,M­6,S,E,F,"8,6","9,8","12,6","14,2",2020
COMPACTO,TOYOTA,Etios Hatchback,1.3­16V,X VSC,M­6,S,E,F,"8,6","9,8","12,6","14,2",2020
COMPACTO,TOYOTA,Etios Hatchback,1.3­16V,X VSC,A­4,S,E,F,"8,2","9,2","11,8","13,3",2020
COMPACTO,TOYOTA,Etios Hatchback,1.5­16V,X Plus,M­6,S,E,F,"8,3","9,8","12,4","14,1",2020
COMPACTO,TOYOTA,Etios Hatchback,1.5­16V,X Plus,A­4,S,E,F,"8,1","9,2","11,9","13,2",2020
COMPACTO,FIAT,Argo,1.0­6V,Drive,M­5,S,E,F,"9,3","10,0","13,2","14,2",2020
COMPACTO,FIAT,Argo,1.0­6V,"Drive (Stop &
Start)",M­5,S,E,F,"9,8","10,3","14,2","14,5",2020
COMPACTO,FIAT,Argo,1.3­8V,Drive,M­5,S,E,F,"8,9","10,4","12,5","14,7",2020
COMPACTO,FIAT,Argo,1.3­8V,"Drive (Stop &
Start)",M­5,S,E,F,"9,4","10,5","13,4","15,0",2020
COMPACTO,FIAT,Argo,1.3­8V,Drive,MTA­5,S,E,F,"8,5","10,0","12,2","14,1",2020
COMPACTO,FIAT,Argo,1.3­8V,"Drive (Stop &
Start)",MTA­5,S,E,F,"9,1","10,1","13,0","14,3",2020
COMPACTO,FIAT,Argo,1.8­16V,Precision,A­6,S,E,F,"6,9","9,2","9,7","12,8",2020
COMPACTO,FIAT,Argo,1.8­16V,"Precision (Stop
& Start)",A­6,S,E,F,"7,2","9,3","10,4","12,9",2020
COMPACTO,FIAT,Argo,1.8­16V,HGT,A­6,S,E,F,"6,9","9,2","9,7","12,8",2020
COMPACTO,FIAT,Argo,1.8­16V,"HGT (Stop &
Start)",A­6,S,E,F,"7,2","9,3","10,4","12,9",2020
COMPACTO,RENAULT,Sandero,1.0­12V,Authentique,M­5,S,E­H,F,"9,5","9,6","14,2","14,1",2020
COMPACTO,RENAULT,Sandero,1.0­12V,Expression,M­5,S,E­H,F,"9,5","9,6","14,2","14,1",2020
COMPACTO,RENAULT,Sandero,1.6­16V,Dynamique,M­5,S,E­H,F,"8,6","9,2","12,8","13,4",2020
COMPACTO,RENAULT,Sandero,1.6­16V,Expression,M­5,S,E­H,F,"8,6","9,2","12,8","13,4",2020
COMPACTO,RENAULT,Sandero,1.6­16V,Expression,MTA­5,S,E­H,F,"8,1","8,8","11,8","12,8",2020
COMPACTO,RENAULT,Sandero,1.6­16V,Dynamique,MTA­5,S,E­H,F,"8,1","8,8","11,8","12,8",2020
COMPACTO,RENAULT,Sandero,1.6­16V,GT Line,M­5,S,E­H,F,"8,4","8,9","12,5","13,0",2020
COMPACTO,RENAULT,Sandero RS,2.0­16V,RS,M­6,S,E­H,F,"6,9","7,7","9,9","11,1",2020
COMPACTO,HYUNDAI,HB20,1.0­12V Turbo,Evolution,A­6,S,E,F,"8,2","10,2","11,8","14,2",2020
COMPACTO,HYUNDAI,HB20,1.0­12V Turbo,Diamond,A­6,S,E,F,"8,6","10,3","12,2","13,9",2020
COMPACTO,HYUNDAI,HB20,1.6­16V,Vision,M­6,S,E,F,"8,6","10,3","12,5","14,7",2020
COMPACTO,HYUNDAI,HB20,1.6­16V,Evolution,M­6,S,E,F,"8,6","10,3","12,5","14,7",2020
COMPACTO,HYUNDAI,HB20,1.6­16V,Vision,A­6,S,E,F,"7,8","9,8","11,5","13,9",2020
COMPACTO,HYUNDAI,HB20,1.6­16V,Evolution,A­6,S,E,F,"7,8","9,8","11,5","13,9",2020
COMPACTO,HYUNDAI,HB20,1.0­12V,Sense,M­5,S,E,F,"9,1","10,1","12,8","14,6",2020
COMPACTO,HYUNDAI,HB20,1.0­12V,Vision,M­5,S,E,F,"9,1","10,1","12,8","14,6",2020
COMPACTO,Hyundai,HB20,1.0­12V Turbo,Sport,A­6,S,E,F,"8,2","10,4","11,7","14,0",2020
COMPACTO,CHEVROLET,Onix Joy,1.0­8V,Joy,M­6,S,E,F,"8,8","10,3","12,8","14,7",2020
COMPACTO,CHEVROLET,Onix Joy,1.0­8V,Joy Black,M­6,S,E,F,"8,8","10,3","12,8","14,7",2020
COMPACTO,VW,Fox,1.6­8V,Connect,M­5,S,E,F,"7,8","9,7","11,6","13,9",2020
COMPACTO,VW,Fox,1.6­8V,Xtreme,M­5,S,E,F,"7,7","9,2","11,3","13,3",2020
COMPACTO,VW,Gol,1.0­12V,(roda aro 14),M­5,S,H,F,"9,1","10,1","13,3","14,4",2020
COMPACTO,VW,Gol,1.0­12V,(roda aro 15),M­5,S,H,F,"9,0","9,9","12,9","14,2",2020
COMPACTO,VW,Gol,1.6­8V,Patrulheiro,M­5,S,H,F,"7,7","9,0","11,2","13,0",2020
COMPACTO,VW,Gol,1.6­16V,MSI,A­6,S,H,F,"7,7","9,6","11,1","13,6",2020
MÉDIO,NISSAN,New Versa,1.0­12V,Conforto,M­5,S,E,F,"8,8","10,5","12,9","15,3",2020
MÉDIO,NISSAN,New Versa,1.0­12V,S,M­5,S,E,F,"8,8","10,5","12,9","15,3",2020
MÉDIO,NISSAN,New Versa,1.6­16V,S,M­5,S,E,F,"8,4","10,0","12,6","14,4",2020
MÉDIO,NISSAN,New Versa,1.6­16V,SV,M­5,S,E,F,"8,4","10,0","12,6","14,4",2020
MÉDIO,NISSAN,New Versa,1.6­16V,SL,M­5,S,E,F,"8,4","10,0","12,6","14,4",2020
MÉDIO,NISSAN,New Versa,1.6­16V,SV,CVT,S,E,F,"7,8","10,0","11,6","14,1",2020
MÉDIO,NISSAN,New Versa,1.6­16V,SL,CVT,S,E,F,"7,8","10,0","11,6","14,1",2020
MÉDIO,NISSAN,New Versa,1.6­16V,Unique,CVT,S,E,F,"7,8","10,0","11,6","14,1",2020
MÉDIO,NISSAN,New Versa,1.6­16V,SL DRCT,CVT,S,E,F,"7,8","10,0","11,6","14,1",2020
MÉDIO,NISSAN,New Versa,1.6­16V,Sedit,CVT,S,E,F,"7,8","10,0","11,6","14,1",2020
MÉDIO,BMW,i3,647 ­ 8V,120 REX,A­1,S,E,G,\,\,"42,6","41,9",2020
MÉDIO,FORD,Ka Sedan,1.0­12V,SE,M­5,S,E,F,"9,3","10,8","13,3","15,6",2020
MÉDIO,FORD,Ka Sedan,1.0­12V,SE Plus,M­5,S,E,F,"9,3","10,8","13,3","15,6",2020
MÉDIO,FORD,Ka Sedan,1.5­12V,SE,M­5,S,E,F,"8,8","10,5","12,4","14,8",2020
MÉDIO,FORD,Ka Sedan,1.5­12V,SE Plus,M­5,S,E,F,"8,8","10,5","12,4","14,8",2020
MÉDIO,FORD,Ka Sedan,1.5­12V,SE,A­6,S,E,F,"8,4","9,9","11,7","14,5",2020
MÉDIO,FORD,Ka Sedan,1.5­12V,SE Plus,A­6,S,E,F,"8,4","9,9","11,7","14,5",2020
MÉDIO,FORD,Ka Sedan,1.5­12V,SEL,A­6,S,E,F,"8,4","9,9","11,7","14,5",2020
MÉDIO,FORD,Ka Sedan,1.5­12V,Titanium,A­6,S,E,F,"8,4","9,9","11,7","14,5",2020
MÉDIO,HYUNDAI,HB20S,1.0­12V Turbo,Diamond,A­6,S,E,F,"8,0","10,8","12,1","15,3",2020
