"Ano:2016 Modelo: Todos Data: 06/12/2016
Categoria: Todas Motor: Todos Última Atualização: 06/12/2016
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
Energética
Veículos Automotores Leves
Categoria Todas
Modelos com classificação PBE para ENCE
Comparação entre modelos participantes
Ano2016
35Marcas
Valor de CO2 da
1102 Modelos/Versões emissão no
escapamento referente Valores em km/l medidos em condições padrão de laboratório (NBR7024) e ajustados para
349Modelo(s) com Selo CONPET ao combustível de simular condições mais comuns de utilização. O consumo percebido pelo motorista poderá
origem fóssil não variar para mais ou para menos, dependendo das condições de uso. Para saber por que,
renovável consulte: www.inmetro.gov.br e www.conpet.gov.br",,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,Página,Ano,
,CHEVROLET,Prisma,1.4­8V,LT,M­5,S,H,F,"0,016","0,420","0,015",A,0,108,"7,9","9,6","11,5","13,6","1,75",A,B,SIM,9,2016,MÉDIO
,CHEVROLET,Prisma,1.4­8V,LTZ,M­5,S,H,F,"0,016","0,420","0,015",A,0,108,"7,9","9,6","11,5","13,6","1,75",A,B,SIM,9,2016,MÉDIO
,CHEVROLET,Novo Prisma (2017),1.0­8V,LT,M­6,S,E,F,"0,027","0,448","0,009",A,0,93,"8,9","10,8","13,1","15,8","1,52",A,A,SIM,9,2016,MÉDIO
,CHEVROLET,Prisma Joy (2017),1.0­8V,Joy,M­6,S,E,F,"0,027","0,484","0,008",A,0,94,"8,7","10,9","12,9","15,6","1,54",A,A,SIM,9,2016,MÉDIO
,CHEVROLET,Novo Prisma (2017),1.4­8V,LT,M­6,S,E,F,"0,027","0,501","0,018",A,0,95,"8,8","10,7","12,9","15,4","1,55",A,A,SIM,9,2016,MÉDIO
,,,,,,,,,,,,,,,,,,,,,,,9,2016,
,,,,,,,,,,,,,,,,,,,,,,,9,2016,
,,,,,,,,,,,,,,,,,,,,,,,9,2016,Página 9 / 44
,,,,,,,,,,,,,,,,,,,,,,,9,2016,
,,,,,,,,,,,,,,,,,,,,,,,10,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",10,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,"Gasolina /
Diesel",,,,,,10,2016,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina /
Diesel","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,10,2016,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2 fóssil
(g/km)",,,,,,,,,10,2016,
,CHEVROLET,Novo Prisma (2017),1.4­8V,LTZ,M­6,S,E,F,"0,027","0,501","0,018",A,0,95,"8,8","10,7","12,9","15,4","1,55",A,A,SIM,10,2016,MÉDIO
,CHEVROLET,Novo Prisma (2017),1.4­8V,LT,A­6,S,E,F,"0,019","0,437","0,017",A,0,102,"8,1","10,2","11,9","14,7","1,66",A,A,SIM,10,2016,MÉDIO
,CHEVROLET,Novo Prisma (2017),1.4­8V,LTZ,A­6,S,E,F,"0,019","0,437","0,017",A,0,102,"8,1","10,2","11,9","14,7","1,66",A,A,SIM,10,2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,Activ (5L),A­6,S,H,F,"0,017","0,477","0,018",A,0,139,"5,9","7,5","9,0","10,9","2,30",E,C,­,10,2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,LT (5L),A­6,S,H,F,"0,016","0,357","0,016",A,0,141,"5,9","7,4","8,9","10,8","2,32",E,C,­,10,2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,"LT Advantage
(5L)",A­6,S,H,F,"0,016","0,357","0,016",A,0,141,"5,9","7,4","8,9","10,8","2,32",E,C,­,10,2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,(5L),M­5,S,H,F,"0,012","0,646","0,021",A,0,138,"6,5","7,4","9,2","10,8","2,22",E,C,­,10,2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,LT (5L),M­5,S,H,F,"0,012","0,646","0,021",A,0,138,"6,5","7,4","9,2","10,8","2,22",E,C,­,10,2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,"LT Advantage
(5L)",M­5,S,H,F,"0,012","0,646","0,021",A,0,138,"6,5","7,4","9,2","10,8","2,22",E,C,­,10,2016,MÉDIO
,CHEVROLET,Spin (2017),1.8­8V,(5L),M­5,S,E,F,"0,026","0,590","0,018",A,0,133,"6,8","7,5","9,7","10,8","2,15",E,C,­,10,2016,MÉDIO
,CHEVROLET,Spin (2017),1.8­8V,LT (5L),M­6,S,E,F,"0,015","0,414","0,017",A,0,106,"8,1","9,4","11,8","13,7","1,73",A,B,SIM,10,2016,MÉDIO
,CHEVROLET,Spin (2017),1.8­8V,LS (5L),M­6,S,E,F,"0,015","0,414","0,017",A,0,106,"8,1","9,4","11,8","13,7","1,73",A,B,SIM,10,2016,MÉDIO
,CHEVROLET,Spin (2017),1.8­8V,LT ADV (5L),A­6,S,E,F,"0,019","0,445","0,016",A,0,114,"7,5","9,2","10,9","13,1","1,85",C,B,­,10,2016,MÉDIO
,CHEVROLET,Spin (2017),1.8­8V,ACT (5L),A­6,S,E,F,"0,026","0,445","0,020",A,0,123,"6,9","8,4","10,1","12,0","2,01",E,C,­,10,2016,MÉDIO
,FIAT,Bravo,1.8­16V,Essence,M­5,S,E,F,"0,016","0,513","0,015",A,0,139,"6,4","7,5","8,9","10,9","2,25",E,C,­,10,2016,MÉDIO
,FIAT,Bravo,1.8­16V,Absolute,M­5,S,E,F,"0,016","0,513","0,015",A,0,139,"6,4","7,5","8,9","10,9","2,25",E,C,­,10,2016,MÉDIO
,FIAT,Bravo,1.8­16V,Sporting,M­5,S,E,F,"0,016","0,513","0,015",A,0,139,"6,4","7,5","8,9","10,9","2,25",E,C,­,10,2016,MÉDIO
,FIAT,Bravo,1.8­16V,Essence,MTA­5,S,E,F,"0,012","0,506","0,016",A,0,138,"6,5","7,6","9,1","10,8","2,22",E,C,­,10,2016,MÉDIO
,FIAT,Bravo,1.8­16V,Absolute,MTA­5,S,E,F,"0,012","0,506","0,016",A,0,138,"6,5","7,6","9,1","10,8","2,22",E,C,­,10,2016,MÉDIO
,FIAT,Bravo,1.8­16V,"Sporting
Dualogic",MTA­5,S,E,F,"0,012","0,506","0,016",A,0,138,"6,5","7,6","9,1","10,8","2,22",E,C,­,10,2016,MÉDIO
,FIAT,Bravo,1.4­16V,Tjet Gasolina,M­6,S,E,G,"0,028","0,515","0,025",A,\,141,\,\,"9,0","10,4","2,29",E,C,­,10,2016,MÉDIO
,FIAT,Grand Siena,1.4­8V,Attractive,M­5,S,H,F,"0,012","0,354","0,017",A,0,111,"7,7","9,0","11,2","13,1","1,81",B,B,­,10,2016,MÉDIO
,FIAT,Grand Siena,1.6­16V,"Essence
Dualogic",MTA­5,S,H,F,"0,017","0,491","0,026",A,0,122,"7,0","8,3","10,1","12,4","2,00",D,C,­,10,2016,MÉDIO
,FIAT,Grand Siena,1.4­8V,Tetra Fuel,M­5,S,H,F,"0,014","0,151","0,035",A,0,126,"6,8","8,1","9,8","12,1","2,05",E,C,­,10,2016,MÉDIO
,FIAT,Grand Siena,1.6­16V,Essence,M­5,S,H,F,"0,031","0,619","0,019",B,0,121,"6,9","8,3","10,1","12,6","2,00",D,C,­,10,2016,MÉDIO
,FIAT,Weekend,1.4­8V,Attractive,M­5,S,H,F,"0,017","0,460","0,027",A,0,122,"7,2","8,0","10,5","11,6","1,99",D,C,­,10,2016,MÉDIO
,FORD,KA+,1.5­16V,SE,M­5,S,E,F,"0,020","0,390","0,018",A,0,108,"7,9","9,5","11,5","13,6","1,75",A,B,SIM,10,2016,MÉDIO
,FORD,KA+,1.5­16V,SEL,M­5,S,E,F,"0,020","0,390","0,018",A,0,108,"7,9","9,5","11,5","13,6","1,75",A,B,SIM,10,2016,MÉDIO
,FORD,KA+,1.0­12V,SE,M­5,S,E,F,"0,026","0,511","0,023",A,0,95,"8,9","10,4","13,0","15,1","1,56",A,A,SIM,10,2016,MÉDIO
,FORD,KA+,1.0­12V,SEL,M­5,S,E,F,"0,026","0,511","0,023",A,0,95,"8,9","10,4","13,0","15,1","1,56",A,A,SIM,10,2016,MÉDIO
,FORD,KA+ (2017),1.5­16V,SE,M­5,S,E,F,"0,015","0,545","0,018",A,0,106,"8,1","9,6","11,7","13,8","1,72",A,B,SIM,10,2016,MÉDIO
,FORD,KA+ (2017),1.5­16V,SEL,M­5,S,E,F,"0,015","0,545","0,018",A,0,106,"8,1","9,6","11,7","13,8","1,72",A,B,SIM,10,2016,MÉDIO
,FORD,KA+ (2017),1.0­12V,SE,M­5,S,E,F,"0,023","0,443","0,016",A,0,93,"9,3","10,7","13,2","15,3","1,51",A,A,SIM,10,2016,MÉDIO
,FORD,KA+ (2017),1.0­12V,SEL,M­5,S,E,F,"0,023","0,443","0,016",A,0,93,"9,3","10,7","13,2","15,3","1,51",A,A,SIM,10,2016,MÉDIO
,FORD,New Fiesta Sedan,1.6­16V,SE,DCT­6,S,E,F,"0,017","0,433","0,025",A,0,113,"7,5","9,5","10,6","13,8","1,83",B,B,­,10,2016,MÉDIO
,,,,,,,,,,,,,,,,,,,,,,,10,2016,Página 10 / 44
,,,,,,,,,,,,,,,,,,,,,,,10,2016,
,,,,,,,,,,,,,,,,,,,,,,,11,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",11,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,"Gasolina /
Diesel",,,,,,11,2016,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina /
Diesel","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,11,2016,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2 fóssil
(g/km)",,,,,,,,,11,2016,
,,,,,(CVT),,,,,,,,,,,,,,,,,,11,2016,
,FORD,New Fiesta Sedan,1.6­16V,Titanium,DCT­6,S,E,F,"0,017","0,433","0,025",A,0,113,"7,5","9,5","10,6","13,8","1,83",B,B,­,11,2016,MÉDIO
,FORD,New Fiesta Sedan,1.6­16V,SE,M­5,S,E,F,"0,020","0,453","0,014",A,0,106,"7,6","9,7","11,6","14,0","1,75",A,B,SIM,11,2016,MÉDIO
,FORD,New Fiesta Sedan,1.6­16V,Titanium,M­5,S,E,F,"0,020","0,453","0,014",A,0,106,"7,6","9,7","11,6","14,0","1,75",A,B,SIM,11,2016,MÉDIO
,HONDA,City,1.5­16V,DX,M­5,S,E,F,"0,012","0,093","0,014",A,0,100,"8,6","10,3","12,4","14,6","1,61",A,A,SIM,11,2016,MÉDIO
,HONDA,City,1.5­16V,LX,CVT,S,E,F,"0,015","0,086","0,016",A,0,101,"8,5","10,3","12,3","14,5","1,63",A,A,SIM,11,2016,MÉDIO
,HONDA,City,1.5­16V,EX,CVT,S,E,F,"0,015","0,086","0,016",A,0,101,"8,5","10,3","12,3","14,5","1,63",A,A,SIM,11,2016,MÉDIO
,HONDA,City,1.5­16V,EXL,CVT,S,E,F,"0,015","0,086","0,016",A,0,101,"8,5","10,3","12,3","14,5","1,63",A,A,SIM,11,2016,MÉDIO
,HYUNDAI,HB20S,1.0­12V,Plus,M­5,S,H,F,"0,020","0,449","0,006",A,0,110,"8,5","9,4","11,4","13,0","1,74",A,B,SIM,11,2016,MÉDIO
,HYUNDAI,HB20S,1.0­12V,Style,M­5,S,H,F,"0,020","0,449","0,006",A,0,110,"8,5","9,4","11,4","13,0","1,74",A,B,SIM,11,2016,MÉDIO
,HYUNDAI,HB20S (2017),1.0­12V,Plus,M­5,S,H,F,"0,011","0,363","0,005",A,0,103,"8,5","9,8","12,0","14,0","1,67",A,A,SIM,11,2016,MÉDIO
,HYUNDAI,HB20S (2017),1.0­12V,Style,M­5,S,H,F,"0,011","0,363","0,005",A,0,103,"8,5","9,8","12,0","14,0","1,67",A,A,SIM,11,2016,MÉDIO
,HYUNDAI,HB20S,1.6­16V,Plus,M­6,S,H,F,"0,023","0,550","0,014",A,0,117,"7,7","9,6","10,7","12,6","1,84",B,B,­,11,2016,MÉDIO
,HYUNDAI,HB20S,1.6­16V,Style,M­6,S,H,F,"0,023","0,550","0,014",A,0,117,"7,7","9,6","10,7","12,6","1,84",B,B,­,11,2016,MÉDIO
,HYUNDAI,HB20S,1.6­16V,Premium,M­6,S,H,F,"0,023","0,550","0,014",A,0,117,"7,7","9,6","10,7","12,6","1,84",B,B,­,11,2016,MÉDIO
,HYUNDAI,HB20S (2017),1.6­16V,Plus,M­6,S,H,F,"0,015","0,302","0,012",A,0,107,"8,1","9,8","11,5","14,0","1,72",A,B,SIM,11,2016,MÉDIO
,HYUNDAI,HB20S (2017),1.6­16V,Style,M­6,S,H,F,"0,015","0,302","0,012",A,0,107,"8,1","9,8","11,5","14,0","1,72",A,B,SIM,11,2016,MÉDIO
,HYUNDAI,HB20S,1.0­12V,Plus ­ Turbo,M­6,S,H,F,"0,007","0,241","0,014",A,0,101,"8,4","10,5","11,9","15,2","1,63",A,A,SIM,11,2016,MÉDIO
,HYUNDAI,HB20S,1.0­12V,Style ­ Turbo,M­6,S,H,F,"0,007","0,241","0,014",A,0,101,"8,4","10,5","11,9","15,2","1,63",A,A,SIM,11,2016,MÉDIO
,HYUNDAI,Elantra,2.0­16V,,A­6,S,E,F,"0,036","0,284","0,021",B,0,118,"6,3","9,1","9,5","13,4","2,04",E,C,­,11,2016,MÉDIO
,HYUNDAI,New i30 FL,1.8­16V,,A­6,S,E,G,"0,006","0,168","0,008",A,\,129,\,\,"9,3","12,3","2,10",E,C,­,11,2016,MÉDIO
,LEXUS,CT200H,1.8­16V,CT200H,CVT,S,E,G,"0,016","0,158","0,003",A,\,87,\,\,"15,7","14,2","1,41",A,A,SIM,11,2016,MÉDIO
,LEXUS,CT200H,1.8­16V,F Sport,CVT,S,E,G,"0,016","0,158","0,003",A,\,87,\,\,"15,7","14,2","1,41",A,A,SIM,11,2016,MÉDIO
,MERCEDES­BENZ,A200 FF,1.6­16V,,DCT­7,S,E,F,"0,030","0,378","0,002",A,0,119,"7,2","8,8","10,5","12,6","1,93",D,B,­,11,2016,MÉDIO
,MERCEDES­BENZ,A200 FF (2017),1.6­16V,,DCT­7,S,E,F,"0,021","0,151","0,009",A,0,110,"7,4","9,5","10,9","14,5","1,80",B,B,­,11,2016,MÉDIO
,MERCEDES­BENZ,A250,2.0­16V,Turbo Sport,DCT­7,S,E,G,"0,011","0,072","0,013",A,\,119,\,\,"9,7","14,4","1,93",D,B,­,11,2016,MÉDIO
,MERCEDES­BENZ,AMG A 45 4M,2.0­16V,,DCT­7,S,E,G,"0,020","0,259","0,025",A,\,132,\,\,"9,3","11,8","2,14",E,C,­,11,2016,MÉDIO
,MERCEDES­BENZ,AMG A 45 4M (2017),2.0­16V,,DCT­7,S,E,G,"0,008","0,278","0,013",A,\,144,\,\,"8,4","11,2","2,33",E,C,­,11,2016,MÉDIO
,MERCEDES­BENZ,B200 FF,1.6­16V,,DCT­7,S,E,F,"0,034","0,324","0,003",B,0,117,"6,8","9,7","10,1","14,0","1,92",D,B,­,11,2016,MÉDIO
,MERCEDES­BENZ,B200 FF (2017),1.6­16V,,DCT­7,S,E,F,"0,020","0,198","0,008",A,0,112,"7,3","9,7","10,6","14,2","1,83",B,B,­,11,2016,MÉDIO
,MINI,Cooper,1.6­16V,"S Countryman
All4",A­6,S,E­H,G,"0,008","0,181","0,065",C,\,149,\,\,"8,4","10,4","2,41",E,D,­,11,2016,MÉDIO
,MINI,Cooper,2.0­16V,S Clubman,A­8,S,E­H,G,"0,011","0,263","0,023",A,\,119,\,\,"10,5","12,6","1,92",D,B,­,11,2016,MÉDIO
,NISSAN,New Versa,1.0­12V,10,M­5,S,E,F,"0,012","0,488","0,004",A,0,95,"8,8","10,5","12,9","15,3","1,55",A,A,SIM,11,2016,MÉDIO
,NISSAN,New Versa,1.0­12V,10 S,M­5,S,E,F,"0,012","0,488","0,004",A,0,95,"8,8","10,5","12,9","15,3","1,55",A,A,SIM,11,2016,MÉDIO
,NISSAN,New Versa,1.6­16V,16 SV,M­5,S,E,F,"0,021","0,551","0,013",A,0,99,"8,4","10,0","12,6","14,4","1,63",A,A,SIM,11,2016,MÉDIO
,NISSAN,New Versa,1.6­16V,16 SL,M­5,S,E,F,"0,021","0,551","0,013",A,0,99,"8,4","10,0","12,6","14,4","1,63",A,A,SIM,11,2016,MÉDIO
,NISSAN,New Versa,1.6­16V,16 Unique,M­5,S,E,F,"0,021","0,551","0,013",A,0,99,"8,4","10,0","12,6","14,4","1,63",A,A,SIM,11,2016,MÉDIO
,,,,,,,,,,,,,,,,,,,,,,,11,2016,
,,,,,,,,,,,,,,,,,,,,,,,11,2016,
,,,,,,,,,,,,,,,,,,,,,,,11,2016,Página 11 / 44
,,,,,,,,,,,,,,,,,,,,,,,11,2016,
,,,,,,,,,,,,,,,,,,,,,,,12,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",12,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,"Gasolina /
Diesel",,,,,,12,2016,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina /
Diesel","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,12,2016,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2 fóssil
(g/km)",,,,,,,,,12,2016,
,NISSAN,New Versa,1.6­16V,16 SV,CVT,S,E,F,"0,022","0,367","0,025",A,0,106,"7,8","10,0","11,6","14,1","1,72",A,B,SIM,12,2016,MÉDIO
,NISSAN,New Versa,1.6­16V,16 SL,CVT,S,E,F,"0,022","0,367","0,025",A,0,106,"7,8","10,0","11,6","14,1","1,72",A,B,SIM,12,2016,MÉDIO
,NISSAN,New Versa,1.6­16V,16 Unique,CVT,S,E,F,"0,022","0,367","0,025",A,0,106,"7,8","10,0","11,6","14,1","1,72",A,B,SIM,12,2016,MÉDIO
,PEUGEOT,308,1.6­16V,Griffe THP,A­6,S,E­H,F,"0,013","0,153","0,015",A,0,116,"7,2","8,9","10,6","12,9","1,90",C,B,­,12,2016,MÉDIO
,PEUGEOT,308,1.6­16V,Allure THP,A­6,S,E­H,F,"0,013","0,153","0,015",A,0,116,"7,2","8,9","10,6","12,9","1,90",C,B,­,12,2016,MÉDIO
,RENAULT,Logan,1.0­16V,Authentique,M­5,S,H,F,"0,026","0,348","0,040",A,0,116,"7,2","9,1","10,5","13,1","1,89",C,B,­,12,2016,MÉDIO
,RENAULT,Logan,1.0­16V,Expression,M­5,S,H,F,"0,026","0,348","0,040",A,0,116,"7,2","9,1","10,5","13,1","1,89",C,B,­,12,2016,MÉDIO
,RENAULT,Logan,1.6­8V,Dynamique,M­5,S,H,F,"0,027","0,509","0,032",A,0,117,"7,5","8,7","10,7","12,6","1,89",C,B,­,12,2016,MÉDIO
,RENAULT,Logan,1.6­8V,Expression,M­5,S,H,F,"0,027","0,509","0,032",A,0,117,"7,5","8,7","10,7","12,6","1,89",C,B,­,12,2016,MÉDIO
,RENAULT,Logan,1.6­8V,Dynamique,MTA­5,S,H,F,"0,025","0,680","0,035",A,0,125,"6,2","8,9","9,6","12,8","2,08",E,C,­,12,2016,MÉDIO
,RENAULT,Logan,1.6­8V,Expression,MTA­5,S,H,F,"0,025","0,680","0,035",A,0,125,"6,2","8,9","9,6","12,8","2,08",E,C,­,12,2016,MÉDIO
,RENAULT,Logan (2017),1.0­12V,Authentique,M­5,S,E­H,F,"0,027","0,172","0,037",A,0,93,"9,4","10,0","13,8","14,5","1,52",A,A,SIM,12,2016,MÉDIO
,RENAULT,Logan (2017),1.0­12V,Expression,M­5,S,E­H,F,"0,027","0,172","0,037",A,0,93,"9,4","10,0","13,8","14,5","1,52",A,A,SIM,12,2016,MÉDIO
,RENAULT,Logan (2017),1.6­16V,Dynamique,M­5,S,E­H,F,"0,027","0,377","0,042",A,0,99,"8,8","9,5","13,0","13,8","1,62",A,A,SIM,12,2016,MÉDIO
,RENAULT,Logan (2017),1.6­16V,Expression,M­5,S,E­H,F,"0,027","0,377","0,042",A,0,99,"8,8","9,5","13,0","13,8","1,62",A,A,SIM,12,2016,MÉDIO
,RENAULT,Logan (2017),1.6­16V,Dynamique,MTA­5,S,E­H,F,"0,020","0,551","0,017",A,0,106,"7,9","9,1","11,8","13,4","1,76",A,B,SIM,12,2016,MÉDIO
,RENAULT,Logan (2017),1.6­16V,Expression,MTA­5,S,E­H,F,"0,020","0,551","0,017",A,0,106,"7,9","9,1","11,8","13,4","1,76",A,B,SIM,12,2016,MÉDIO
,SUBARU,Impreza,2.0­16V,XV,CVT,S,E,G,"0,024","0,175","0,017",A,\,130,\,\,"9,6","11,6","2,11",E,C,­,12,2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,X,A­4,S,E,F,"0,021","0,406","0,010",A,0,100,"8,4","10,4","12,2","14,9","1,63",A,A,SIM,12,2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,XS,A­4,S,E,F,"0,021","0,406","0,010",A,0,100,"8,4","10,4","12,2","14,9","1,63",A,A,SIM,12,2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,XLS,A­4,S,E,F,"0,021","0,406","0,010",A,0,100,"8,4","10,4","12,2","14,9","1,63",A,A,SIM,12,2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,Platinum,A­4,S,E,F,"0,021","0,406","0,010",A,0,100,"8,4","10,4","12,2","14,9","1,63",A,A,SIM,12,2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,X,M­6,S,E,F,"0,021","0,540","0,010",A,0,98,"8,5","10,3","12,5","15,0","1,60",A,A,SIM,12,2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,XS,M­6,S,E,F,"0,021","0,540","0,010",A,0,98,"8,5","10,3","12,5","15,0","1,60",A,A,SIM,12,2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,XLS,M­6,S,E,F,"0,021","0,540","0,010",A,0,98,"8,5","10,3","12,5","15,0","1,60",A,A,SIM,12,2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,Platinum,M­6,S,E,F,"0,021","0,540","0,010",A,0,98,"8,5","10,3","12,5","15,0","1,60",A,A,SIM,12,2016,MÉDIO
,TOYOTA,Prius,1.8­16V,NGA,CVT,S,E,G,"0,006","0,038","0,006",A,\,71,\,\,"18,9","17,0","1,15",A,A,SIM,12,2016,MÉDIO
,TOYOTA,Prius,1.8­16V,NGA Top,CVT,S,E,G,"0,006","0,038","0,006",A,\,71,\,\,"18,9","17,0","1,15",A,A,SIM,12,2016,MÉDIO
,VOLVO,V40,2.0­16V,"2,0 T5 Top",A­6,S,E­H,G,"0,025","0,396","0,011",A,\,136,\,\,"8,8","12,1","2,21",E,C,­,12,2016,MÉDIO
,VOLVO,V40,2.0­16V,"2,0 T5
Comfort",A­6,S,E­H,G,"0,025","0,396","0,011",A,\,136,\,\,"8,8","12,1","2,21",E,C,­,12,2016,MÉDIO
,VOLVO,V40,2.0­16V,"2,0 T5
Dynamic",A­6,S,E­H,G,"0,025","0,396","0,011",A,\,136,\,\,"8,8","12,1","2,21",E,C,­,12,2016,MÉDIO
,VOLVO,V40,2.0­16V,"2,0 T5 Inscript",A­6,S,E­H,G,"0,025","0,396","0,011",A,\,136,\,\,"8,8","12,1","2,21",E,C,­,12,2016,MÉDIO
,VOLVO,V40,2.0­16V,"2,0 T5 Kinetic",A­6,S,E­H,G,"0,025","0,396","0,011",A,\,136,\,\,"8,8","12,1","2,21",E,C,­,12,2016,MÉDIO
,VOLVO,V40,2.0­16V,"2,0 T5
Momentum",A­6,S,E­H,G,"0,025","0,396","0,011",A,\,136,\,\,"8,8","12,1","2,21",E,C,­,12,2016,MÉDIO
,VOLVO,V40,2.0­16V,"2,0 T5 R­
Design",A­6,S,E­H,G,"0,025","0,396","0,011",A,\,136,\,\,"8,8","12,1","2,21",E,C,­,12,2016,MÉDIO
,,,,,,,,,,,,,,,,,,,,,,,12,2016,Página 12 / 44
,,,,,,,,,,,,,,,,,,,,,,,12,2016,
,,,,,,,,,,,,,,,,,,,,,,,13,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",13,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,"Gasolina /
Diesel",,,,,,13,2016,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina /
Diesel","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,13,2016,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2 fóssil
(g/km)",,,,,,,,,13,2016,
,,,,,"Contínua
(CVT)",,,,,,,,,,,,,,,,,,13,2016,
