"Ano:2016 Modelo: Todos Data: 06/12/2016
Categoria: Todas Motor: Todos Última Atualização: 06/12/2016
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
Energética
Veículos Automotores Leves
Categoria Todas
Modelos com classificação PBE para ENCE
Comparação entre modelos participantes
Ano2016
35Marcas
Valor de CO2 da
1102 Modelos/Versões emissão no
escapamento referente Valores em km/l medidos em condições padrão de laboratório (NBR7024) e ajustados para
349Modelo(s) com Selo CONPET ao combustível de simular condições mais comuns de utilização. O consumo percebido pelo motorista poderá
origem fóssil não variar para mais ou para menos, dependendo das condições de uso. Para saber por que,
renovável consulte: www.inmetro.gov.br e www.conpet.gov.br",,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,Página,Ano,
,FIAT,500,1.4­8V,Cult Dualogic,MTA­5,S,E,F,"0,013","0,331","0,034",A,0,113,"7,7","8,7","11,2","12,8","1,84",C,B,­,2,2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Way,M­5,S,H,F,"0,022","0,637","0,017",A,0,107,"8,4","9,2","11,9","13,3","1,72",A,B,SIM,2,2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Way On,M­5,S,H,F,"0,022","0,637","0,017",A,0,107,"8,4","9,2","11,9","13,3","1,72",A,B,SIM,2,2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Easy,M­5,N,M,F,"0,015","0,500","0,023",A,0,98,"8,7","10,1","12,7","14,7","1,60",A,A,SIM,2,2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Easy On,M­5,S,H,F,"0,022","0,637","0,017",A,0,107,"8,4","9,2","11,9","13,3","1,72",A,B,SIM,2,2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Like,M­5,S,H,F,"0,022","0,637","0,017",A,0,107,"8,4","9,2","11,9","13,3","1,72",A,B,SIM,2,2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Like On,M­5,S,H,F,"0,022","0,637","0,017",A,0,107,"8,4","9,2","11,9","13,3","1,72",A,B,SIM,2,2016,"MICRO
COMPACTO"
,FIAT,Mobi (2017),1.0­8V,Easy,M­5,N,M,F,"0,031","0,631","0,021",B,0,92,"9,2","10,2","13,5","15,2","1,52",A,A,SIM,2,2016,"MICRO
COMPACTO"
,FIAT,Mobi (2017),1.0­8V,Easy On,M­5,S,H,F,"0,024","0,524","0,043",A,0,99,"8,8","9,9","12,7","14,3","1,61",A,A,SIM,2,2016,"MICRO
COMPACTO"
,FIAT,Mobi (2017),1.0­8V,Like,M­5,S,H,F,"0,024","0,524","0,043",A,0,99,"8,8","9,9","12,7","14,3","1,61",A,A,SIM,2,2016,"MICRO
COMPACTO"
,FIAT,Mobi (2017),1.0­8V,Like On,M­5,S,H,F,"0,024","0,524","0,043",A,0,99,"8,8","9,9","12,7","14,3","1,61",A,A,SIM,2,2016,"MICRO
COMPACTO"
