Categoria,Marca,Modelo,Versão,Motor,"Transmissão
Compacto,NISSAN,NEW MARCH,16 SV / 16 SL,1.6 - 16V,CVT,S,E,F,"0,024","0,163","0,014",B,0,104,"7,8","9,8","11,7","14,5","1,72",C,B,-,2,2019
Compacto,Citroën,C3,Origine / Attraction / Tendance,1.2 12v,M-5,S,E,F,"0,015","0,377","0,029",B,0,94,"9,3","10,1","13,2","14,8","1,53",A,B,SIM,2,2019
Compacto,Citroën,C3,"ATTRACTION A / EXCLUSIVE A /
URBAN TRAIL A",1.6 16v,A-6,S,E,F,"0,023","0,795","0,025",B,0,113,"7,6","9,3","10,9","13,2","1,83",D,C,-,2,2019
Compacto,Peugeot,208,GT,"1.6 THP
16V Flex",M-6,S,E,F,"0,012","0,176","0,021",A,0,104,"8,2","9,5","12,0","13,8","1,70",C,B,-,2,2019
Compacto,Peugeot,208,Active MT / Act Pack MT / Allure MT,1.2 12v,M-5,S,E,F,"0,017","0,404","0,026",B,0,89,"9,6","10,7","13,9","15,5","1,46",A,A,SIM,2,2019
Compacto,Peugeot,208,GRIFFE EAT6 / ACTIVE PK AT,1.6 16v,A-6,S,E,F,"0,014","0,459","0,026",B,0,112,"7,7","9,3","11,0","13,2","1,82",D,B,-,2,2019
Compacto,TOYOTA,"ETIOS
HATCHBACK",X,1.3-16V,M-6,S,E,F,"0,021","0,619","0,024",B,0,100,"8,6","9,8","12,6","14,2","1,63",B,B,-,2,2019
Compacto,TOYOTA,"ETIOS
HATCHBACK",X,1.3-16V,A-4,S,E,F,"0,023","0,507","0,008",B,0,107,"8,2","9,2","11,8","13,3","1,74",C,B,-,2,2019
Compacto,TOYOTA,"ETIOS
HATCHBACK","XS / XLS / X PLUS / PLATINUM /
CROSS",1.5-16V,M-6,S,E,F,"0,024","0,654","0,032",B,0,101,"8,3","9,8","12,4","14,1","1,66",B,B,-,2,2019
Compacto,TOYOTA,"ETIOS
HATCHBACK","XS / XLS / X PLUS / PLATINUM /
CROSS / READY",1.5-16V,A-4,S,E,F,"0,028","0,504","0,016",B,0,107,"8,1","9,2","11,9","13,2","1,74",C,B,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4AT ACT,1.4L - 8V,A-6,S,E,F,"0,019","0,505","0,019",B,0,114,"7,6","8,7","11,1","12,7","1,86",D,C,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4AT LTZ,1.4L - 8V,A-6,S,E,F,"0,025","0,593","0,028",B,0,106,"7,9","9,7","11,6","14,0","1,73",C,B,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4MT ACT,1.4L - 8V,M-6,S,E,F,"0,029","0,667","0,024",B,0,103,"8,3","9,4","12,2","13,7","1,69",C,B,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4MT EFF,1.4L - 8V,M-6,S,E,F,"0,017","0,554","0,015",B,0,99,"8,5","10,3","12,4","14,9","1,61",B,B,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.0MT LT,1.0L - 8V,M-6,S,E,F,"0,031","0,482","0,008",B,0,95,"8,8","10,5","12,9","15,3","1,56",A,B,SIM,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4AT ADV,1.4L - 8V,A-6,S,E,F,"0,025","0,593","0,028",B,0,106,"7,9","9,7","11,6","14,0","1,73",C,B,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4AT LT,1.4L - 8V,A-6,S,E,F,"0,025","0,593","0,028",B,0,106,"7,9","9,7","11,6","14,0","1,73",C,B,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4MT LT,1.4L - 8V,M-6,S,E,F,"0,017","0,554","0,015",B,0,99,"8,5","10,3","12,4","14,9","1,61",B,B,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4MT LTZ,1.4L - 8V,M-6,S,E,F,"0,017","0,554","0,015",B,0,99,"8,5","10,3","12,4","14,9","1,61",B,B,-,2,2019
Compacto,CHEVROLET,"ONIX JOY
(MY19)",10MT JOYE,1.0L - 8V,M-6,S,E,F,"0,027","0,590","0,008",B,0,96,"8,7","10,5","12,8","15,2","1,57",A,B,SIM,2,2019
Compacto,HONDA,Fit,DX / LX,1.5-16V,M-5,S,E,F,"0,011","0,098","0,020",A,0,107,"8,3","9,5","11,6","13,6","1,72",C,B,-,2,2019
Compacto,HONDA,Fit,DX / LX / EX / EXL / PERSONAL,1.5-16V,CVT,S,E,F,"0,022","0,120","0,016",B,0,102,"8,3","9,9","12,3","14,1","1,66",B,B,-,2,2019
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,3,2019
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,3,2019
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,3,2019
Compacto,FORD,Ka Hatch,S / SE,1.0-12V,M-5,S,E,F,"0,030","0,707","0,024",B,0,92,"9,2","10,7","13,4","15,5","1,51",A,B,SIM,3,2019
Compacto,FORD,Ka Hatch,FreeStyle,1.5-12V,A-6,S,E,F,"0,019","0,428","0,020",B,0,114,"7,5","9,4","10,7","13,5","1,84",D,C,-,3,2019
Compacto,FORD,Ka Hatch,SE,1.5-12V,A-6,S,E,F,"0,025","0,470","0,020",B,0,109,"7,8","10,1","11,0","14,2","1,76",C,B,-,3,2019
Compacto,FORD,Ka Hatch,Titanium,1.5-12V,A-6,S,E,F,"0,023","0,480","0,022",B,0,110,"7,6","10,1","10,9","14,0","1,78",D,B,-,3,2019
Compacto,FORD,Ka Hatch,FreeStyle,1.5-12V,M-5,S,E,F,"0,018","0,412","0,019",B,0,103,"8,4","9,9","11,9","14,4","1,67",B,B,-,3,2019
Compacto,FORD,Ka Hatch,SE,1.5-12V,M-5,S,E,F,"0,023","0,303","0,016",B,0,98,"8,4","10,3","12,5","15,0","1,61",B,B,-,3,2019
Compacto,FORD,"New Fiesta
Hatch",SEL,1.0-12V,DCT-6,S,E,G,"0,015","0,120","0,019",A,\,101,\,\,"12,1","14,9","1,63",B,B,-,3,2019
Compacto,FORD,"New Fiesta
Hatch",SE / SEL,1.6-16V,DCT-6,S,E,F,"0,014","0,404","0,010",A,0,106,"7,8","10,3","11,2","14,9","1,72",C,B,-,3,2019
Compacto,FORD,"New Fiesta
Hatch",SE / SEL,1.6-16V,M-5,S,E,F,"0,018","0,543","0,014",B,0,101,"8,2","10,0","12,0","14,6","1,66",B,B,-,3,2019
Compacto,MINI,Cooper,5P,1.5 - 12v,DCT-7,S,E-H,G,"0,007","0,119","0,025",A,\,105,\,\,"12,1","13,5","1,70",C,B,-,3,2019
Compacto,MINI,Cooper,S 5P,2.0 - 16v,DCT-7,S,E-H,G,"0,007","0,182","0,023",A,\,105,\,\,"11,6","14,3","1,71",C,B,-,3,2019
Compacto,MINI,Cooper,,1.5 - 12v,DCT-7,S,E-H,G,"0,008","0,130","0,024",A,\,106,\,\,"12,1","13,3","1,71",C,B,-,3,2019
Compacto,MINI,Cabrio,Cooper,1.5 - 12v,DCT-7,S,E-H,G,"0,007","0,113","0,012",A,\,104,\,\,"12,2","13,4","1,69",C,B,-,3,2019
Compacto,VW,Fox,Connect,1.6-8V,M-5,S,E,F,"0,019","0,478","0,030",B,0,106,"7,8","9,7","11,6","13,9","1,74",C,B,-,3,2019
Compacto,VW,Fox,Xtreme,1.6-8V,M-5,S,E,F,"0,018","0,420","0,032",B,0,110,"7,7","9,2","11,3","13,3","1,80",D,B,-,3,2019
