Categoria,Marca,Modelo,Versão,Motor,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,None_1,None_2,None_3,None_4,Quilometragem por Litro,None_5,None_6,None_7,"Consumo
Energético
(MJ/km)","Classificação
PBE",None_8,"Selo
CONPET
de
Eficiência
Energética
((A+B).A)
.
(A.(A+B))",Página,Ano
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,1,2018
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,1,2018
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,1,2018
"Micro
Compacto",VW,up!,"take /
move",1.0-12V,M-5,S,E,F,"0,023","0,218","0,032",B,0,89,"9,6","10,6","14,2","15,3","1,46",A,A,SIM,1,2018
"Micro
Compacto",VW,up!,move (I-Motion),1.0-12V,MTA-5,S,E,F,"0,037","0,599","0,018",C,0,89,"9,4","10,6","14,0","15,8","1,47",A,A,SIM,1,2018
"Micro
Compacto",VW,up! TSI,"move (Rodas aro 14"")",1.0-12V,M-5,S,E,F,"0,027","0,296","0,031",B,0,86,"10,0","11,5","14,3","16,3","1,40",A,A,SIM,1,2018
"Micro
Compacto",VW,up! TSI,"move (Rodas aro 15"")
/ pepper",1.0-12V,M-5,S,E,F,"0,032","0,357","0,026",B,0,88,"9,6","11,1","14,1","16,0","1,44",A,A,SIM,1,2018
"Micro
Compacto",VW,up! TSI,cross,1.0-12V,M-5,S,E,F,"0,022","0,189","0,032",B,0,93,"9,5","10,4","13,7","14,7","1,50",A,B,SIM,1,2018
"Micro
Compacto",CHERY,NEW QQ,"1.0 LOOK / 1.0 LOOK PLUS / 1.0
SMILE / 1.0 SMILE PLUS / 1.0 ACT /
1.0 ACT PLUS",1.0 - 12V,M-5,S,H,F,"0,014","0,244","0,032",B,0,98,"8,9","9,9","12,9","14,4","1,59",B,B,-,1,2018
"Micro
Compacto",FIAT,500,Cult,1.4-8V,M-5,S,E,F,"0,007","0,316","0,024",A,0,111,"8,0","9,0","11,4","13,0","1,79",D,B,-,1,2018
