"Ano:2015 Modelo: Todos Data: 24/11/2015
Categoria: Todas Motor: Todos Última Atualização: 24/11/2015
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
,FIAT,Palio,1.0­8V,Fire Way,M­5,N,M,F,"0,020","0,388","0,019",***,0,102,"8,2","10,0","11,9","14,6","1,67",B,A,SIM,2,2015,"SUB
COMPACTO"
,JAC,J2,1.4­16V,*****,M­5,S,E,G,"0,026","0,114","0,054",**,\,109,\,\,"11,9","12,7","1,76",C,B,­,2,2015,"SUB
COMPACTO"
,JAC,J2,1.4­16V,"1,4",M­5,S,E,G,"0,026","0,114","0,054",**,\,109,\,\,"11,9","12,7","1,76",C,B,­,2,2015,"SUB
COMPACTO"
,JAC,J2,1.4­16V,"1,4 JETFLEX",M­5,S,E,F,"0,037","0,487","0,042",**,0,108,"8,4","8,7","12,0","12,5","1,76",C,B,­,2,2015,"SUB
COMPACTO"
,KIA,Picanto,1.0­12V,EX4,M­5,S,E,F,"0,027","0,477","0,060",**,0,102,"8,2","9,8","12,0","14,4","1,68",C,B,­,2,2015,"SUB
COMPACTO"
,KIA,Picanto,1.0­12V,"LX4 1,0 MT FF",M­5,S,E,F,"0,027","0,477","0,060",**,0,102,"8,2","9,8","12,0","14,4","1,68",C,B,­,2,2015,"SUB
COMPACTO"
,KIA,Picanto,1.0­12V,EX4,A­4,S,E,F,"0,025","0,314","0,062",**,0,111,"8,3","9,4","11,4","13,1","1,75",C,B,­,2,2015,"SUB
COMPACTO"
,KIA,Picanto,1.0­12V,"LX4 1,0 AT FF",A­4,S,E,F,"0,025","0,314","0,062",**,0,111,"8,3","9,4","11,4","13,1","1,75",C,B,­,2,2015,"SUB
COMPACTO"
,NISSAN,March,1.0­16V,Active 10,M­5,S,E,F,"0,033","0,269","0,047",**,0,101,"8,4","9,7","12,3","14,5","1,65",B,A,SIM,2,2015,"SUB
COMPACTO"
,RENAULT,Clio,1.0­16V,Authentique,M­5,S,H,F,"0,031","0,535","0,031",**,0,96,"9,1","9,6","13,1","14,3","1,58",A,A,SIM,2,2015,"SUB
COMPACTO"
,RENAULT,Clio,1.0­16V,Expression,M­5,S,H,F,"0,031","0,535","0,031",**,0,96,"9,1","9,6","13,1","14,3","1,58",A,A,SIM,2,2015,"SUB
COMPACTO"
,RENAULT,Clio,1.0­16V,Authentique,M­5,N,M,F,"0,031","0,535","0,031",**,0,87,"9,5","10,7","14,3","15,8","1,45",A,A,SIM,2,2015,"SUB
COMPACTO"
,RENAULT,Clio,1.0­16V,Expression,M­5,N,M,F,"0,031","0,535","0,031",**,0,87,"9,5","10,7","14,3","15,8","1,45",A,A,SIM,2,2015,"SUB
COMPACTO"
,SMART,Fortwo,1.0­12V,"71cv MHD
coupé",MTA­5,S,E,G,"0,020","0,174","0,024",***,\,96,\,\,"13,2","14,4","1,56",A,A,SIM,2,2015,"SUB
COMPACTO"
,,,,,,,,,,,,,,,,,,,,,,,2,2015,
,,,,,,,,,,,,,,,,,,,,,,,2,2015,Página 2 / 32
,,,,,,,,,,,,,,,,,,,,,,,2,2015,
,,,,,,,,,,,,,,,,,,,,,,,3,2015,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",3,2015,Categoria
