categoria,marca,modelo,motor,versao,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Sub Compacto,FIAT,MOBI,EASY,1.0-8V,M-5,N,M,Combustão,91.0,"9,7","10,7","13,7",2021
Sub Compacto,FIAT,MOBI,LIKE,1.0-8V,M-5,S,H,Combustão,98.0,"8,9","10,0","13,0",2021
Sub Compacto,FIAT,MOBI,TREKKING,1.0-8V,M-5,S,H,Combustão,98.0,"8,9","10,0","13,0",2021
Sub Compacto,FIAT,UNO,DRIVE,1.0-6V,M-5,S,E,Combustão,94.0,"9,1","10,6","13,2",2021
Sub Compacto,FIAT,UNO,WAY E,1.0-6V,M-5,S,E,Combustão,94.0,"9,1","10,6","13,2",2021
Sub Compacto,FIAT,UNO,ATTRACTIVE,1.0-8V,M-5,S,H,Combustão,108.0,"8,0","9,4","11,6",2021
Sub Compacto,Jac,IEV 20,-,Elétrico,A,S,E,Elétrico,0.0,\,\,"36,5",2021
Sub Compacto,VW,FOX,CONNECT (MY22),1.6-8V,M-5,S,E,Combustão,106.0,"7,8","9,7","11,6",2021
Sub Compacto,VW,UP! TSI,XTREME 170TSI,1.0-12V,M-5,S,E,Combustão,93.0,"9,5","10,4","13,7",2021
Compacto,CHEVROLET,ONIX JOY,JOY,1.0L - 8V,M-6,S,E,Combustão,98.0,"8,8","10,3","12,8",2021
Compacto,CHEVROLET,ONIX JOY,JOY BLACK,1.0L - 8V,M-6,S,E,Combustão,98.0,"8,8","10,3","12,8",2021
Compacto,FIAT,ARGO,1.0,1.0-6V,M-5,S,E,Combustão,91.0,"9,8","10,7","13,9",2021
Compacto,FIAT,ARGO,1.0,1.0-6V,M-5,S,E,Combustão,93.0,"9,4","10,5","13,5",2021
Compacto,FIAT,ARGO,DRIVE,1.0-6V,M-5,S,E,Combustão,91.0,"9,8","10,7","13,9",2021
Compacto,FIAT,ARGO,DRIVE,1.0-6V,M-5,S,E,Combustão,93.0,"9,4","10,5","13,5",2021
Compacto,FIAT,ARGO,DRIVE,1.3-8V,M-5,S,E,Combustão,97.0,"8,8","10,4","12,8",2021
Compacto,FIAT,ARGO,HGT,1.8-16V,A-6,S,E,Combustão,124.0,"6,9","9,2","9,7",2021
Compacto,FIAT,ARGO,PRECISION,1.8-16V,A-6,S,E,Combustão,124.0,"6,9","9,2","9,7",2021
Compacto,FORD,Ka Hatch,S,1.0 - 12V,M-5,S,E,Combustão,92.0,"9,3","10,8","13,3",2021
Compacto,FORD,Ka Hatch,SE,1.0 - 12V,M-5,S,E,Combustão,92.0,"9,3","10,8","13,3",2021
Compacto,FORD,Ka Hatch,SE Plus,1.0 - 12V,M-5,S,E,Combustão,92.0,"9,3","10,8","13,3",2021
Compacto,FORD,Ka Hatch,FreeStyle,1.0 - 12V,M-5,S,E,Combustão,95.0,"9,1","10,4","13,0",2021
Compacto,FORD,Ka Hatch,SE,1.5 - 12V,M-5,S,E,Combustão,99.0,"8,8","10,5","12,4",2021
Compacto,FORD,Ka Hatch,SE Plus,1.5 - 12V,M-5,S,E,Combustão,99.0,"8,8","10,5","12,4",2021
Compacto,FORD,Ka Hatch,SE,1.5 - 12V,A-6,S,E,Combustão,104.0,"8,4","9,9","11,7",2021
Compacto,FORD,Ka Hatch,SE Plus,1.5 - 12V,A-6,S,E,Combustão,104.0,"8,4","9,9","11,7",2021
Compacto,FORD,Ka Hatch,Titanium,1.5 - 12V,A-6,S,E,Combustão,104.0,"8,4","9,9","11,7",2021
Compacto,FORD,Ka Hatch,FreeStyle,1.5 - 12V,A-6,S,E,Combustão,114.0,"7,5","9,4","10,7",2021
Compacto,HONDA,Fit,DX,1.5-16V,M-5,S,E,Combustão,107.0,"8,3","9,5","11,6",2021
Compacto,HONDA,Fit,LX,1.5-16V,CVT,S,E,Combustão,102.0,"8,3","9,9","12,3",2021
Compacto,HONDA,Fit,EX,1.5-16V,CVT,S,E,Combustão,102.0,"8,3","9,9","12,3",2021
Compacto,HONDA,Fit,EXL,1.5-16V,CVT,S,E,Combustão,102.0,"8,3","9,9","12,3",2021
Compacto,HONDA,Fit,PERSONAL,1.5-16V,CVT,S,E,Combustão,102.0,"8,3","9,9","12,3",2021
Compacto,HYUNDAI,HB20,Evolution,1.0-12V T,A-6,S,E,Combustão,104.0,"8,2","10,2","11,8",2021
Compacto,HYUNDAI,HB20,Diamond,1.0-12V T,A-6,S,E,Combustão,104.0,"8,2","10,2","11,8",2021
Compacto,HYUNDAI,HB20,Diamond Plus,1.0-12V T,A-6,S,E,Combustão,102.0,"8,6","10,3","12,2",2021
Compacto,HYUNDAI,HB20,Vision,1.6-16V,M-6,S,E,Combustão,99.0,"8,6","10,3","12,5",2021
Compacto,HYUNDAI,HB20,Vision,1.6-16V,A-6,S,E,Combustão,107.0,"7,8","9,8","11,5",2021
Compacto,HYUNDAI,HB20,Sense 21/22,1.0-12V,M-5,S,E,Combustão,94.0,"9,5","10,5","13,3",2021
