Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Grande,Volkswagen,ID.4,PRO PERFORMANCE,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,\,\,\,\,\,34.5,29.8,0.63,370,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,A4 Sedan,Prestige,2.0 - 16V,Combustão,DCT-7,S,E,G,20,86,1,A,\,119,\,\,\,10.5,12.5,\,\,1.93,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,A4 Sedan,S line,2.0 - 16V,Combustão,DCT-7,S,E,G,20,86,1,A,\,119,\,\,\,10.5,12.5,\,\,1.93,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,A4 Sedan Quattro,Prestige,2.0 - 16V,Combustão,DCT-7,S,E,G,17,102,0,A,\,126,\,\,\,9.7,12.2,\,\,2.05,\,C,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,A4 Sedan Quattro,S line,2.0 - 16V,Combustão,DCT-7,S,E,G,17,102,0,A,\,126,\,\,\,9.7,12.2,\,\,2.05,\,C,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,A5 Sportback,S line,2.0 - 16V,Combustão,DCT-7,S,E,G,22,95,1,A,\,121,\,\,\,10.3,12.4,\,\,1.96,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,A5 Sportback Quattro,S line,2.0 - 16V,Combustão,DCT-7,S,E,G,22,127,1,A,\,124,\,\,\,9.9,12.4,\,\,2.01,\,C,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,A5 Sportback Quattro,Advanced,2.0 - 16V,Combustão,DCT-7,S,E,G,22,127,1,A,\,124,\,\,\,9.9,12.4,\,\,2.01,\,C,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,RS 5 Sportback,Competition Plus,2.9 - 24 V,Combustão,A-8,S,E,G,25,121,2,A,\,164,\,\,\,7.3,10.2,\,\,2.66,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,RS 5 Sportback,-,2.9 - 24 V,Combustão,A-8,S,E,G,26,150,2,A,\,170,\,\,\,7.1,9.9,\,\,2.76,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,RS 6 Avant,Performance,4.0 - 32V,Híbrido,A-8,S,E,G,49,116,2,B,\,209,\,\,\,5.9,7.8,\,\,3.39,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,RS 6 Avant,Legacy 30 Years,4.0 - 32V,Híbrido,A-8,S,E,G,49,116,2,B,\,209,\,\,\,5.9,7.8,\,\,3.39,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q5,Prestige (ed. 0),2.0 - 16V,Combustão,DCT-7,S,E,G,21,102,3,A,\,165,\,\,\,7.6,9.2,\,\,2.69,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q5,PS line (ed. 0),2.0 - 16V,Combustão,DCT-7,S,E,G,21,102,3,A,\,165,\,\,\,7.6,9.2,\,\,2.69,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q5,S line Black (ed.0),2.0 - 16V,Combustão,DCT-7,S,E,G,21,102,3,A,\,165,\,\,\,7.6,9.2,\,\,2.69,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q5,Prestige,2.0 - 16V,Combustão,DCT-7,S,E,G,16,113,0,A,\,163,\,\,\,7.8,9.3,\,\,2.65,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q5,S line,2.0 - 16V,Combustão,DCT-7,S,E,G,16,113,0,A,\,163,\,\,\,7.8,9.3,\,\,2.65,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q5,S line Black,2.0 - 16V,Combustão,DCT-7,S,E,G,16,113,0,A,\,163,\,\,\,7.8,9.3,\,\,2.65,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q5 TFSIe,Performance,2.0 - 16V,Plug-in,A-7,S,E,G,5,59,0,A,\,140,43,\,\,9.4,9.9,21.3,21.8,0.94,38,A,A,SIM,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q5 TFSIe,Performance Black,2.0 - 16V,Plug-in,A-7,S,E,G,5,59,0,A,\,140,43,\,\,9.4,9.9,21.3,21.8,0.94,38,A,A,SIM,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q5 Sportback TFSIe,Performance,2.0 - 16V,Plug-in,A-7,S,E,G,6,100,0,A,\,142,43,\,\,9.3,9.9,21.4,21.8,0.94,38,A,A,SIM,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q5 Sportback TFSIe,Performance Black,2.0 - 16V,Plug-in,A-7,S,E,G,6,100,0,A,\,142,43,\,\,9.3,9.9,21.4,21.8,0.94,38,A,A,SIM,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q7,Performance,3.0 - 24V,Híbrido,A-8,S,E,G,20,221,1,A,\,183,\,\,\,7.1,8.1,\,\,2.96,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q7,Performance Black,3.0 - 24V,Híbrido,A-8,S,E,G,20,221,1,A,\,183,\,\,\,7.1,8.1,\,\,2.96,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q8 Sportback,Performance,3.0 - 24V,Híbrido,A-8,S,E,G,23,127,1,A,\,189,\,\,\,7.0,7.6,\,\,3.06,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q8 Sportback,Performance Black,3.0 - 24V,Híbrido,A-8,S,E,G,23,127,1,A,\,189,\,\,\,7.0,7.6,\,\,3.06,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,RS Q8,-,4.0 - 32V,Híbrido,A-8,S,E,G,46,223,2,B,\,227,\,\,\,5.5,7.1,\,\,3.68,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q8 e-tron Sportback 55,Performance Black,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,24.7,25.5,0.81,362,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q8 e-tron Sportback 55,Launch Edition,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,24.7,25.5,0.81,362,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q8 e-tron 55,Launch Edition,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,24.5,24.7,0.82,357,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q8 e-tron 55,Performance Black,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,24.5,24.7,0.82,357,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q6 e-tron Quattro,Performance/ Performance black,Elétrico,Elétrico,A-1,S,E,E,0,0,0,A,\,0,\,\,\,\,\,34.0,29.6,0.64,411,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q6 e-tron RWD,Performance,Elétrico,Elétrico,A-1,S,E,E,0,0,0,A,\,0,\,\,\,\,\,33.8,29.3,0.64,411,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q7,S Line (MY25 ed.0),3.0 - 24V,Híbrido,A-8,S,E,G,23,286,1,A,\,190,\,\,\,6.6,8.1,\,\,3.09,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q7,S Line (MY25),3.0 - 24V,Híbrido,A-8,S,E,G,23,233,0,A,\,180,\,\,\,7.0,8.6,\,\,2.92,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q8 Sportback,Performance Black (MY25 ed.0),3.0 - 24V,Híbrido,A-8,S,E,G,21,182,1,A,\,199,\,\,\,6.4,7.8,\,\,3.23,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,Q8 Sportback,Performance Black (MY25),3.0 - 24V,Híbrido,A-8,S,E,G,21,205,0,A,\,192,\,\,\,6.8,7.7,\,\,3.11,\,E,E,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,SQ8 e-tron Sportback,-,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,\,\,\,\,\,21.0,21.3,0.96,307,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,e-tron GT,-,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,26.0,25.0,0.79,308,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,AUDI,RS e-tron GT,-,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,25.7,25.5,0.79,313,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,320i,Active Flex,2.0 - 16V,Combustão,A-8,S,E,F,27,137,1,A,0,117,\,7.2,9.0,10.4,13.1,\,\,1.90,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,320i,GP Flex,2.0 - 16V,Combustão,A-8,S,E,F,24,148,1,A,0,115,\,7.5,9.2,10.7,13.2,\,\,1.86,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,320i,Sport GP Flex,2.0 - 16V,Combustão,A-8,S,E,F,24,148,1,A,0,115,\,7.5,9.2,10.7,13.2,\,\,1.86,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,320i,M Sport Flex,2.0 - 16V,Combustão,A-8,S,E,F,23,173,1,B,0,115,\,7.5,9.1,10.6,13.2,\,\,1.86,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,320i,M Sport Flex (MY25),2.0 - 16V,Combustão,A-8,S,E,F,37,137,3,B,0,117,\,7.4,9.0,10.5,13.1,\,\,1.88,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,320i,Sport GP Flex (MY25),2.0 - 16V,Combustão,A-8,S,E,F,26,141,2,A,0,113,\,7.6,9.2,10.9,13.3,\,\,1.83,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,320i,GP Flex (MY25),2.0 - 16V,Combustão,A-8,S,E,F,26,141,2,A,0,113,\,7.6,9.2,10.9,13.3,\,\,1.83,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,320i,Active Flex (MY25),2.0 - 16V,Combustão,A-8,S,E,F,27,162,2,A,0,123,\,7.1,8.6,10.0,12.3,\,\,1.98,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,330e,-,2.0 - 16V,Plug-in,A-8,S,E,G,5,57,0,A,\,133,42,\,\,9.5,11.2,22.4,25.9,0.85,37,A,A,SIM,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,330e,(MY25),2.0 - 16V,Plug-in,A-8,S,E,G,4,30,1,A,\,138,21,\,\,9.2,10.8,20.6,24.0,0.92,61,A,A,SIM,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,420i,Cabrio,2.0 - 16V,Combustão,A-8,S,E,G,11,54,0,A,\,121,\,\,\,9.9,13.3,\,\,1.96,\,B,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,420i,Cabrio,2.0 - 16V,Combustão,A-8,S,E,G,9,148,1,A,\,125,125,\,\,9.8,12.5,\,\,2.02,\,C,C,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,530e,M SPORT,2.0 - 16V,Plug-in,A-8,S,E,G,11,27,0,A,\,116,15,\,\,11.1,12.2,26.9,28.6,0.73,61,A,A,SIM,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,530e,-,2.0 - 16V,Plug-in,A-8,S,E,G,7,58,1,A,\,126,40,\,\,10.1,11.4,24.3,26.5,0.80,37,A,A,SIM,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,530e,M SPORT (MY25),2.0 - 16V,Plug-in,A-8,S,E,G,5,47,0,A,\,117,16,\,\,10.9,12.3,26.2,26.9,0.76,70,A,A,SIM,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,iX3,-,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,37.9,32.7,0.57,381,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,IX xDrive 40,-,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,35.2,29.9,0.62,327,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,IX xDrive 50,-,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,36.4,30.2,0.61,528,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,i4,40,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,\,\,\,\,\,35.9,34.5,0.57,422,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,i4,M50,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,\,\,\,\,\,28.1,27.3,0.73,335,A,A,-,5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Manual (M)
Automática (A)
Automática Dupla
Embreagem (DCT)
Automatizada
(MTA)
Contínua (CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-hidráulica
(E-H)","Elétrico
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes,,,,Gás Efeito Estufa,,,,,,,,,,,,,,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",VEHP,Etanol,,"Gasolina
ou
Diesel",,"Elétrico (km/le)
quando VE ou VEHP",,,,,,,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"fóC sO s2il
(g/km)","fóC sO s2il
(g/km)","CO2e
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l e)","Estrada
(km/l e)",,,"Comparação
Relativa
na Categoria","Comparação
Absoluta
Geral",,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,i4,eDrive35 (MY25),Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,34.0,32.0,0.61,322,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,i4,40 (MY25),Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,34.2,32.3,0.61,399,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,i4,M50 (MY25),Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,35.6,32.1,0.60,405,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,i7,xDrive60,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,\,\,\,\,\,32.9,31.0,0.63,479,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,i4,eDrive35,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,\,\,\,\,\,36.0,33.5,0.58,339,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,iX,M60,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,\,\,\,\,\,27.2,27.9,0.74,431,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BMW,i5,M60 xDrive,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,\,\,\,\,\,33.4,31.3,0.63,392,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BYD,HAN,AWD GS 680EV,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,30.8,28.1,0.69,349,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BYD,TAN,AWD GS 700EV,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,30.2,25.3,0.73,430,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BYD,SEAL,AWD GS 590EV,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,34.9,30.5,0.62,372,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BYD,KING,GS DM,1.5-16V,Plug-in,CVT,S,E,G,5,15,0,A,\,9,0,\,\,16.8,14.7,44.2,36.7,0.50,80,A,A,SIM,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BYD,KING,GL DM,1.5-16V,Plug-in,CVT,S,E,G,11,61,1,A,\,30,0,\,\,16.3,14.3,43.3,32.7,0.54,32,A,A,SIM,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BYD,SONG PRO,GS DM,1.5-16V,Plug-in,CVT,S,E,G,4,13,1,A,\,14,0,\,\,15.2,12.2,40.6,32.0,0.56,68,A,A,SIM,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,BYD,SONG PRO,GL DM,1.5-16V,Plug-in,CVT,S,E,G,6,25,0,A,\,22,0,\,\,14.8,12.6,40.0,29.6,0.59,49,A,A,SIM,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,CHEVROLET,EQUINOX,15T PRE,1.5T -16V,Combustão,A-6,S,E,G,17,141,2,A,\,140,\,\,\,9.0,10.8,\,\,2.26,\,D,D,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,CHEVROLET,EQUINOX,15T LT,1.5T -16V,Combustão,A-6,S,E,G,16,169,1,A,\,133,\,\,\,9.3,11.5,\,\,2.16,\,C,D,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,CHEVROLET,EQUINOX,15T RS,1.5T -16V,Combustão,A-6,S,E,G,16,169,1,A,\,133,\,\,\,9.3,11.5,\,\,2.16,\,C,D,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,CHEVROLET,EQUINOX,15T ACTIV,1.5T -16V,Combustão,A-8,S,E,G,21,140,1,A,\,140,\,\,\,9.0,10.7,\,\,2.28,\,D,D,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,CHEVROLET,EQUINOX EV (MY24),-,Elétrico,Elétrico,Automática (A),S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,37.1,35.6,0.56,443,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,CHEVROLET,BLAZER EV,RS,Elétrico,Elétrico,Automática (A),S,E,E,ND,ND,ND,A,\,-,\,\,\,\,\,34.2,30.4,0.63,481,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,FORD,Novo Territory,Titanium,1.5 - 16V,Combustão,A-7,S,E,G,28,532,0,B,\,129,\,\,\,9.5,11.8,\,\,2.10,\,C,D,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,FORD,Mustang Mach-E,GT,Elétrico,Elétrico,A-1,S,E,E,0,0,0,A,\,0,0,\,\,\,\,31.1,27.5,0.69,379,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,GWM,HAVAL H6,GT,1.5-16V,Plug-in,DHT - 2,S,E,G,43,21,5,B,\,122,7,\,\,11.4,10.4,27.4,25.2,0.77,116,A,A,SIM,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,HONDA,ACCORD HYBRID,TOURING,2.0 - 16V,Híbrido,CVT,S,E,G,12,63,1,A,\,76,\,\,\,17.8,16.1,\,\,1.23,\,A,B,SIM,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,JAC,e-J7,e-J7,Elétrico,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,-,\,\,\,\,\,44.0,37.1,0.50,263,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,JAGUAR,I-PACE,E400 FIRSTED,Elétrico,Elétrico,A-1,S,E,E,0,0,0,A,\,0,\,\,\,\,\,28.2,26.2,0.74,298,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,JAGUAR,I-PACE,E400 S,Elétrico,Elétrico,A-1,S,E,E,0,0,0,A,\,0,\,\,\,\,\,28.2,26.2,0.74,298,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,JAGUAR,I-PACE,E400 SE,Elétrico,Elétrico,A-1,S,E,E,0,0,0,A,\,0,\,\,\,\,\,28.2,26.2,0.74,298,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,JAGUAR,I-PACE,E400 HSE,Elétrico,Elétrico,A-1,S,E,E,0,0,0,A,\,0,\,\,\,\,\,28.2,26.2,0.74,298,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,KIA,EV5 2WD,AIR 2WD,ELÉTRICO,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,-,\,\,\,\,\,37.6,30.5,0.60,402,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,KIA,EV5 2WD,LAND 2WD,ELÉTRICO,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,-,\,\,\,\,\,37.6,30.5,0.60,402,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,LAMBORGHINI,URUS,S,4.0-32V,Combustão,DCT-8,S,E,G,39,150,1,A,\,233,\,\,\,5.4,6.9,\,\,3.77,\,E,E,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,LAMBORGHINI,URUS,PERFORMANTE,4.0-32V,Combustão,DCT-8,S,E,G,39,150,1,A,\,233,\,\,\,5.4,6.9,\,\,3.77,\,E,E,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,LEXUS,ES300H,-,2.5-16V,Híbrido,CVT,S,E,G,18,58,1,A,\,84,\,\,\,15.8,15.2,\,\,1.36,\,A,B,SIM,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,LEXUS,RX500H (MY24),F-SPORT,2.4 - 16V,Híbrido,A-6,S,E,G,22,138,0,A,\,125,\,\,\,10.6,10.8,\,\,2.03,\,C,C,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,LEXUS,RX 450H PLUG-IN,RX450H PLUG-IN,2.5 - 16V,Plug-in,CVT,S,E,G,11,40,1,A,\,100,18,\,\,13.9,12.4,36.1,30.2,0.61,56,A,A,SIM,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,Mercedes-Benz,C200,AMG LINE,1.5-16V,Híbrido,A-9,S,E,G,19,65,0,A,\,110,\,\,\,11.1,13.9,\,\,1.78,\,B,C,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,Mercedes-Benz,C300,AMG LINE,2.0-16V,Híbrido,A-9,S,E,G,15,91,0,A,\,118,\,\,\,10.4,12.9,\,\,1.92,\,B,C,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,Mercedes-Benz,EQE 300,,Elétrico,Elétrico,A-1,S,E,E,-,-,-,A,\,-,\,\,\,\,\,29.4,28.3,0.70,369,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,Mercedes-Benz,EQA 250,,Elétrico,Elétrico,A-1,S,E,E,-,-,-,A,\,-,\,\,\,\,\,34.6,31.2,0.62,304,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,Mercedes-Benz,EQB 250,,Elétrico,Elétrico,A-1,S,E,E,-,-,-,A,\,-,\,\,\,\,\,33.1,30.0,0.64,291,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,Mercedes-Benz,EQC400 4M,,Elétrico,Elétrico,A-1,S,E,E,-,-,-,A,\,-,\,\,\,\,\,24.2,23.7,0.85,271,A,A,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,Mercedes-Benz,AMG CLA35 4MATIC,,2.0-16V,Combustão,DCT-7,S,E,G,16,114,2,A,\,138,\,\,\,9.1,11.1,\,\,2.23,\,D,D,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Grande,Mercedes-Benz,AMG GLB35 4M,,2.0-16V,Combustão,DCT-8,S,E,G,16,129,1,A,\,152,\,\,\,8.4,10.0,\,\,2.45,\,D,D,-,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
