Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão
Combustão
Híbrido
Plug-in
Médio,BYD,YUAN PRO,GS 290EV,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,44.0,35.7,0.51,250,A,A,-,1,2025,,,
Médio,CAOA CHERY,TIGGO 7,PHEV,1.5T -16V,Plug-in,DHT,S,E,G,7,52,1,A,\,110,18,\,\,12.3,11.9,36.4,28.8,0.62,60,A,A,SIM,1,2025,,,
Médio,CHEVROLET,ONIX,MT,1.0 - 12 V,Combustão,M-6,S,E,F,35,152,5,B,0,87,\,9.6,11.9,13.8,16.9,\,\,1.41,\,A,B,SIM,1,2025,,,
Médio,CHEVROLET,ONIX,LT,1.0 - 12 V,Combustão,M-6,S,E,F,35,152,5,B,0,87,\,9.6,11.9,13.8,16.9,\,\,1.41,\,A,B,SIM,1,2025,,,
Médio,CHEVROLET,ONIX,LT,1.0T - 12V,Combustão,M-6,S,E,F,36,196,5,B,0,89,\,9.3,11.7,13.5,16.7,\,\,1.44,\,B,B,-,1,2025,,,
Médio,CHEVROLET,ONIX,AT,1.0T - 12V,Combustão,A-6,S,E,F,43,174,6,B,0,101,\,8.2,10.5,12.0,14.8,\,\,1.65,\,C,C,-,1,2025,,,
Médio,CHEVROLET,ONIX,LT,1.0T - 12V,Combustão,A-6,S,E,F,43,174,6,B,0,101,\,8.2,10.5,12.0,14.8,\,\,1.65,\,C,C,-,1,2025,,,
Médio,CHEVROLET,ONIX,LTZ,1.0T - 12V,Combustão,A-6,S,E,F,43,174,6,B,0,101,\,8.2,10.5,12.0,14.8,\,\,1.65,\,C,C,-,1,2025,,,
Médio,CHEVROLET,ONIX,PREMIER,1.0T - 12V,Combustão,A-6,S,E,F,43,174,6,B,0,101,\,8.2,10.5,12.0,14.8,\,\,1.65,\,C,C,-,1,2025,,,
Médio,CHEVROLET,ONIX,RS,1.0T - 12V,Combustão,A-6,S,E,F,41,165,5,B,0,106,\,8.2,9.8,11.8,13.5,\,\,1.71,\,C,C,-,1,2025,,,
Médio,CHEVROLET,ONIX PLUS,LT,1.0T - 12V,Combustão,M-6,S,E,F,43,218,5,B,0,87,\,9.2,12.4,13.5,17.4,\,\,1.43,\,B,B,-,1,2025,,,
Médio,CHEVROLET,ONIX PLUS,LT2,1.0 - 12 V,Combustão,M-6,S,E,F,32,123,6,B,0,85,\,9.7,12.2,13.9,17.4,\,\,1.39,\,A,B,SIM,1,2025,,,
Médio,CHEVROLET,ONIX PLUS,PREMIER,1.0T - 12V,Combustão,A-6,S,E,F,42,147,6,B,0,99,\,8.5,11.0,12.0,15.6,\,\,1.59,\,B,C,-,1,2025,,,
Médio,CHEVROLET,ONIX PLUS,LT,1.0T - 12V,Combustão,A-6,S,E,F,42,147,6,B,0,99,\,8.5,11.0,12.0,15.6,\,\,1.59,\,B,C,-,1,2025,,,
Médio,CHEVROLET,ONIX PLUS,LTZ,1.0T - 12V,Combustão,A-6,S,E,F,42,147,6,B,0,99,\,8.5,11.0,12.0,15.6,\,\,1.59,\,B,C,-,1,2025,,,
Médio,CHEVROLET,ONIX PLUS,AT,1.0T - 12V,Combustão,A-6,S,E,F,42,147,6,B,0,99,\,8.5,11.0,12.0,15.6,\,\,1.59,\,B,C,-,1,2025,,,
,,,,,,,"Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Elétrico
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes,,,,Gás Efeito Estufa,,,,,,,,,,,,,,2,2025,"Manual (M)
Automática (A)
Automática Dupla
Embreagem (DCT)
Automatizada (MTA)
Contínua (CVT)",,
,,,,,,,,,,"NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",VEHP,Etanol,,"Gasolina
ou
Diesel",,"Elétrico (km/le)
quando VE ou VEHP",,,,,,,2,2025,,,
