categoria,marca,modelo,motor,versao,trasmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano,
,FIAT,Novo Uno,1.0­8V,Attractive,M­5,S,H,F,8,"9,4","11,6","13,4",2016,"SUB
COMPACTO"
,FIAT,Novo Uno,1.4­8V,Evolution,M­5,S,H,F,"8,8","10,1","12,6","14,8",2016,"SUB
COMPACTO"
,FIAT,Novo Uno,1.4­8V,Sporting,M­5,S,H,F,"7,8","8,8","11,2","12,5",2016,"SUB
COMPACTO"
,FIAT,Novo Uno,1.4­8V,"Sporting
Dualogic",MTA­5,S,H,F,"7,7","8,3","11,1","11,8",2016,"SUB
COMPACTO"
,FIAT,Novo Uno,1.0­8V,Way,M­5,S,H,F,8,"9,1","11,5",13,2016,"SUB
COMPACTO"
,FIAT,Novo Uno (2017),1.0­6V,Attractive,M­5,S,H,F,"9,2","10,4","13,1","15,1",2016,"SUB
COMPACTO"
,FIAT,Novo Uno (2017),1.3­8V,"Sporting
Dualogic",MTA­5,S,H,F,"9,3","10,1","13,2","13,7",2016,"SUB
COMPACTO"
,FIAT,Novo Uno (2017),1.3­8V,Sporting,M­5,S,H,F,"9,2","10,1","12,9",14,2016,"SUB
COMPACTO"
,FIAT,Novo Uno (2017),1.0­6V,Way,M­5,S,H,F,"9,2","10,4","13,1","15,1",2016,"SUB
COMPACTO"
,FIAT,Palio,1.0­8V,Fire Evo,M­5,N,M,F,"8,7","10,4","12,2","15,3",2016,"SUB
COMPACTO"
,FIAT,Palio,1.0­8V,Fire Way,M­5,N,M,F,"8,3","9,8",12,"14,2",2016,"SUB
COMPACTO"
,FIAT,Uno,1.0­8V,Vivace,M­5,N,M,F,"8,2","10,4","11,8",15,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Cross,M­5,S,E,F,"9,2","10,4","13,3","14,6",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,"Cross (I­
Motion)",MTA­5,S,E,F,"8,9","9,9","13,2","14,4",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,"Move (I­
Motion)",MTA­5,S,E,F,"9,4","10,6",14,"15,8",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,"High (I­
Motion)",MTA­5,S,E,F,"9,4","10,6",14,"15,8",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,"Run (I­
Motion)",MTA­5,S,E,F,"9,4","10,6",14,"15,8",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Take,M­5,S,E,F,"9,6","10,6","14,2","15,3",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Move,M­5,S,E,F,"9,6","10,6","14,2","15,3",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,High,M­5,S,E,F,"9,6","10,6","14,2","15,3",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Run,M­5,S,E,F,"9,6","10,6","14,2","15,3",2016,"SUB
COMPACTO"
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,Página 3 / 44
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Quilometragem por Litro(?),,,,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Etanol,,"Gasolina /
Diesel",,2016,
,,,,,,,,,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",2016,
,,,,,,,,,,,,,2016,
,VOLKSWAGEN,Up!,1.0­12V,Track,M­5,S,E,F,"9,5","10,3","13,7","14,8",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! (2017),1.0­12V,"Cross (I­
Motion)",MTA­5,S,E,F,"9,2","9,9","13,3","14,1",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,Cross,M­5,S,E,F,"9,5","10,4","13,7","14,7",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,Move,M­5,S,E,F,"9,6","11,1","13,8","16,1",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,High,M­5,S,E,F,"9,6","11,1","13,8","16,1",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,BWR,M­5,S,E,F,"9,6","11,1","13,8","16,1",2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,Speed,M­5,S,E,F,"9,6","11,1","13,8","16,1",2016,"SUB
COMPACTO"
,CHEVROLET,Classic,1.0­8V,LS,M­5,S,H,F,"7,3","8,6","10,8","12,5",2016,COMPACTO
,CHEVROLET,Onix,1.0­8V,LS,M­5,S,H,F,"7,8","9,2","11,5","13,5",2016,COMPACTO
,CHEVROLET,Onix,1.0­8V,LT,M­5,S,H,F,"7,8","9,2","11,5","13,5",2016,COMPACTO
,CHEVROLET,Onix Joy (2017),1.0­8V,Joy,M­6,S,E,F,"8,9","10,6","12,9","15,3",2016,COMPACTO
,CHEVROLET,Onix,1.4­8V,LT,A­6,S,H,F,"6,9","8,5","9,9","12,2",2016,COMPACTO
,CHEVROLET,Onix,1.4­8V,LTZ,A­6,S,H,F,"6,9","8,5","9,9","12,2",2016,COMPACTO
,CHEVROLET,Onix,1.4­8V,LT,M­5,S,H,F,"7,9","9,6","11,5","13,6",2016,COMPACTO
,CHEVROLET,Onix,1.4­8V,LTZ,M­5,S,H,F,"7,9","9,6","11,5","13,6",2016,COMPACTO
,CHEVROLET,Onix,1.4­8V,EFF,M­5,S,H,F,"7,9","9,6","11,5","13,6",2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.0­8V,LS,M­6,S,E,F,"8,8","10,5","12,9","15,3",2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.0­8V,LT,M­6,S,E,F,"8,8","10,5","12,9","15,3",2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,ACT,M­6,S,E,F,"8,3","9,4","12,4","13,8",2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,ACT,A­6,S,E,F,"7,7","8,6","11,2","12,6",2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,LT,M­6,S,E,F,"8,6","10,2","12,5","14,9",2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,LTZ,M­6,S,E,F,"8,6","10,2","12,5","14,9",2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,EFF,M­6,S,E,F,"8,6","10,2","12,5","14,9",2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,LT,A­6,S,E,F,"7,9","9,6","11,7","13,9",2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,LTZ,A­6,S,E,F,"7,9","9,6","11,7","13,9",2016,COMPACTO
,CITROEN,C3,1.2­12V,Origine,M­5,S,E,F,"10,6","11,3","14,8","16,6",2016,COMPACTO
