categoria,marca,modelo,motor,versao,trasmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano,
,PEUGEOT,208,1.6­16V,Allure,A­4,S,E,F,"8,1","9,1","11,7",13,2016,COMPACTO
,PEUGEOT,208,1.6­16V,Griffe,A­4,S,E,F,"8,1","9,1","11,7",13,2016,COMPACTO
,PEUGEOT,208,1.6­16V,GT THP,M­6,S,E,F,"8,2","9,5",12,"13,8",2016,COMPACTO
,RENAULT,Sandero,1.0­16V,Authentique,M­5,S,H,F,"8,7","9,6","12,6",14,2016,COMPACTO
,RENAULT,Sandero,1.0­16V,Expression,M­5,S,H,F,"8,7","9,6","12,6",14,2016,COMPACTO
,RENAULT,Sandero,1.6­8V,Dynamique,M­5,S,H,F,"7,5","8,7","10,7","12,4",2016,COMPACTO
,RENAULT,Sandero,1.6­8V,Expression,M­5,S,H,F,"7,5","8,7","10,7","12,4",2016,COMPACTO
,RENAULT,Sandero,1.6­8V,GT Line,M­5,S,H,F,"7,5","8,7","10,7","12,4",2016,COMPACTO
,RENAULT,Sandero RS,2.0­16V,Renault Sport,M­6,S,H,F,"5,9","7,6","8,3","10,8",2016,COMPACTO
,RENAULT,Sandero (2017),1.0­12V,Authentique,M­5,S,E­H,F,"9,5","9,6","14,2","14,1",2016,COMPACTO
,RENAULT,Sandero (2017),1.0­12V,Expression,M­5,S,E­H,F,"9,5","9,6","14,2","14,1",2016,COMPACTO
,RENAULT,Sandero (2017),1.6­16V,Dynamique,M­5,S,E­H,F,"8,6","9,2","12,8","13,4",2016,COMPACTO
,RENAULT,Sandero (2017),1.6­16V,Expression,M­5,S,E­H,F,"8,6","9,2","12,8","13,4",2016,COMPACTO
,RENAULT,Sandero (2017),1.6­16V,Expression,MTA­5,S,E­H,F,"8,1","8,8","11,8","12,8",2016,COMPACTO
,RENAULT,Sandero (2017),1.6­16V,Dynamique,MTA­5,S,E­H,F,"8,1","8,8","11,8","12,8",2016,COMPACTO
,RENAULT,Sandero (2017),1.6­16V,GT Line,M­5,S,E­H,F,"8,4","8,9","12,5",13,2016,COMPACTO
,SUZUKI,Swift Sport,1.6­16V,2WD,M­6,S,E,G,\,\,"11,9","12,6",2016,COMPACTO
,TOYOTA,Etios Hatchback,1.3­16V,X,M­6,S,E,F,"8,6","9,8","12,6","14,2",2016,COMPACTO
,TOYOTA,Etios Hatchback,1.3­16V,X,A­4,S,E,F,"8,2","9,2","11,8","13,3",2016,COMPACTO
,TOYOTA,Etios Hatchback,1.5­16V,XS,M­6,S,E,F,"8,3","9,8","12,4","14,1",2016,COMPACTO
,TOYOTA,Etios Hatchback,1.5­16V,XLS,M­6,S,E,F,"8,3","9,8","12,4","14,1",2016,COMPACTO
,TOYOTA,Etios Hatchback,1.5­16V,Platinum,M­6,S,E,F,"8,3","9,8","12,4","14,1",2016,COMPACTO
,TOYOTA,Etios Hatchback,1.5­16V,Cross,M­6,S,E,F,"8,3","9,8","12,4","14,1",2016,COMPACTO
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,Página 7 / 44
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Quilometragem por Litro(?),,,,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Etanol,,"Gasolina /
Diesel",,2016,
,,,,,,,,,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",2016,
,,,,,,,,,,,,,2016,
,TOYOTA,Etios Hatchback,1.5­16V,XS,A­4,S,E,F,"8,1","9,2","11,9","13,2",2016,COMPACTO
,TOYOTA,Etios Hatchback,1.5­16V,XLS,A­4,S,E,F,"8,1","9,2","11,9","13,2",2016,COMPACTO
,TOYOTA,Etios Hatchback,1.5­16V,Platinum,A­4,S,E,F,"8,1","9,2","11,9","13,2",2016,COMPACTO
,TOYOTA,Etios Hatchback,1.5­16V,Cross,A­4,S,E,F,"8,1","9,2","11,9","13,2",2016,COMPACTO
,VOLKSWAGEN,Gol,1.6­16V,"Rallye (I­
Motion)",MTA­5,S,H,F,7,"7,5","9,9","11,1",2016,COMPACTO
,VOLKSWAGEN,Gol,1.6­8V,Comfortline,M­5,S,H,F,"7,8","9,5","11,1","13,6",2016,COMPACTO
,VOLKSWAGEN,Gol,1.6­8V,Highline,M­5,S,H,F,"7,8","9,5","11,1","13,6",2016,COMPACTO
,VOLKSWAGEN,Gol,1.6­8V,Trendline,M­5,S,H,F,"7,9","9,7","11,5",14,2016,COMPACTO
,VOLKSWAGEN,Novo Gol,1.0­12V,Trendline,M­5,S,H,F,"8,8","10,3","12,9","14,5",2016,COMPACTO
,VOLKSWAGEN,Novo Gol,1.0­12V,Comfortline,M­5,S,H,F,"8,8","10,3","12,9","14,5",2016,COMPACTO
,VOLKSWAGEN,Novo Gol,1.0­12V,Track,M­5,S,H,F,"8,8","10,3","12,9","14,5",2016,COMPACTO
,VOLKSWAGEN,Novo Gol,1.6­8V,Trendline,M­5,S,H,F,"7,6","9,2",11,"13,1",2016,COMPACTO
,VOLKSWAGEN,Novo Gol,1.6­8V,Comfortline,M­5,S,H,F,"7,6","9,2",11,"13,1",2016,COMPACTO
,VOLKSWAGEN,Novo Gol,1.6­8V,Highline,M­5,S,H,F,"7,6","9,2",11,"13,1",2016,COMPACTO
,VOLKSWAGEN,Novo Gol,1.6­8V,"Comfortline
(I­Motion)",MTA­5,S,H,F,"7,7","9,2","11,1","13,1",2016,COMPACTO
,VOLKSWAGEN,Novo Gol,1.6­8V,"Highline (I­
Motion)",MTA­5,S,H,F,"7,7","9,2","11,1","13,1",2016,COMPACTO
,VOLKSWAGEN,Novo Fox,1.0­12V,Blue Motion,M­5,S,E,F,"8,5","9,9","12,8","14,2",2016,COMPACTO
,VOLKSWAGEN,Novo Fox,1.6­16V,Highline,M­6,S,E,F,"7,7","9,2","10,7","13,1",2016,COMPACTO
,VOLKSWAGEN,Novo Fox,1.6­16V,Pepper,M­6,S,E,F,"7,7","9,2","10,7","13,1",2016,COMPACTO
,VOLKSWAGEN,Novo Fox,1.0­12V,Trendline,M­5,S,E,F,"8,6","9,3","12,3","13,5",2016,COMPACTO
,VOLKSWAGEN,Novo Fox,1.0­12V,Comfortline,M­5,S,E,F,"8,6","9,3","12,3","13,5",2016,COMPACTO
,VOLKSWAGEN,Novo Fox,1.0­12V,Track,M­5,S,E,F,"8,6","9,3","12,3","13,5",2016,COMPACTO
,VOLKSWAGEN,Fox (2017),1.0­12V,Trendline,M­5,S,E,F,"8,8","10,1","12,9","14,2",2016,COMPACTO
,VOLKSWAGEN,Fox (2017),1.0­12V,Comfortline,M­5,S,E,F,"8,8","10,1","12,9","14,2",2016,COMPACTO
,VOLKSWAGEN,Fox (2017),1.0­12V,Track,M­5,S,E,F,"8,8","10,1","12,9","14,2",2016,COMPACTO
,VOLKSWAGEN,Fox (2017),1.6­8V,Trendline,M­5,S,E,F,"7,8","9,3","11,2","13,3",2016,COMPACTO
,VOLKSWAGEN,Fox (2017),1.6­8V,Comfortline,M­5,S,E,F,"7,8","9,3","11,2","13,3",2016,COMPACTO
,VOLKSWAGEN,Fox (2017),1.6­8V,Run,M­5,S,E,F,"7,8","9,3","11,2","13,3",2016,COMPACTO
,VOLKSWAGEN,Fox,1.6­8V,Trendline,M­5,S,E,F,"7,8","9,7","11,6","13,9",2016,COMPACTO
,VOLKSWAGEN,Fox,1.6­8V,Comfortline,M­5,S,E,F,"7,8","9,7","11,6","13,9",2016,COMPACTO
,VOLKSWAGEN,Fox,1.6­8V,Run,M­5,S,E,F,"7,8","9,7","11,6","13,9",2016,COMPACTO
,VOLKSWAGEN,Fox (2017),1.6­8V,"Comfortline
(I­Motion)",MTA­5,S,E,F,"7,8",9,"11,2","12,7",2016,COMPACTO
,VOLKSWAGEN,Fox (2017),1.6­16V,Highline,M­6,S,E,F,"8,2",10,"11,3","13,5",2016,COMPACTO
,VOLKSWAGEN,Fox (2017),1.6­16V,Pepper,M­6,S,E,F,"8,2",10,"11,3","13,5",2016,COMPACTO
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,Página 8 / 44
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Quilometragem por Litro(?),,,,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Etanol,,"Gasolina /
Diesel",,2016,
,,,,,,,,,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",2016,
,,,,,,,,,,,,,2016,
,VOLKSWAGEN,Fox (2017),1.6­16V,"Highline (I­
Motion)",MTA­5,S,E,F,8,"9,5","11,4","13,5",2016,COMPACTO
,VOLKSWAGEN,Fox (2017),1.6­16V,"Pepper (I­
Motion)",MTA­5,S,E,F,8,"9,5","11,4","13,5",2016,COMPACTO
,AUDI,A1 Sportback,1.8­16V,"Ambition
(192cv)",DCT­7,S,E,G,\,\,"10,7","13,2",2016,MÉDIO
,AUDI,A1 Sportback,1.4­16V,"Attraction
(125cv)",DCT­7,S,E,G,\,\,"12,6","15,2",2016,MÉDIO
,AUDI,A3 Sportback,1.4­16V,,DCT­7,S,E,G,\,\,"11,6","14,4",2016,MÉDIO
,AUDI,RS3 Sportback,2.5­20V,(367cv),DCT­7,S,E,G,\,\,8,"9,9",2016,MÉDIO
,AUDI,S3 Sportback,2.0­16V,(286cv),DCT­6,S,E,G,\,\,"9,3","11,9",2016,MÉDIO
,BMW,120i,2.0­16V,Active Flex,A­8,S,E­H,F,"6,5","9,3","9,2","13,3",2016,MÉDIO
,BMW,125i,2.0­16V,Active Flex,A­8,S,E­H,F,6,"8,3","8,6","11,8",2016,MÉDIO
,BMW,220i,2.0­16V,"CAT Active
Flex",A­8,S,E­H,F,"7,1","8,7","10,5","12,9",2016,MÉDIO
,BMW,225i,2.0­16V,CAT,A­8,S,E­H,G,\,\,"8,8","12,2",2016,MÉDIO
,BMW,225i,2.0­16V,"CAT Active
Flex",A­8,S,E­H,F,"6,8","8,5","10,2","12,4",2016,MÉDIO
,BMW,M135i,3.0­24V,,A­8,S,E­H,G,\,\,"8,4","11,1",2016,MÉDIO
,CHERY,Novo Celer,1.5­16V,FFHB FL,M­5,S,H,F,"6,3","7,8","9,2","11,4",2016,MÉDIO
,CHERY,Novo Celer,1.5­16V,Flex FL,M­5,S,H,F,"6,3","7,8","9,2","11,4",2016,MÉDIO
,CHERY,Novo Celer,1.5­16V,HB FL,M­5,S,H,F,"6,3","7,8","9,2","11,4",2016,MÉDIO
,CHERY,Novo Celer,1.5­16V,HB ACT,M­5,S,H,F,"6,3","7,8","9,2","11,4",2016,MÉDIO
,CHERY,Novo Celer,1.5­16V,SD ACT,M­5,S,H,F,"6,3","7,8","9,2","11,4",2016,MÉDIO
,CHERY,Novo Celer,1.5­16V,SD FL,M­5,S,H,F,"6,3","7,8","9,2","11,4",2016,MÉDIO
,CHEVROLET,Cobalt (2017),1.4­8V,LT,M­6,S,E,F,"8,5","10,4","12,5","15,1",2016,MÉDIO
,CHEVROLET,Cobalt (2017),1.4­8V,LTZ,M­6,S,E,F,"8,5","10,4","12,5","15,1",2016,MÉDIO
,CHEVROLET,Cobalt (2017),1.8­8V,LTZ,M­6,S,E,F,"8,3","10,4","12,1","15,1",2016,MÉDIO
,CHEVROLET,Cobalt (2017),1.8­8V,LTZ,A­6,S,E,F,"7,6",10,"11,1","14,4",2016,MÉDIO
,CHEVROLET,Cobalt (2017),1.8­8V,ELITE,A­6,S,E,F,"7,6",10,"11,1","14,4",2016,MÉDIO
,CHEVROLET,Prisma,1.0­8V,LT,M­5,S,H,F,"7,8","9,2","11,5","13,5",2016,MÉDIO
,CHEVROLET,Prisma,1.4­8V,LT,A­6,S,H,F,"6,9","8,5","9,9","12,2",2016,MÉDIO
,CHEVROLET,Prisma,1.4­8V,LTZ,A­6,S,H,F,"6,9","8,5","9,9","12,2",2016,MÉDIO
,CHEVROLET,Prisma,1.4­8V,ADV,A­6,S,H,F,"6,9","8,5","9,9","12,2",2016,MÉDIO
,CHEVROLET,Prisma,1.4­8V,LT,M­5,S,H,F,"7,9","9,6","11,5","13,6",2016,MÉDIO
,CHEVROLET,Prisma,1.4­8V,LTZ,M­5,S,H,F,"7,9","9,6","11,5","13,6",2016,MÉDIO
,CHEVROLET,Novo Prisma (2017),1.0­8V,LT,M­6,S,E,F,"8,9","10,8","13,1","15,8",2016,MÉDIO
,CHEVROLET,Prisma Joy (2017),1.0­8V,Joy,M­6,S,E,F,"8,7","10,9","12,9","15,6",2016,MÉDIO
,CHEVROLET,Novo Prisma (2017),1.4­8V,LT,M­6,S,E,F,"8,8","10,7","12,9","15,4",2016,MÉDIO
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,Página 9 / 44
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Quilometragem por Litro(?),,,,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Etanol,,"Gasolina /
Diesel",,2016,
,,,,,,,,,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",2016,
,,,,,,,,,,,,,2016,
,CHEVROLET,Novo Prisma (2017),1.4­8V,LTZ,M­6,S,E,F,"8,8","10,7","12,9","15,4",2016,MÉDIO
,CHEVROLET,Novo Prisma (2017),1.4­8V,LT,A­6,S,E,F,"8,1","10,2","11,9","14,7",2016,MÉDIO
,CHEVROLET,Novo Prisma (2017),1.4­8V,LTZ,A­6,S,E,F,"8,1","10,2","11,9","14,7",2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,Activ (5L),A­6,S,H,F,"5,9","7,5",9,"10,9",2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,LT (5L),A­6,S,H,F,"5,9","7,4","8,9","10,8",2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,"LT Advantage
(5L)",A­6,S,H,F,"5,9","7,4","8,9","10,8",2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,(5L),M­5,S,H,F,"6,5","7,4","9,2","10,8",2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,LT (5L),M­5,S,H,F,"6,5","7,4","9,2","10,8",2016,MÉDIO
,CHEVROLET,Spin,1.8­8V,"LT Advantage
(5L)",M­5,S,H,F,"6,5","7,4","9,2","10,8",2016,MÉDIO
,CHEVROLET,Spin (2017),1.8­8V,(5L),M­5,S,E,F,"6,8","7,5","9,7","10,8",2016,MÉDIO
,CHEVROLET,Spin (2017),1.8­8V,LT (5L),M­6,S,E,F,"8,1","9,4","11,8","13,7",2016,MÉDIO
,CHEVROLET,Spin (2017),1.8­8V,LS (5L),M­6,S,E,F,"8,1","9,4","11,8","13,7",2016,MÉDIO
,CHEVROLET,Spin (2017),1.8­8V,LT ADV (5L),A­6,S,E,F,"7,5","9,2","10,9","13,1",2016,MÉDIO
,CHEVROLET,Spin (2017),1.8­8V,ACT (5L),A­6,S,E,F,"6,9","8,4","10,1",12,2016,MÉDIO
,FIAT,Bravo,1.8­16V,Essence,M­5,S,E,F,"6,4","7,5","8,9","10,9",2016,MÉDIO
,FIAT,Bravo,1.8­16V,Absolute,M­5,S,E,F,"6,4","7,5","8,9","10,9",2016,MÉDIO
,FIAT,Bravo,1.8­16V,Sporting,M­5,S,E,F,"6,4","7,5","8,9","10,9",2016,MÉDIO
,FIAT,Bravo,1.8­16V,Essence,MTA­5,S,E,F,"6,5","7,6","9,1","10,8",2016,MÉDIO
,FIAT,Bravo,1.8­16V,Absolute,MTA­5,S,E,F,"6,5","7,6","9,1","10,8",2016,MÉDIO
,FIAT,Bravo,1.8­16V,"Sporting
Dualogic",MTA­5,S,E,F,"6,5","7,6","9,1","10,8",2016,MÉDIO
,FIAT,Bravo,1.4­16V,Tjet Gasolina,M­6,S,E,G,\,\,9,"10,4",2016,MÉDIO
,FIAT,Grand Siena,1.4­8V,Attractive,M­5,S,H,F,"7,7",9,"11,2","13,1",2016,MÉDIO
,FIAT,Grand Siena,1.6­16V,"Essence
Dualogic",MTA­5,S,H,F,7,"8,3","10,1","12,4",2016,MÉDIO
,FIAT,Grand Siena,1.4­8V,Tetra Fuel,M­5,S,H,F,"6,8","8,1","9,8","12,1",2016,MÉDIO
,FIAT,Grand Siena,1.6­16V,Essence,M­5,S,H,F,"6,9","8,3","10,1","12,6",2016,MÉDIO
,FIAT,Weekend,1.4­8V,Attractive,M­5,S,H,F,"7,2",8,"10,5","11,6",2016,MÉDIO
,FORD,KA+,1.5­16V,SE,M­5,S,E,F,"7,9","9,5","11,5","13,6",2016,MÉDIO
,FORD,KA+,1.5­16V,SEL,M­5,S,E,F,"7,9","9,5","11,5","13,6",2016,MÉDIO
,FORD,KA+,1.0­12V,SE,M­5,S,E,F,"8,9","10,4",13,"15,1",2016,MÉDIO
,FORD,KA+,1.0­12V,SEL,M­5,S,E,F,"8,9","10,4",13,"15,1",2016,MÉDIO
,FORD,KA+ (2017),1.5­16V,SE,M­5,S,E,F,"8,1","9,6","11,7","13,8",2016,MÉDIO
,FORD,KA+ (2017),1.5­16V,SEL,M­5,S,E,F,"8,1","9,6","11,7","13,8",2016,MÉDIO
,FORD,KA+ (2017),1.0­12V,SE,M­5,S,E,F,"9,3","10,7","13,2","15,3",2016,MÉDIO
,FORD,KA+ (2017),1.0­12V,SEL,M­5,S,E,F,"9,3","10,7","13,2","15,3",2016,MÉDIO
,FORD,New Fiesta Sedan,1.6­16V,SE,DCT­6,S,E,F,"7,5","9,5","10,6","13,8",2016,MÉDIO
,,,,,,,,,,,,,2016,Página 10 / 44
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Quilometragem por Litro(?),,,,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Etanol,,"Gasolina /
Diesel",,2016,
,,,,,,,,,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",2016,
,,,,,,,,,,,,,2016,
,,,,,(CVT),,,,,,,,2016,
,FORD,New Fiesta Sedan,1.6­16V,Titanium,DCT­6,S,E,F,"7,5","9,5","10,6","13,8",2016,MÉDIO
,FORD,New Fiesta Sedan,1.6­16V,SE,M­5,S,E,F,"7,6","9,7","11,6",14,2016,MÉDIO
,FORD,New Fiesta Sedan,1.6­16V,Titanium,M­5,S,E,F,"7,6","9,7","11,6",14,2016,MÉDIO
,HONDA,City,1.5­16V,DX,M­5,S,E,F,"8,6","10,3","12,4","14,6",2016,MÉDIO
,HONDA,City,1.5­16V,LX,CVT,S,E,F,"8,5","10,3","12,3","14,5",2016,MÉDIO
,HONDA,City,1.5­16V,EX,CVT,S,E,F,"8,5","10,3","12,3","14,5",2016,MÉDIO
,HONDA,City,1.5­16V,EXL,CVT,S,E,F,"8,5","10,3","12,3","14,5",2016,MÉDIO
,HYUNDAI,HB20S,1.0­12V,Plus,M­5,S,H,F,"8,5","9,4","11,4",13,2016,MÉDIO
,HYUNDAI,HB20S,1.0­12V,Style,M­5,S,H,F,"8,5","9,4","11,4",13,2016,MÉDIO
,HYUNDAI,HB20S (2017),1.0­12V,Plus,M­5,S,H,F,"8,5","9,8",12,14,2016,MÉDIO
,HYUNDAI,HB20S (2017),1.0­12V,Style,M­5,S,H,F,"8,5","9,8",12,14,2016,MÉDIO
,HYUNDAI,HB20S,1.6­16V,Plus,M­6,S,H,F,"7,7","9,6","10,7","12,6",2016,MÉDIO
,HYUNDAI,HB20S,1.6­16V,Style,M­6,S,H,F,"7,7","9,6","10,7","12,6",2016,MÉDIO
,HYUNDAI,HB20S,1.6­16V,Premium,M­6,S,H,F,"7,7","9,6","10,7","12,6",2016,MÉDIO
,HYUNDAI,HB20S (2017),1.6­16V,Plus,M­6,S,H,F,"8,1","9,8","11,5",14,2016,MÉDIO
,HYUNDAI,HB20S (2017),1.6­16V,Style,M­6,S,H,F,"8,1","9,8","11,5",14,2016,MÉDIO
,HYUNDAI,HB20S,1.0­12V,Plus ­ Turbo,M­6,S,H,F,"8,4","10,5","11,9","15,2",2016,MÉDIO
,HYUNDAI,HB20S,1.0­12V,Style ­ Turbo,M­6,S,H,F,"8,4","10,5","11,9","15,2",2016,MÉDIO
,HYUNDAI,Elantra,2.0­16V,,A­6,S,E,F,"6,3","9,1","9,5","13,4",2016,MÉDIO
,HYUNDAI,New i30 FL,1.8­16V,,A­6,S,E,G,\,\,"9,3","12,3",2016,MÉDIO
,LEXUS,CT200H,1.8­16V,CT200H,CVT,S,E,G,\,\,"15,7","14,2",2016,MÉDIO
,LEXUS,CT200H,1.8­16V,F Sport,CVT,S,E,G,\,\,"15,7","14,2",2016,MÉDIO
,MERCEDES­BENZ,A200 FF,1.6­16V,,DCT­7,S,E,F,"7,2","8,8","10,5","12,6",2016,MÉDIO
,MERCEDES­BENZ,A200 FF (2017),1.6­16V,,DCT­7,S,E,F,"7,4","9,5","10,9","14,5",2016,MÉDIO
,MERCEDES­BENZ,A250,2.0­16V,Turbo Sport,DCT­7,S,E,G,\,\,"9,7","14,4",2016,MÉDIO
,MERCEDES­BENZ,AMG A 45 4M,2.0­16V,,DCT­7,S,E,G,\,\,"9,3","11,8",2016,MÉDIO
,MERCEDES­BENZ,AMG A 45 4M (2017),2.0­16V,,DCT­7,S,E,G,\,\,"8,4","11,2",2016,MÉDIO
,MERCEDES­BENZ,B200 FF,1.6­16V,,DCT­7,S,E,F,"6,8","9,7","10,1",14,2016,MÉDIO
,MERCEDES­BENZ,B200 FF (2017),1.6­16V,,DCT­7,S,E,F,"7,3","9,7","10,6","14,2",2016,MÉDIO
,MINI,Cooper,1.6­16V,"S Countryman
All4",A­6,S,E­H,G,\,\,"8,4","10,4",2016,MÉDIO
,MINI,Cooper,2.0­16V,S Clubman,A­8,S,E­H,G,\,\,"10,5","12,6",2016,MÉDIO
,NISSAN,New Versa,1.0­12V,10,M­5,S,E,F,"8,8","10,5","12,9","15,3",2016,MÉDIO
,NISSAN,New Versa,1.0­12V,10 S,M­5,S,E,F,"8,8","10,5","12,9","15,3",2016,MÉDIO
,NISSAN,New Versa,1.6­16V,16 SV,M­5,S,E,F,"8,4",10,"12,6","14,4",2016,MÉDIO
,NISSAN,New Versa,1.6­16V,16 SL,M­5,S,E,F,"8,4",10,"12,6","14,4",2016,MÉDIO
,NISSAN,New Versa,1.6­16V,16 Unique,M­5,S,E,F,"8,4",10,"12,6","14,4",2016,MÉDIO
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,Página 11 / 44
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Quilometragem por Litro(?),,,,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Etanol,,"Gasolina /
Diesel",,2016,
,,,,,,,,,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",2016,
,,,,,,,,,,,,,2016,
,NISSAN,New Versa,1.6­16V,16 SV,CVT,S,E,F,"7,8",10,"11,6","14,1",2016,MÉDIO
,NISSAN,New Versa,1.6­16V,16 SL,CVT,S,E,F,"7,8",10,"11,6","14,1",2016,MÉDIO
,NISSAN,New Versa,1.6­16V,16 Unique,CVT,S,E,F,"7,8",10,"11,6","14,1",2016,MÉDIO
,PEUGEOT,308,1.6­16V,Griffe THP,A­6,S,E­H,F,"7,2","8,9","10,6","12,9",2016,MÉDIO
,PEUGEOT,308,1.6­16V,Allure THP,A­6,S,E­H,F,"7,2","8,9","10,6","12,9",2016,MÉDIO
,RENAULT,Logan,1.0­16V,Authentique,M­5,S,H,F,"7,2","9,1","10,5","13,1",2016,MÉDIO
,RENAULT,Logan,1.0­16V,Expression,M­5,S,H,F,"7,2","9,1","10,5","13,1",2016,MÉDIO
,RENAULT,Logan,1.6­8V,Dynamique,M­5,S,H,F,"7,5","8,7","10,7","12,6",2016,MÉDIO
,RENAULT,Logan,1.6­8V,Expression,M­5,S,H,F,"7,5","8,7","10,7","12,6",2016,MÉDIO
,RENAULT,Logan,1.6­8V,Dynamique,MTA­5,S,H,F,"6,2","8,9","9,6","12,8",2016,MÉDIO
,RENAULT,Logan,1.6­8V,Expression,MTA­5,S,H,F,"6,2","8,9","9,6","12,8",2016,MÉDIO
,RENAULT,Logan (2017),1.0­12V,Authentique,M­5,S,E­H,F,"9,4",10,"13,8","14,5",2016,MÉDIO
,RENAULT,Logan (2017),1.0­12V,Expression,M­5,S,E­H,F,"9,4",10,"13,8","14,5",2016,MÉDIO
,RENAULT,Logan (2017),1.6­16V,Dynamique,M­5,S,E­H,F,"8,8","9,5",13,"13,8",2016,MÉDIO
,RENAULT,Logan (2017),1.6­16V,Expression,M­5,S,E­H,F,"8,8","9,5",13,"13,8",2016,MÉDIO
,RENAULT,Logan (2017),1.6­16V,Dynamique,MTA­5,S,E­H,F,"7,9","9,1","11,8","13,4",2016,MÉDIO
,RENAULT,Logan (2017),1.6­16V,Expression,MTA­5,S,E­H,F,"7,9","9,1","11,8","13,4",2016,MÉDIO
,SUBARU,Impreza,2.0­16V,XV,CVT,S,E,G,\,\,"9,6","11,6",2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,X,A­4,S,E,F,"8,4","10,4","12,2","14,9",2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,XS,A­4,S,E,F,"8,4","10,4","12,2","14,9",2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,XLS,A­4,S,E,F,"8,4","10,4","12,2","14,9",2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,Platinum,A­4,S,E,F,"8,4","10,4","12,2","14,9",2016,MÉDIO
,TOYOTA,Etios Sedã,1.5­16V,X,M­6,S,E,F,"8,5","10,3","12,5",15,2016,MÉDIO
