categoria,marca,modelo,motor,versao,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Sub Compacto,CAOA CHERY,NEW QQ,"1.0 LOOK / 1.0 LOOK PLUS / 1.0
SMILE / 1.0 SMILE PLUS / 1.0 ACT /
1.0 ACT PLUS",1.0 - 12V,M-5,S,H,F,"8,9","9,9","12,9","14,4",2019
Sub Compacto,KIA,PICANTO,EX5/ LX5 1.0 FF MT,1.0 - 12V,M-5,S,E,F,"7,9","10,3","11,6","15,0",2019
Sub Compacto,KIA,PICANTO,EX5/ LX5 1.0 FF AT,1.0 - 12V,A-4,S,E,F,"8,1","9,9","11,4","14,7",2019
Sub Compacto,VW,up!,move,1.0-12V,M-5,S,E,F,"9,6","10,6","14,2","15,3",2019
Sub Compacto,VW,up!,move (I-Motion),1.0-12V,MTA-5,S,E,F,"9,4","10,6","14,0","15,8",2019
Sub Compacto,VW,up! TSI,"move (Rodas aro 14"")",1.0-12V,M-5,S,E,F,"10,0","11,5","14,3","16,3",2019
Sub Compacto,VW,up! TSI,"move (Rodas aro 15"")
/ pepper",1.0-12V,M-5,S,E,F,"9,6","11,1","14,1","16,0",2019
Sub Compacto,VW,up! TSI,cross,1.0-12V,M-5,S,E,F,"9,5","10,4","13,7","14,7",2019
Sub Compacto,FIAT,500,CULT,1.4-8V,M-5,S,E,F,"8,0","9,0","11,4","13,0",2019
Sub Compacto,FIAT,MOBI,DRIVE,1.0-6V,M-5,S,E,F,"9,6","11,3","13,7","16,1",2019
Sub Compacto,FIAT,MOBI,DRIVE GSR,1.0-6V,MTA-5,S,E,F,"9,8","11,1","14,0","15,9",2019
Sub Compacto,FIAT,MOBI,EASY,1.0-8V,M-5,N,H,F,"9,2","10,2","13,5","15,2",2019
Sub Compacto,FIAT,MOBI,LIKE,1.0-8V,M-5,S,H,F,"8,8","9,9","12,7","14,3",2019
Sub Compacto,FIAT,MOBI,WAY,1.0-8V,M-5,S,H,F,"8,7","9,7","12,6","14,2",2019
Sub Compacto,FIAT,MOBI,EASY,1.0-8V,M-5,S,H,F,"8,8","9,9","12,7","14,3",2019
Sub Compacto,FIAT,NOVO UNO,DRIVE,1.0-6V,M-5,S,E,F,"9,1","10,6","13,2","15,2",2019
Sub Compacto,FIAT,NOVO UNO,ATTRACTIVE,1.0-8V,M-5,S,H,F,"8,0","9,4","11,6","13,4",2019
Sub Compacto,Renault,Twizy,Intense,Elétrico,AUT,N,M,G,\,\,"45,8","43,0",2019
Compacto,NISSAN,NEW MARCH,10 Conforto / 10 S / 10 SV,1.0 - 12V,M-5,S,E,F,"8,8","10,4","12,9","15,0",2019
Compacto,NISSAN,NEW MARCH,16 S / 16 SV / 16 SL,1.6 - 16V,M-5,S,E,F,"8,5","9,9","12,6","14,4",2019
Compacto,NISSAN,NEW MARCH,16 SV / 16 SL,1.6 - 16V,CVT,S,E,F,"7,8","9,8","11,7","14,5",2019
Compacto,Citroën,C3,Origine / Attraction / Tendance,1.2 12v,M-5,S,E,F,"9,3","10,1","13,2","14,8",2019
Compacto,Citroën,C3,"ATTRACTION A / EXCLUSIVE A /
URBAN TRAIL A",1.6 16v,A-6,S,E,F,"7,6","9,3","10,9","13,2",2019
Compacto,Peugeot,208,GT,"1.6 THP
16V Flex",M-6,S,E,F,"8,2","9,5","12,0","13,8",2019
Compacto,Peugeot,208,Active MT / Act Pack MT / Allure MT,1.2 12v,M-5,S,E,F,"9,6","10,7","13,9","15,5",2019
Compacto,Peugeot,208,GRIFFE EAT6 / ACTIVE PK AT,1.6 16v,A-6,S,E,F,"7,7","9,3","11,0","13,2",2019
Compacto,TOYOTA,"ETIOS
HATCHBACK",X,1.3-16V,M-6,S,E,F,"8,6","9,8","12,6","14,2",2019
Compacto,TOYOTA,"ETIOS
HATCHBACK",X,1.3-16V,A-4,S,E,F,"8,2","9,2","11,8","13,3",2019
Compacto,TOYOTA,"ETIOS
HATCHBACK","XS / XLS / X PLUS / PLATINUM /
CROSS",1.5-16V,M-6,S,E,F,"8,3","9,8","12,4","14,1",2019
Compacto,TOYOTA,"ETIOS
HATCHBACK","XS / XLS / X PLUS / PLATINUM /
CROSS / READY",1.5-16V,A-4,S,E,F,"8,1","9,2","11,9","13,2",2019
Compacto,CHEVROLET,ONIX (MY19),1.4AT ACT,1.4L - 8V,A-6,S,E,F,"7,6","8,7","11,1","12,7",2019
Compacto,CHEVROLET,ONIX (MY19),1.4AT LTZ,1.4L - 8V,A-6,S,E,F,"7,9","9,7","11,6","14,0",2019
Compacto,CHEVROLET,ONIX (MY19),1.4MT ACT,1.4L - 8V,M-6,S,E,F,"8,3","9,4","12,2","13,7",2019
Compacto,CHEVROLET,ONIX (MY19),1.4MT EFF,1.4L - 8V,M-6,S,E,F,"8,5","10,3","12,4","14,9",2019
Compacto,CHEVROLET,ONIX (MY19),1.0MT LT,1.0L - 8V,M-6,S,E,F,"8,8","10,5","12,9","15,3",2019
Compacto,CHEVROLET,ONIX (MY19),1.4AT ADV,1.4L - 8V,A-6,S,E,F,"7,9","9,7","11,6","14,0",2019
Compacto,CHEVROLET,ONIX (MY19),1.4AT LT,1.4L - 8V,A-6,S,E,F,"7,9","9,7","11,6","14,0",2019
Compacto,CHEVROLET,ONIX (MY19),1.4MT LT,1.4L - 8V,M-6,S,E,F,"8,5","10,3","12,4","14,9",2019
Compacto,CHEVROLET,ONIX (MY19),1.4MT LTZ,1.4L - 8V,M-6,S,E,F,"8,5","10,3","12,4","14,9",2019
Compacto,CHEVROLET,"ONIX JOY
(MY19)",10MT JOYE,1.0L - 8V,M-6,S,E,F,"8,7","10,5","12,8","15,2",2019
Compacto,HONDA,Fit,DX / LX,1.5-16V,M-5,S,E,F,"8,3","9,5","11,6","13,6",2019
Compacto,HONDA,Fit,DX / LX / EX / EXL / PERSONAL,1.5-16V,CVT,S,E,F,"8,3","9,9","12,3","14,1",2019
Compacto,FORD,Ka Hatch,S / SE,1.0-12V,M-5,S,E,F,"9,2","10,7","13,4","15,5",2019
Compacto,FORD,Ka Hatch,FreeStyle,1.5-12V,A-6,S,E,F,"7,5","9,4","10,7","13,5",2019
Compacto,FORD,Ka Hatch,SE,1.5-12V,A-6,S,E,F,"7,8","10,1","11,0","14,2",2019
Compacto,FORD,Ka Hatch,Titanium,1.5-12V,A-6,S,E,F,"7,6","10,1","10,9","14,0",2019
Compacto,FORD,Ka Hatch,FreeStyle,1.5-12V,M-5,S,E,F,"8,4","9,9","11,9","14,4",2019
Compacto,FORD,Ka Hatch,SE,1.5-12V,M-5,S,E,F,"8,4","10,3","12,5","15,0",2019
Compacto,FORD,"New Fiesta
Hatch",SEL,1.0-12V,DCT-6,S,E,G,\,\,"12,1","14,9",2019
Compacto,FORD,"New Fiesta
Hatch",SE / SEL,1.6-16V,DCT-6,S,E,F,"7,8","10,3","11,2","14,9",2019
Compacto,FORD,"New Fiesta
Hatch",SE / SEL,1.6-16V,M-5,S,E,F,"8,2","10,0","12,0","14,6",2019
Compacto,MINI,Cooper,5P,1.5 - 12v,DCT-7,S,E-H,G,\,\,"12,1","13,5",2019
Compacto,MINI,Cooper,S 5P,2.0 - 16v,DCT-7,S,E-H,G,\,\,"11,6","14,3",2019
Compacto,MINI,Cabrio,Cooper,1.5 - 12v,DCT-7,S,E-H,G,\,\,"12,2","13,4",2019
Compacto,VW,Fox,Connect,1.6-8V,M-5,S,E,F,"7,8","9,7","11,6","13,9",2019
Compacto,VW,Fox,Xtreme,1.6-8V,M-5,S,E,F,"7,7","9,2","11,3","13,3",2019
Compacto,VW,Fox,Connect (I-Motion),1.6-8V,MTA-5,S,E,F,"7,8","9,0","11,2","12,7",2019
Compacto,VW,Gol,(Rodas aro 15),1.0-12V,M-5,S,H,F,"9,0","9,9","12,9","14,2",2019
Compacto,VW,Gol,(Rodas aro 14),1.0-12V,M-5,S,H,F,"9,1","10,1","13,3","14,4",2019
Compacto,Hyundai,HB20,Unique / Comfort Plus / Style,1.0-12V,M-5,S,H,F,"8,5","9,9","12,5","14,1",2019
Compacto,Hyundai,HB20,Comfort Plus / Style,1.6-16V,M-6,S,H,F,"8,1","9,9","11,6","13,8",2019
Compacto,Hyundai,HB20,"Comfort Plus / Style / Premium /
Rspec",1.6-16V,A-6,S,H,F,"7,1","9,4","9,9","12,5",2019
Compacto,Hyundai,HB20,Comfort Plus / Style,"1.0-12V
Turbo",M-6,S,H,F,"8,2","10,1","11,6","14,3",2019
Compacto,FIAT,ARGO,DRIVE ( com Stop & Start),1.0-6V,M-5,S,E,F,"9,9","10,7","14,2","15,1",2019
Compacto,FIAT,ARGO,DRIVE ( com Stop & Start),1.3-8V,M-5,S,E,F,"9,2","10,2","12,9","14,3",2019
Compacto,FIAT,ARGO,DRIVE GSR,1.3-8V,MTA-5,S,E,F,"8,9","10,0","12,7","14,4",2019
Compacto,FIAT,ARGO,HGT,1.8-16V,A-6,S,E,F,"6,9","9,1","10,0","12,8",2019
Compacto,FIAT,ARGO,HGT,1.8-16V,M-5,S,E,F,"7,8","9,2","11,4","13,3",2019
Compacto,FIAT,ARGO,PRECISION,1.8-16V,A-6,S,E,F,"7,1","9,5","10,1","13,2",2019
Compacto,FIAT,ARGO,PRECISION,1.8-16V,M-5,S,E,F,"8,0","9,6","11,5","13,8",2019
Compacto,FIAT,ARGO,1.0,1.0-6V,M-5,S,E,F,"9,1","10,4","13,0","14,7",2019
Compacto,FIAT,ARGO,DRIVE,1.0-6V,M-5,S,E,F,"9,1","10,4","13,0","14,7",2019
Compacto,FIAT,ARGO,DRIVE,1.3-8V,M-5,S,E,F,"8,7","10,0","12,6","14,7",2019
Compacto,Renault,Sandero,Authentique / Expression,1.0-12V,M5,S,E-H,F,"9,5","9,6","14,2","14,1",2019
Compacto,Renault,Sandero,Dynamique / Expression,1.6-16V,M5,S,E-H,F,"8,6","9,2","12,8","13,4",2019
Compacto,Renault,Sandero,Expression / Dynamique,1.6-16V,MTA-5,S,E-H,F,"8,1","8,8","11,8","12,8",2019
Compacto,Renault,Sandero,GT Line,1.6-16V,M5,S,E-H,F,"8,4","8,9","12,5","13,0",2019
