categoria,marca,modelo,motor,versao,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
"Micro
Compacto",VW,up!,"take /
move",1.0-12V,M-5,S,E,F,"9,6","10,6","14,2","15,3",2018
"Micro
Compacto",VW,up!,move (I-Motion),1.0-12V,MTA-5,S,E,F,"9,4","10,6","14,0","15,8",2018
"Micro
Compacto",VW,up! TSI,"move (Rodas aro 14"")",1.0-12V,M-5,S,E,F,"10,0","11,5","14,3","16,3",2018
"Micro
Compacto",VW,up! TSI,"move (Rodas aro 15"")
/ pepper",1.0-12V,M-5,S,E,F,"9,6","11,1","14,1","16,0",2018
"Micro
Compacto",VW,up! TSI,cross,1.0-12V,M-5,S,E,F,"9,5","10,4","13,7","14,7",2018
"Micro
Compacto",CHERY,NEW QQ,"1.0 LOOK / 1.0 LOOK PLUS / 1.0
SMILE / 1.0 SMILE PLUS / 1.0 ACT /
1.0 ACT PLUS",1.0 - 12V,M-5,S,H,F,"8,9","9,9","12,9","14,4",2018
"Micro
Compacto",FIAT,500,Cult,1.4-8V,M-5,S,E,F,"8,0","9,0","11,4","13,0",2018
"Micro
Compacto",FIAT,Mobi,DRIVE,1.0-6V,M-5,S,E,F,"9,6","11,3","13,7","16,1",2018
"Micro
Compacto",FIAT,Mobi,DRIVE GSR,1.0-6V,MTA-5,S,E,F,"9,8","11,1","14,0","15,9",2018
"Micro
Compacto",FIAT,Mobi,EASY,1.0-8V,M-5,N,H,F,"9,2","10,2","13,5","15,2",2018
"Micro
Compacto",FIAT,Mobi,LIKE,1.0-8V,M-5,S,H,F,"8,8","9,9","12,7","14,3",2018
"Micro
Compacto",FIAT,Mobi,WAY,1.0-8V,M-5,S,H,F,"8,7","9,7","12,6","14,2",2018
"Micro
Compacto",Renault,Twizy,Intense,Elétrico,AUT,N,M,G,\,\,"45,8","43,0",2018
"Micro
Compacto",KIA,PICANTO,EX5/ LX5 1.0 FF MT,1.0 - 12V,M-5,S,E,F,"7,9","10,3","11,6","15,0",2018
"Micro
Compacto",KIA,PICANTO,EX5/ LX5 1.0 FF AT,1.0 - 12V,A-4,S,E,F,"8,1","9,9","11,4","14,7",2018
Sub Compacto,FIAT,Novo Uno,Drive,1.0-6V,M-5,S,E,F,"9,1","10,6","13,2","15,2",2018
Sub Compacto,FIAT,Novo Uno,Sporting,1.3-8V,M-5,S,E,F,"9,3","11,0","13,0","15,0",2018
Sub Compacto,FIAT,Novo Uno,Sporting GSR,1.3-8V,MTA-5,S,E,F,"9,2","10,5","13,2","14,4",2018
Sub Compacto,FIAT,Novo Uno,WAY,1.0-6V,M-5,S,E,F,"9,1","10,6","13,2","15,2",2018
Sub Compacto,FIAT,NOVO UNO,ATTRACTIVE,1.0-8V,M-5,S,H,F,"8,0","9,4","11,6","13,4",2018
