categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Médio,CHEVROLET,SPIN,LTZ5,1.8L-8V,,S,E,F,7.4,9.3,10.5,13.4,2025
Médio,FIAT,CRONOS,1.0,1.0-6V,,S,E,F,9.7,11.2,13.4,15.9,2025
Médio,FIAT,CRONOS,DRIVE 1.0,1.0-6V,,S,E,F,9.7,11.2,13.4,15.9,2025
Médio,FIAT,CRONOS,DRIVE1.3AT,1.3-8V,,S,E,F,8.9,10.7,12.6,14.6,2025
Médio,FIAT,CRONOS,PREC 1.3AT,1.3-8V,,S,E,F,8.9,10.7,12.6,14.6,2025
Médio,GWM,ORA 03,GT BEV63,Elétrico,,S,E,E,\,\,\,\,2025
Médio,GWM,ORA 03,SKIN BEV48,Elétrico,,S,E,E,\,\,\,\,2025
Médio,GWM,ORA 03,SKIN BEV48,Elétrico,,S,E,E,\,\,\,\,2025
Médio,GWM,ORA 03,GT BEV63,Elétrico,,S,E,E,\,\,\,\,2025
Médio,HONDA,CITY,LX,1.5-16V,,S,E,F,9.3,10.4,12.8,15.5,2025
Médio,HONDA,CITY,EX,1.5-16V,,S,E,F,9.3,10.4,12.8,15.5,2025
Médio,HONDA,CITY,EXL,1.5-16V,,S,E,F,9.3,10.4,12.8,15.5,2025
Médio,HONDA,CITY,TOURING,1.5-16V,,S,E,F,9.3,10.4,12.8,15.5,2025
Médio,HONDA,CITY HATCH,LX,1.5-16V,,S,E,F,9.2,10.5,13.2,15.0,2025
Médio,HONDA,CITY HATCH,EX,1.5-16V,,S,E,F,9.2,10.5,13.2,15.0,2025
Médio,HONDA,CITY HATCH,EXL,1.5-16V,,S,E,F,9.2,10.5,13.2,15.0,2025
Médio,HONDA,CITY HATCH,TOURING,1.5-16V,,S,E,F,9.2,10.5,13.2,15.0,2025
Médio,HONDA,HR-V,EX HONDA SENSING,1.5-16V,,S,E,F,8.8,9.9,12.5,13.9,2025
Médio,HONDA,HR-V,EXL HONDA SENSING,1.5-16V,,S,E,F,8.8,9.9,12.5,13.9,2025
Médio,HONDA,HR-V,ADVANCE,1.5T-16V,,S,E,F,8.0,9.2,11.3,13.0,2025
Médio,HONDA,HR-V,TOURING,1.5T-16V,,S,E,F,8.0,9.2,11.3,13.0,2025
Médio,Hyundai,HB20S,Comfort,1.0-12V T,,S,E,F,9.7,10.9,13.4,15.4,2025
Médio,Hyundai,HB20S,Limited,1.0-12V T,,S,E,F,9.7,10.9,13.4,15.4,2025
Médio,Hyundai,HB20S,Platinum,1.0-12V T,,S,E,F,9.7,10.9,13.4,15.4,2025
Médio,Hyundai,HB20S,SE,1.0-12V T,,S,E,F,9.7,10.9,13.4,15.4,2025
Médio,Hyundai,HB20S,Comfort,1.0-12V T,,S,E,F,9.2,10.7,13.0,15.2,2025
Médio,Hyundai,HB20S,Platinum Safety,1.0-12V T,,S,E,F,9.2,10.7,13.0,15.2,2025
Médio,Hyundai,HB20S,SE,1.0-12V T,,S,E,F,9.2,10.7,13.0,15.2,2025
Médio,JAC,e-JS4,e-JS4,Elétrico,,S,E,E,\,\,\,\,2025
Médio,MINI,Cooper,S 5P EXCLUSIVE,2.0 - 16V,,S,E,G,\,\,11.5,14.5,2025
Médio,MINI,Cooper,S 5P TOP,2.0 - 16V,,S,E,G,\,\,11.5,14.5,2025
Médio,MINI,Aceman,E,Elétrico,,S,E,E,\,\,\,\,2025
Médio,MINI,Aceman,SE,Elétrico,,S,E,E,\,\,\,\,2025
Médio,Nissan,Versa,SENSE CVT,1.6-16V,,S,E,F,7.9,10.5,11.5,15.0,2025
Médio,Nissan,Versa,ADVNC CVT,1.6-16V,,S,E,F,7.9,10.5,11.5,15.0,2025
Médio,Nissan,Versa,SR CVT,1.6-16V,,S,E,F,7.9,10.5,11.5,15.0,2025
Médio,Nissan,Versa,EXCL CVT,1.6-16V,,S,E,F,7.9,10.5,11.5,15.0,2025
Médio,Peugeot,E2008,GT,ELÉTRICO,,S,E,E,\,\,\,\,2025
Médio,Renault,MÉGANE,E-TECH,Elétrico,,S,E,E,\,\,\,\,2025
Médio,VOLVO,EX30,E40 CORE,Elétrico,,S,E,E,\,\,\,\,2025
Médio,VOLVO,EX30,E60 ULTRA,Elétrico,,S,E,E,\,\,\,\,2025
Médio,VOLVO,EX30,E60 PLUS,Elétrico,,S,E,E,\,\,\,\,2025
Médio,VOLVO,EX30,E60 CORE,Elétrico,,S,E,E,\,\,\,\,2025
Médio,Volkswagen,VIRTUS,"COMFORTLINE 200TSI
AUTOMÁTICO",1.0-12V,,S,E,F,8.3,10.2,12.1,14.7,2025
Médio,Volkswagen,VIRTUS,"HIGHLINE 200TSI
AUTOMÁTICO",1.0-12V,,S,E,F,8.3,10.2,12.1,14.7,2025
Médio,Volkswagen,VIRTUS,TSI AUTOMÁTICO,1.0-12V,,S,E,F,8.5,10.4,12.2,14.9,2025
Médio,Volkswagen,VIRTUS,TSI MECÂNICO,1.0-12V,,S,E,F,9.2,11.2,13.2,15.8,2025
Médio,Volkswagen,VIRTUS,SENSE TSI MECÂNICO,1.0-12V,,S,E,F,9.2,11.2,13.2,15.8,2025
Médio,Volkswagen,VIRTUS,"EXCLUSIVE 250TSI
AUTOMÁTICO",1.4 -16V,,S,E,F,8.1,9.9,11.7,14.0,2025
Médio,Volkswagen,POLO,TSI MECÂNICO,1.0-12V,,S,E,F,9.6,11.4,13.9,16.3,2025
Médio,Volkswagen,POLO,SENSE TSI AUTOMÁTICO,1.0-12V,,S,E,F,9.0,11.1,13.1,16.1,2025
Médio,Volkswagen,POLO,MPI,1.0-12V,,S,E,F,9.3,10.8,13.5,15.7,2025
Médio,Volkswagen,POLO,TRACK 1.0 MPI,1.0-12V,,S,E,F,9.3,10.8,13.5,15.7,2025
Médio,Volkswagen,POLO,TRACK ROBUST 1.0 MPI,1.0-12V,,S,E,F,9.3,10.8,13.5,15.7,2025
Médio,Volkswagen,POLO,MPI,1.0-12V,,S,E,F,9.3,10.9,13.5,15.7,2025
Médio,Volkswagen,POLO,TRACK 1.0 MPI,1.0-12V,,S,E,F,9.3,10.9,13.5,15.7,2025
Médio,Volkswagen,POLO,TRACK ROBUST 1.0 MPI,1.0-12V,,S,E,F,9.3,10.9,13.5,15.7,2025
Grande,AION,Y,PLUS A21-G,Elétrico,,S,E,E,\,\,\,\,2025
Grande,AION,Y,BEV,Elétrico,,S,E,E,\,\,\,\,2025
Grande,AION,Y,BEV PREMIUM,Elétrico,,S,E,E,\,\,\,\,2025
Grande,AUDI,A3 Sedan,Advanced (ed.0),2.0 - 16V,,S,E,G,\,\,9.7,13.0,2025
Grande,AUDI,A3 Sedan,Performance (ed.0),2.0 - 16V,,S,E,G,\,\,9.7,13.0,2025
Grande,AUDI,A3 Sedan,Performance Black (ed.0),2.0 - 16V,,S,E,G,\,\,9.7,13.0,2025
Grande,BMW,X2,M35i,2.0 - 16V,,S,E,G,\,\,9.1,11.8,2025
Grande,BMW,iX1,xDrive30,Elétrico,,S,E,E,\,\,\,\,2025
Grande,BMW,iX1,eDrive20,Elétrico,,S,E,E,\,\,\,\,2025
Grande,BMW,iX2,xDrive30 MSP,Elétrico,,S,E,E,\,\,\,\,2025
Grande,BYD,D1,GL 180EV / GS 180EV,Elétrico,,S,E,E,\,\,\,\,2025
Grande,KIA,NIRO,HEV EX,1.6 - 16V,,S,E,G,\,\,18.3,15.9,2025
Grande,KIA,NIRO,HEV LX,1.6 - 16V,,S,E,G,\,\,18.3,15.9,2025
Grande,KIA,NIRO,HEV SX,1.6 - 16V,,S,E,G,\,\,18.3,15.9,2025
Grande,KIA,NIRO,HEV SX RIOPEN,1.6 - 16V,,S,E,G,\,\,18.3,15.9,2025
Grande,LEXUS,UX 300H,UX 300H,2.0 - 16V,,S,E,G,\,\,17.3,14.9,2025
Grande,Mercedes-Benz,GLA200,AMG LINE,1.3-16V,,S,E,G,\,\,11.4,12.4,2025
Grande,Mercedes-Benz,GLA200,PROGRESSIVE,1.3-16V,,S,E,G,\,\,11.4,12.4,2025
Grande,MINI,Countryman,SE EXCLUSIVE,Elétrico,,S,E,E,\,\,\,\,2025
Grande,MINI,Countryman,SE TOP,Elétrico,,S,E,E,\,\,\,\,2025
Grande,MINI,JCW,COUNTRYMAN,2.0 - 16V,,S,E,G,\,\,9.6,11.7,2025
Grande,NETA,X,400 COMFORT,ELÉTRICO,,S,E,E,\,\,\,\,2025
Grande,NETA,X,500 COMFORT,ELÉTRICO,,S,E,E,\,\,\,\,2025
Grande,NETA,X,500 LUXURY,ELÉTRICO,,S,E,E,\,\,\,\,2025
Grande,Nissan,Sentra,SEN CVT,2.0-16V,,S,E,G,\,\,11.0,14.0,2025
Grande,Nissan,Sentra,ADV CVT,2.0-16V,,S,E,G,\,\,11.0,14.0,2025
Grande,Nissan,Sentra,EXCLUSIVE,2.0-16V,,S,E,G,\,\,11.0,14.0,2025
Grande,TOYOTA,COROLLA CROSS,XR 20,2.0 - 16V,,S,E,F,7.6,8.8,11.2,13.0,2025
Grande,TOYOTA,COROLLA CROSS,XRE 20,2.0 - 16V,,S,E,F,7.6,8.8,11.2,13.0,2025
Grande,TOYOTA,COROLLA CROSS,XRX 20,2.0 - 16V,,S,E,F,7.6,8.8,11.2,13.0,2025
Grande,TOYOTA,COROLLA CROSS,GRS,2.0 - 16V,,S,E,F,7.6,8.8,11.2,13.0,2025
Grande,TOYOTA,COROLLA,GLI 20,2.0-16V,,S,E,F,8.0,10.0,11.9,14.5,2025
Grande,TOYOTA,COROLLA,XEI 20,2.0-16V,,S,E,F,8.0,10.0,11.9,14.5,2025
Grande,TOYOTA,COROLLA,ALTIS 20,2.0-16V,,S,E,F,8.0,10.0,11.9,14.5,2025
Grande,TOYOTA,COROLLA,GRS,2.0-16V,,S,E,F,8.0,10.0,11.9,14.5,2025
Grande,VOLVO,EC40,6 CORE,Elétrico,,S,E,E,\,\,\,\,2025
Grande,VOLVO,EC40,6 PLUS,Elétrico,,S,E,E,\,\,\,\,2025
Grande,VOLVO,EC40,6 ULTRA,Elétrico,,S,E,E,\,\,\,\,2025
Grande,VOLVO,EC40,8 CORE,Elétrico,,S,E,E,\,\,\,\,2025
Grande,VOLVO,EC40,8 PLUS,Elétrico,,S,E,E,\,\,\,\,2025
Grande,VOLVO,EC40,8 ULTRA,Elétrico,,S,E,E,\,\,\,\,2025
Grande,VOLVO,EC40,PERF BLACK,Elétrico,,S,E,E,\,\,\,\,2025
Grande,Volkswagen,ID.4,PRO PERFORMANCE,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AION,ES,A29-G,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AION,ES,BEV,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AION,HYPTEC,HT BEV,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AION,HYPTEC,HT BEV P,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AUDI,RS 6 Avant,Performance,4.0 - 32V,,S,E,G,\,\,5.9,7.8,2025
Extra Grande,AUDI,Q7,S Line (ed.0),3.0 - 24V,,S,E,G,\,\,6.6,8.1,2025
Extra Grande,AUDI,Q8 Sportback,Performance Black (ed.0),3.0 - 24V,,S,E,G,\,\,6.4,7.8,2025
Extra Grande,AUDI,Q8 e-tron Sportback 55,Launch Edition,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AUDI,Q8 e-tron Sportback 55,Performance Black,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AUDI,Q8 e-tron 55,Launch Edition,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AUDI,SQ8 e-tron Sportback,-,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AUDI,e-tron GT,-,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AUDI,RS e-tron GT,-,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AUDI,Q6 e-tron Quattro,Performance,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AUDI,Q6 e-tron Quattro,Performanec black,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,AUDI,Q6 e-tron RWD,Performance,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,BMW,420i,Cabrio,2.0 - 16V,,S,E,G,\,\,9.8,12.5,2025
Extra Grande,BMW,530e,M SPORT,2.0 - 16V,,S,E,G,\,\,10.9,12.3,2025
Extra Grande,BMW,320i,M Sport Flex,2.0 - 16V,,S,E,F,7.4,9.0,10.5,13.1,2025
Extra Grande,BMW,320i,Sport GP Flex,2.0 - 16V,,S,E,F,7.6,9.2,10.9,13.3,2025
Extra Grande,BMW,320i,GP Flex,2.0 - 16V,,S,E,F,7.6,9.2,10.9,13.3,2025
